"Species","Value_g","raw_value","raw_unit","Source","first_author","Year","Team","role"
"Echinops telfairi",87.5,"87.5","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Chrysochloris asiatica",49,"49","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Nesogale talazaci",50.4,"50.4","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Micropotamogale lamottei",69.59,"69.59","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hemicentetes semispinosus",110,"110","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Microgale mergulus",92,"92","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Setifer setosus",248,"248","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tenrec ecaudatus",907,"907","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Potamogale velox",650,"650","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragelaphus scriptus",44225,"44225","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Rangifer tarandus",71700,"71700","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Syncerus caffer",665440,"665440","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Odocoileus virginianus",65090,"65090","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Damaliscus pygargus",62500,"62500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragelaphus eurycerus",253000,"253000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hippopotamus amphibius",1351000,"1351000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragelaphus imberbis",145000,"145000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Kobus leche",123000,"123000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Dama dama",37195,"37195","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragelaphus angasii",137000,"137000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Lama glama",90217,"90217","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hippotragus niger",165000,"165000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Alcelaphus buselaphus",114750,"114750","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Damaliscus lunatus",111000,"111000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Oryx gazella",165000,"165000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragelaphus buxtoni",280000,"280000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragelaphus strepsiceros",280000,"280000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hippotragus equinus",238375,"238375","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Taurotragus oryx",4e+05,"4e+05","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Bos taurus",46100,"46100","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Bison bison",431500,"431500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Taurotragus derbianus",9e+05,"9e+05","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Camelus dromedarius",4e+05,"4e+05","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Madoqua kirkii",4570,"4570","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Eudorcas thomsonii",24370,"24370","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Phacochoerus aethiopicus",65320,"65320","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Aepyceros melampus",57610,"57610","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Axis axis",88450,"88450","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Kobus ellipsiprymnus",188200,"188200","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Connochaetes taurinus",212230,"212230","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Giraffa camelopardalis",1209000,"1209000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragulus javanicus",2037,"2037","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Moschiola meminna",1997,"1997","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragulus napu",2510,"2510","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hyemoschus aquaticus",10800,"10800","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Neotragus moschatus",3250,"3250","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Philantomba maxwellii",3357,"3357","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Philantomba monticola",5650,"5650","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Raphicerus campestris",10200,"10200","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hydropotes inermis",11300,"11300","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Raphicerus melanotis",10100,"10100","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mazama americana",3500,"3500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ourebia ourebi",14617,"14617","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Oreotragus oreotragus",11000,"11000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Gazella dorcas",17275,"17275","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Sylvicapra grimmia",12625,"12625","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cephalophus zebra",10000,"10000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cephalophus natalensis",12500,"12500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cephalophus nigrifrons",13650,"13650","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Capreolus capreolus",17472,"17472","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cephalophus dorsalis",19998.6187,"19998.6187","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cephalophus leucogaster",13000,"13000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Pecari tajacu",18309,"18309","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Redunca fulvorufula",31000,"31000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Antilope cervicapra",28800,"28800","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Capra hircus",27660,"27660","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Litocranius walleri",39750,"39750","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Rupicapra rupicapra",27167,"27167","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Pelea capreolus",24000,"24000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Redunca redunca",47500,"47500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Muntiacus muntjak",16600,"16600","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Antilocapra americana",46750,"46750","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Babyrousa babyrussa",78000,"78000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Phacochoerus africanus",67000,"67000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Antidorcas marsupialis",36518,"36518","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Redunca arundinum",38200,"38200","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Potamochoerus porcus",75000,"75000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Nanger granti",40500,"40500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ovis ammon",55000,"55000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hylochoerus meinertzhageni",2e+05,"2e+05","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Axis porcinus",30000,"30000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tragelaphus spekii",42000,"42000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Tayassu pecari",32233.33,"32233.33","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Nanger dama",60000,"60000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hemitragus jemlahicus",70000,"70000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Sus scrofa",86772.73,"86772.73","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cephalophus silvicultor",43000,"43000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ovis aries",55500,"55500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Addax nasomaculatus",107000,"107000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Odocoileus hemionus",58990,"58990","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Vicugna vicugna",46215,"46215","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cervus nippon",46000,"46000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Kobus kob",117500,"117500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ammotragus lervia",110000,"110000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hexaprotodon liberiensis",81000,"81000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Boselaphus tragocamelus",125000,"125000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Oryx beisa",175000,"175000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Bos grunniens",250000,"250000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Alcelaphus lichtensteinii",165000,"165000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Alces americanus",272000,"272000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cervus elaphus",2e+05,"2e+05","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Alces alces",2e+05,"2e+05","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Okapia johnstoni",240000,"240000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Camelus bactrianus",4e+05,"4e+05","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela erminea",156.43,"156.43","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mephitis mephitis",1980,"1980","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Pusa caspica",62750,"62750","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Pusa sibirica",89500,"89500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Pusa hispida",69085,"69085","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Histriophoca fasciata",87580,"87580","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Phoca largha",91500,"91500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Panthera tigris",195000,"195000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Arctocephalus galapagoensis",45950,"45950","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Arctocephalus australis",103750,"103750","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Halichoerus grypus",194000,"194000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Arctocephalus forsteri",109690,"109690","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Arctocephalus tropicalis",101250,"101250","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Callorhinus ursinus",150916.67,"150916.67","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ursus arctos",131022.67,"131022.67","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Arctocephalus gazella",96600,"96600","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Arctocephalus pusillus",178750,"178750","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Neophoca cinerea",189275,"189275","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Phocarctos hookeri",273500,"273500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cystophora cristata",282840,"282840","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Monachus monachus",280500,"280500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ommatophoca rossii",179400,"179400","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Otaria flavescens",222000,"222000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ursus maritimus",317000,"317000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Leptonychotes weddellii",378666.67,"378666.67","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Lobodon carcinophaga",222250,"222250","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Eumetopias jubatus",643775,"643775","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Hydrurga leptonyx",345500,"345500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mirounga leonina",2006500,"2006500","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Odobenus rosmarus",1022225,"1022225","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Vulpes vulpes",3722.71,"3722.71","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Genetta tigrina",1525,"1525","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Otocyon megalotis",3335,"3335","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Potos flavus",2241.5,"2241.5","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Nasua nasua",3187.5,"3187.5","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Bassariscus sumichrasti",2722,"2722","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Melursus ursinus",136080,"136080","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Helarctos malayanus",45020,"45020","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Erignathus barbatus",281000,"281000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Pagophilus groenlandicus",132250,"132250","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mirounga angustirostris",7e+05,"7e+05","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Procyon lotor",4975.67,"4975.67","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Nasua narica",6250,"6250","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Phoca vitulina",73635,"73635","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela putorius",915,"915","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ichneumia albicauda",4400,"4400","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Urocyon cinereoargenteus",3749,"3749","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Leptailurus serval",11340,"11340","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Leopardus pardalis",9525.5,"9525.5","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Lynx rufus",6350,"6350","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Lynx canadensis",14969,"14969","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Panthera pardus",48000,"48000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Puma concolor",54432,"54432","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ursus americanus",25990,"25990","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Monachus schauinslandi",173000,"173000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Arctocephalus philippii",140000,"140000","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Genetta pardina",1032,"1032","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela nivalis",60,"60","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela frenata",165,"165","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela altaica",190,"190","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ictonyx libyca",230,"230","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Poecilogale albinucha",250,"250","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Helogale parvula",267,"267","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Vormela peregusna",448,"448","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Spilogale putorius",326,"326","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela sibirica",395,"395","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Spilogale gracilis",420,"420","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela vison",645,"645","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Herpestes javanicus",527,"527","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela lutreolina",538,"538","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela lutreola",590,"590","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Prionodon linsang",698,"698","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Ictonyx striatus",713,"713","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mustela nigripes",809,"809","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Galerella sanguinea",533,"533","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Prionodon pardicolor",450,"450","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Crossarchus obscurus",865,"865","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Suricata suricatta",725,"725","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Herpestes edwardsi",1260,"1260","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Cynictis penicillata",571,"571","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Mungos mungo",860,"860","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Galidia elegans",914,"914","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Salanoia concolor",780,"780","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Galerella pulverulenta",840,"840","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Herpestes fuscus",1120,"1120","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Conepatus humboldtii",1294,"1294","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
"Genetta genetta",1820,"1820","g","10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","Burger","2019","Burger","secondary"
