Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
common_name,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
body_mass_kg,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
brain_mass_g,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
total_sleep_time_h_day,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
unihemispheric_sws_pct,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
bilateral_sws_pct,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
rem_sleep_pct,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
method,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
reference,,,,,review,Cetacea (4 species),Lyamin_etal_2008_Table1,"UNRESOLVED: this folder's Table1 scaffold carries sleep-parameter column names, but the printed Table 1 of Lyamin et al. (2008) is 'Number of muscle jerks in cetaceans' (p. 1455) - species, age, number of jerks, reference. The extracted CSV is a header-only stub with zero data rows, so no printed source establishes these columns. Cetacean sleep values come from Table 2. Definition left empty deliberately.","header-only stub; folder ReadMe describes it as comparative sleep parameters, contradicted by the printed table"
