# de Jager E, Prigge L, Amod N, Oettle A, Beaudet A (2022) J. Anat. 241:447-452. doi:10.1111/joa.13681
# Transcribed from the printed Table 2 (r, intercept, slope) with foramen-area ranges from Table 1.
#
# MODEL FORM (paper, Methods 2.4 + worked example on p. 450):
#     log10(VA_area_mm2) = slope * log10(TF_area_mm2) + intercept
#   Both variables are log10-transformed (Shapiro-Wilk rejected normality on the raw areas).
#   Back-transform with 10^(...). No smearing/detransformation correction is given by the authors;
#   applying one is a downstream choice, not something this file encodes.
#
# C1 IS OMITTED. At the atlas the foramen and artery areas are NOT significantly correlated
#   (r = 0.38 right, 0.41 left, 0.23 both; all n.s.) and Table S1 reports much worse RMSE/MAE/R2.
#   The printed C1 coefficients are recorded in the README for completeness but are deliberately
#   NOT machine-readable here, so nothing downstream can accidentally use the atlas.
#
# SAMPLE: 16 living humans (5 F, 11 M), 21-75 y, South African, post-contrast CT, C1-C6, both sides.
#   Per-row n is NOT printed. n=16 is the Methods sample size; the significance pattern in Table 2
#   is consistent with n=16 (r=0.54 significant, r=0.41 not), so 16 is recorded with that caveat.
#
# r2 IS INTENTIONALLY BLANK. Table 2 reports Pearson r only. The paper's R2 values live in
#   supplementary Table S1 and are LEAVE-ONE-OUT CROSS-VALIDATED, so they are not r^2 and must not
#   be conflated with it. Square `r` yourself if you want the in-sample fit.
#
# p_value IS BLANK: Table 2 flags significance with a footnote marker only; exact p is not printed.
#
# Columns:
#   level                : cervical vertebra (C2..C6)
#   response             : predicted quantity
#   predictor            : predictor quantity
#   transform            : transform applied to BOTH response and predictor before fitting
#   slope                : regression slope, log10-log10 scale
#   intercept            : regression intercept, log10-log10 scale
#   r2                   : blank -- see note above
#   r                    : Pearson correlation coefficient, as printed in Table 2
#   p_value              : blank -- see note above
#   n                    : 16 (Methods sample size; not printed per row)
#   side                 : right | left | both
#                          "both" = regression on the per-individual MEAN of the left and right
#                          measurements (Table 2 caption), NOT left and right pooled as separate
#                          observations. n stays 16 for "both"; it is not 32.
#   significant          : yes/no, from the footnote-a marker in Table 2 (all rows here are yes)
#   foramen_area_min_mm2 : lower end of the observed foramen-area range at this level/side (Table 1)
#   foramen_area_max_mm2 : upper end of the observed foramen-area range at this level/side (Table 1)
#                          For side="both" this is the outer envelope of the right and left ranges,
#                          not the range of the per-individual means (the latter is not published).
#                          Use for extrapolation warnings only.
#   note                 : qualifications
level,response,predictor,transform,slope,intercept,r2,r,p_value,n,side,significant,foramen_area_min_mm2,foramen_area_max_mm2,note
C2,VA_area_mm2,TF_area_mm2,log10,1.0980,-0.6844,,0.79,,16,right,yes,22.83,61.80,
C2,VA_area_mm2,TF_area_mm2,log10,1.0081,-0.4974,,0.71,,16,left,yes,26.07,57.10,
C2,VA_area_mm2,TF_area_mm2,log10,0.8718,-0.3000,,0.70,,16,both,yes,22.83,61.80,outer envelope of R and L ranges
C3,VA_area_mm2,TF_area_mm2,log10,1.3821,-0.9536,,0.84,,16,right,yes,17.67,50.48,
C3,VA_area_mm2,TF_area_mm2,log10,0.7875,-0.1055,,0.63,,16,left,yes,15.47,36.79,
C3,VA_area_mm2,TF_area_mm2,log10,1.1476,-0.6116,,0.82,,16,both,yes,15.47,50.48,outer envelope of R and L ranges
C4,VA_area_mm2,TF_area_mm2,log10,1.4089,-0.9864,,0.75,,16,right,yes,17.55,37.70,
C4,VA_area_mm2,TF_area_mm2,log10,0.68746,0.03023,,0.54,,16,left,yes,13.40,44.03,weakest significant fit in the table
C4,VA_area_mm2,TF_area_mm2,log10,0.9421,-0.3260,,0.62,,16,both,yes,13.40,44.03,outer envelope of R and L ranges
C5,VA_area_mm2,TF_area_mm2,log10,0.9003,-0.3068,,0.77,,16,right,yes,17.00,52.99,Table 1 prints the lower bound as "17.0"
C5,VA_area_mm2,TF_area_mm2,log10,0.9496,-0.3344,,0.76,,16,left,yes,18.04,62.71,
C5,VA_area_mm2,TF_area_mm2,log10,0.8932,-0.2759,,0.75,,16,both,yes,17.00,62.71,outer envelope of R and L ranges
C6,VA_area_mm2,TF_area_mm2,log10,0.8384,-0.2118,,0.87,,16,right,yes,14.31,71.25,strongest correlation in the table
C6,VA_area_mm2,TF_area_mm2,log10,0.8898,-0.2544,,0.80,,16,left,yes,14.62,58.16,
C6,VA_area_mm2,TF_area_mm2,log10,0.7823,-0.1075,,0.83,,16,both,yes,14.31,71.25,outer envelope of R and L ranges
