Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species name as printed in Matano (1992) Tables 1-4,,,info,,,Matano__1992_Tables1to4,journal names kept (e.g. Lemur fulvus; Cebuella pygmaea; Gorilla gorilla); taxonomy applied later via ../_keys/Stephan/species_key.csv token Matano1992,
group,taxonomic block = the source table (Scandentia / Prosimian = Table 1; New World monkey = Table 2; Old World monkey = Table 3; Ape/Human = Table 4),,,info,,,Matano__1992_Tables1to4,Matano splits the same schema across four tables by grade,
n,number of specimens (sample size),Number_inferior_olivary_nuclei,,n,primary,Scandentia & Primates,Matano__1992_Tables1to4,"Specimens (n) column; 78 individuals across 45 species",
body_weight_g,body weight in g (W),Body_weight,Mass.g,,secondary,Scandentia & Primates,Matano__1992_Tables1to4,re-used body weights (largely Stephan et al. 1981),
IOPr_mm3,volume of the principal inferior olivary nucleus in mm3,Nucleus_olivaris_inferior_principalis,Vol.mm3,,primary,Scandentia & Primates,Matano__1992_Tables1to4,"col ""Inf.Oliv. Principal"" (IOPr); the headline nucleus, regressed in Figs 1-2 (log IOPr = 0.71 log W - 1.73)",
IOAcMed_mm3,volume of the medial accessory inferior olivary nucleus in mm3,Nucleus_olivaris_inferior_accessorius_medialis,Vol.mm3,,primary,Scandentia & Primates,Matano__1992_Tables1to4,"col ""Inf.Oliv. Acc.Med.""",
IOAcDors_mm3,volume of the dorsal accessory inferior olivary nucleus in mm3,Nucleus_olivaris_inferior_accessorius_dorsalis,Vol.mm3,,primary,Scandentia & Primates,Matano__1992_Tables1to4,"col ""Inf.Oliv. Acc.Dors.""",
IOAc_mm3,volume of the accessory inferior olivary nuclei (medial + dorsal) in mm3,Nucleus_olivaris_inferior_accessorius,Vol.mm3,,primary,Scandentia & Primates,Matano__1992_Tables1to4,"printed col ""Med.+Dorsal"" (IOAc); = IOAcMed + IOAcDors, verified on all 45 rows; the second headline nucleus (Figs 3-4)",
activity_time,activity rhythm (D diurnal / N nocturnal),,,info,,,Matano__1992_Tables1to4,eco-ethological column; external (after Napier & Napier 1967), not a Matano measurement,
diet,diet class as printed (Ins insectivore / Fru frugivore / Fol folivore / Omni omnivore),,,info,,,Matano__1992_Tables1to4,eco-ethological column; external (after Napier & Napier 1967),
locomotor_type,"locomotor category code (SAQ, AQP, VCL, SCQ, NAQ, NSB, OTQ, OAQ, OSB, OTB, OMB, SBP; see README for the key)",,,info,,,Matano__1992_Tables1to4,eco-ethological column; external (after Napier & Napier 1967),
Method:accessory_total,"IOAc (printed Med.+Dorsal) is the arithmetic sum of the two accessory sub-nuclei (IOAcMed + IOAcDors). Kept as printed; if pooling with IOAcMed/IOAcDors, use IOAc OR the two parts, not both.",,,method,,,Matano__1992_Tables1to4,,
Method:size_indices,"The paper also reports size indices and IOPr/IOAc ratios to the medulla oblongata (Table 5, not transcribed here). These are derived (allometric/relative); recompute downstream from Stephan et al. 1981 medulla volumes if needed.",,,method,,,Matano__1992_Tables1to4,Table 5 holds the medulla-ratio size indices only; no new absolute volumes,
