Species,Variable,flag,detail
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Indri indri,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Leontopithecus rosalia,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Lophocebus albigena,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Loris tardigradus,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Macaca maura,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
Perodicticus potto,Agranular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Agranular_insular_cortex_left_Vol.mm3 (only one side measured)
