species_as_printed,N_CX,N_CX_status,N_M1,N_M1_status,N_SC,N_SC_status,N_M1_per_N_SC,source_location,data_role
Microcebus murinus,22.31e6,observed,0.43e6,predicted,1.68e6,observed,0.26,"Table 2, p. 451",secondary
Otolemur garnettii,226.09e6,observed,9.4e6,observed,5.73e6,observed,1.64,"Table 2, p. 451",secondary
Callithrix jacchus,244.72e6,observed,5.87e6,predicted,3.65e6,observed,1.61,"Table 2, p. 451",secondary
Aotus trivirgatus,441.90e6,observed,22.18e6,observed,5.82e6,observed,3.81,"Table 2, p. 451",secondary
Macaca fascicularis,800.96e6,observed,19.22e6,predicted,11.38e6,observed,1.69,"Table 2, p. 451",secondary
Cebus apella,1.14e9,observed,27.36e6,predicted,,,,"Table 2, p. 451",not_available
Saimiri sciureus,1.34e9,observed,20.52e6,observed,4.69e6,observed,4.78,"Table 2, p. 451",secondary
Macaca radiata,1.66e9,observed,39.84e6,predicted,9.06e6,observed,4.40,"Table 2, p. 451",secondary
Macaca mulatta,1.71e9,observed,41.04e6,predicted,10.00e6,observed,4.10,"Table 2, p. 451",secondary
Papio cynocephalus,2.88e9,observed,117.68e6,observed,13.48e6,predicted,8.73,"Table 2, p. 451",derived
Pan troglodytes,6.00e9,predicted,0.30e9,observed,15.16e6,predicted,19.79,"Table 2, p. 451",derived
Pongo pygmaeus,9.00e9,predicted,0.22e9,predicted,,,,"Table 2, p. 451",not_available
Gorilla gorilla,9.00e9,predicted,0.22e9,predicted,,,,"Table 2, p. 451",not_available
Homo sapiens,16.34e9,observed,0.39e9,predicted,19.94e6,predicted,19.56,"Table 2, p. 451",derived
