Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,species binomial as printed in Table 1,,Species,,info,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,printed name preserved; 'Loxodonta Africana' is printed with a capitalised epithet and is normalised at the merge,"printed Table 1 column species, p. 4"
category,"mammalian clade the species belongs to, from the printed clade heading rows (Primates, Eulipotyphla, Glires, Afrotheria, Artiodactyla, Scandentia)",,,,info,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,folded out of the printed heading rows into a column by the cleaning script,printed Table 1 clade heading rows
brain.mass..g.or.cm3.,"brain mass in grams, or brain volume in cubic centimetres where the cited source reported a volume; values refer to both hemispheres together",Brain,Mass.g,point,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,the printed column deliberately mixes g and cm3 depending on the source; per-cell reference numbers in the printed table identify which,"printed Table 1 column 'brain mass (g or cm3)' and its legend, p. 4"
daily.sleep..h.,average total number of sleep hours per day for the species,whole-organism,Sleep.h_day,mean,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,"NOT measured here: compiled from McNamara et al. (2008), the Phylogeny of Sleep Database (reference [7] of the paper). Where more than one estimate existed the printed value is the species average","printed Table 1 column 'daily sleep (h)'; legend 'Daily sleep hours from [7]'; Material and methods, p. 8"
D.A..N.mg.1.mm.2.,"D/A: ratio of cortical neuronal density (neurons per mg) to total cortical surface area (mm2), in N mg-1 mm-2",CerebralCortex,Density.ratio.N_mg_mm2,point,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,the paper's central variable - the parameter that best correlates with total daily sleep hours across species,"printed Table 1 column 'D/A (N mg-1 mm-2)' and legend, p. 4"
NCX,"number of neurons in the cerebral cortex, both hemispheres together",CerebralCortex,N.n,point,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,"printed in scientific notation (e.g. 441.90 x 10^6), converted to numeric by the cleaning script",printed Table 1 column NCX and legend
DNCX..N.mg.1.,"neuronal density in the cerebral cortical grey matter, in neurons per mg (or neurons per mm3 where taken from other authors)",CerebralCortexGrey,N.p.mg,point,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,"printed asterisk marks rows where the density INCLUDES white matter; the asterisks are stripped by the cleaning script, so consult the snapshot before treating this column as grey-matter-only","printed Table 1 column 'DNCX (N mg-1)' and legend, p. 4"
ACX..mm2.,"total surface area of the cerebral cortex, in mm2",CerebralCortex,Area.mm2,point,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,,printed Table 1 column 'ACX (mm2)' and legend
O.N,"O/N: ratio of the number of other (non-neuronal, presumed mostly glial) cells to the number of neurons in the cortical grey matter",CerebralCortexGrey,O.p.N,point,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,printed asterisk marks rows where the ratio includes white matter; asterisks stripped in cleaning,printed Table 1 column 'O/N' and legend
T,"thickness of the cortical grey matter in mm, computed by the author as cortical volume divided by cortical surface area (VCX/ACX)",CerebralCortexGrey,Thickness.mm,point,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,"a derived quantity, not a direct measurement","printed Table 1 column 'T' and legend 'T, thickness of the cortical grey matter (in mm), from VCX/ACX'"
MCX..g.or.cm3.,"mass of the cortical grey matter in grams, or its volume in cm3 where taken from other authors",CerebralCortexGrey,Mass.g,point,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,printed asterisk marks rows where the mass includes white matter; asterisks stripped in cleaning. Oryctolagus cuniculus prints n.a. for T and MCX,printed Table 1 column 'MCX (g or cm3)' and legend
Sleep_h_day,"project standardized term: total daily sleep, hours per day",whole-organism,Sleep.h_day,mean,primary,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,"project standardized term; also carried by Capellini_etal_2008_sleep-data - both descend from earlier sleep compilations, so resolve rather than average (citation dependency)",derived in __merging_sleep/sleep_compiled.R from column daily.sleep..h.
Method,"compilation of cortical neuron numbers, neuronal density, surface area, thickness and glia/neuron ratio for 24 species (mostly from the author's own isotropic-fractionation studies) joined to daily sleep hours from McNamara et al. (2008)",CerebralCortex,,,method,"Mammals (24 species, 6 clades)",HerculanoHouzel__2015_Table1,"cellular values are for one cortical hemisphere in the sources but the printed table states values refer to both hemispheres together; per-cell references in the snapshot identify the source of every value. Table 1 was captured from the PMC HTML because the rotated printed table would not extract from the PDF, then checked cell-by-cell against the PDF (folder ReadMe)","Material and methods, p. 8; table legend, p. 4"
