"species_row","Species_Baron1996","auditory_nuclei_mm3","cochlear_nuclei_mm3","nucleus_cochlearis_dorsalis_mm3","nucleus_cochlearis_ventralis_mm3","complexus_olivaris_superior_mm3","source_pdf_page"
1,"Eidolon helvum",12.771,9.244,5.223,4.022,3.527,110
2,"Rousettus aegyptiacus",9.883,6.444,3.177,3.267,3.438,110
3,"Myonycteris torquata",5.201,3.647,1.993,1.654,1.554,110
4,"Pteropus conspicillatus",13.574,9.001,4.136,4.865,4.573,110
5,"Pteropus poliocephalus",13.241,9.198,4.316,4.881,4.043,110
6,"Pteropus scapulatus",11.491,7.858,3.693,4.164,3.633,110
7,"Pteropus tonganus",11.927,7.417,3.521,3.897,4.51,110
8,"Pteropus vampyrus",16.926,10.637,4.746,5.891,6.289,110
9,"Dobsonia inermis",6.132,4,1.89,2.11,2.131,110
10,"D. moluccensis magna",13.5,8.79,4.171,4.619,4.71,110
11,"Dobsonia praedatrix",7.094,4.37,1.978,2.392,2.725,110
12,"Epomops franqueti",10.435,7.543,4.357,3.186,2.892,110
13,"Epomophorus labiatus",6.903,4.997,2.942,2.055,1.906,110
14,"Micropteropus pusillus",3.515,2.328,1.363,0.965,1.187,110
15,"Scotonycteris zenkeri",2.974,2.081,1.167,0.914,0.894,110
16,"Casinycteris argynnis",3.749,2.794,1.557,1.237,0.955,110
17,"Cynopterus brachyotis",3.474,2.456,1.274,1.182,1.018,110
18,"Cynopterus horsfieldi",6.066,4.668,2.568,2.1,1.399,110
19,"Megaerops ecaudatus",3.546,2.688,1.566,1.122,0.858,110
20,"Chironax melanocephalus",2.643,1.899,1.053,0.846,0.744,110
21,"Balionycteris maculata",1.817,1.305,0.691,0.615,0.512,110
22,"Nyctimene robinsoni",4.764,3.141,1.535,1.606,1.623,110
23,"Nyctimene vizcaccia",4.351,2.635,1.224,1.411,1.716,110
24,"Eonycteris spelaea",5.484,3.796,2.317,1.479,1.688,110
25,"Macroglossus minimus **",2.401,1.649,0.89,0.76,0.752,110
26,"Syconycteris a. australis",2.128,1.411,0.738,0.673,0.717,110
27,"Notopteris macdonaldi",5.071,3.181,1.672,1.509,1.89,110
28,"Rhinopoma hardwickei",4.41,2.333,0.72,1.614,2.077,111
29,"Rhinopoma microphyllum **",5.982,3.175,0.877,2.298,2.807,111
30,"Emballonura monticola",2.915,1.617,0.392,1.224,1.298,111
31,"Emballonura raffrayana",3.119,1.696,0.413,1.283,1.423,111
32,"Emballonura semicaudata",3.456,1.876,0.377,1.499,1.581,111
33,"Coleura afra",4.082,2.159,0.439,1.72,1.923,111
34,"Rhynchonycteris naso",2.339,1.167,0.203,0.964,1.172,111
35,"Saccopteryx leptura",3.475,2.038,0.555,1.483,1.437,111
36,"Cormura brevirostris",4.369,2.472,0.76,1.712,1.897,111
37,"Peropteryx trinitatis",2.814,1.598,0.381,1.217,1.215,111
38,"Taphozous australis",8.245,4.222,0.9,3.321,4.024,111
39,"Taphozous hildegardeae",8.493,4.679,1.32,3.358,3.814,111
40,"Taphozous theobaldi",11.753,6.281,1.518,4.762,5.472,111
41,"Taphozous saccolaimus",10.09,5.515,1.584,3.931,4.575,111
42,"Cyttarops alecto",3.507,1.873,0.373,1.5,1.634,111
43,"Craseonycteris thonglongyai",1.838,0.995,0.236,0.759,0.842,111
44,"Nycteris grandis",12.589,4.99,1.014,3.977,7.599,111
45,"Nycteris macrotis",6.989,2.836,0.637,2.199,4.154,111
46,"Nycteris nan a",4.475,1.809,0.412,1.397,2.665,111
47,"Nycteris thebaica",5.794,2.489,0.611,1.878,3.305,111
