scientific_name,common_name,activity_pattern,visual_acuity_cdeg_as_printed,source_as_printed
Homo sapiens,Human,Diurnal,47.0–86.0,"Hirsch and Curcio, 1989; Curcio et al., 1990"
Cebus apella,Tufted capuchin,Diurnal,38.8–54.8,"Andrade da Costa and Hokoç, 2000"
Callithrix jacchus,Common marmoset,Diurnal,30.0,"Troilo et al., 1993"
Equus caballus,Domestic horse,Cathemeral,16.4–20.4,"Timney and Keil, 1992"
Camelus dromedarius,Dromedary camel,Cathemeral,10.4,"Harman et al., 2001"
Aotus azarae,Azara’s owl monkey,Nocturnal or Cathemeral,8.3,"Yamada et al., 2001"
Felis catus,Domestic cat,Cathemeral,8.1,"Hughes, 1975"
Otolemur crassicaudatus,Fat-tailed bush baby,Nocturnal,6.2–7.5,"DeBruyn et al., 1980; Dkhissi-Benyahya et al., 2001"
Callorhinus ursinus,Northern fur seal,Cathemeral,5.6–7.1,"Mass and Supin, 1992"
Myrmecobius fasciatus,Numbat,Diurnal,6.3,"Arrese et al., 2000"
Pteropus poliocephalus,Gray-headed flying fox,Nocturnal,5.5,"Pettigrew et al., 1988"
Microcebus murinus,Gray mouse lemur,Nocturnal,4.9,"Dkhissi-Benyahya et al., 2001"
Trichosurus vulpecula,Brush-tailed possum,Nocturnal,4.8,"Freeman and Tancred, 1978"
Enhydra lutris,Sea otter,Diurnal,4.2 (air and water),"Mass and Supin, 2000"
Balaenoptera acutorostrata,Minke whale,Cathemeral,3.9–4.2 (water),"Murayama et al., 1992"
Loxodonta africana,African elephant,Cathemeral,4.1,"Stone and Halasz, 1989"
Pteropus scapulatus,Little red flying fox,Nocturnal,4.0,"Pettigrew et al., 1988"
Odobenus rosmarus,Pacific walrus,Cathemeral,3.8,"Mass, 1992"
Delphinus delphis,Common dolphin,Cathemeral,3.8 (water),"Dral, 1983"
Pseudorca crassidens,False killer whale,Cathemeral,3.3 (water),"Murayama and Somiya, 1998"
Tursiops truncatus,Bottlenose dolphin,Cathemeral,2.5 (air); 3.3 (water),"Mass and Supin, 1995"
Rousettus sp.,Rousette fruit bat,Nocturnal,3.0,"Marks, 1980; cited in Pettigrew et al., 1988"
Phocoena phocoena,Harbor porpoise,Cathemeral,2.1 (air); 2.7 (water),"Mass and Supin, 1986"
Eschrichtius robustus,Gray whale,Cathemeral,2.7 (water),"Mass and Supin, 1997"
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Cathemeral,2.7 (water),"Murayama and Somiya, 1998"
Delphinapterus leucas,Beluga whale,Cathemeral,2.6 (water),"Murayama and Somiya, 1998"
Dasyurus hallucatus,Quoll,Nocturnal,2.6,"Harman et al., 1986"
Phocoenoides dalli,Dall’s porpoise,Cathemeral,2.5–2.6 (water),"Murayama et al., 1992, 1995"
Phascolarctos cinereus,Koala,Cathemeral,2.4,"Schmid et al., 1992"
Sminthopsis crassicaudata,Fat-tailed dunnart,Nocturnal,2.3,"Arrese et al., 1999"
Macroderma gigas,Australian false vampire bat,Nocturnal,1.9,"Pettigrew et al., 1988"
Mesocricetus auratus,Golden hamster,Nocturnal,1.8,"Tiao and Blakemore, 1976"
Megaderma lyra,Greater false vampire bat,Nocturnal,1.5,"Pettigrew et al., 1988"
Artibeus cinereus,Gervaif fruit eating bat,Nocturnal,1.4,"Pettigrew et al., 1988"
Taphozous georgianus,Brown sheath-tailed bat,Nocturnal,1.3,"Pettigrew et al., 1988"
Sotalia fluviatilis,River dolphin (tucuxi),Cathemeral,0.9 (air); 1.2 (water),"Mass and Supin, 1999"
Saccopteryx sp.,White-lined bat,Nocturnal,1.0,"Marks, 1980; cited in Pettigrew et al., 1988"
Tarsipes rostratus,Honey possum,Cathemeral,0.8,"Dunlop et al., 1994"
Inia geoffrensis,Amazon dolphin (boutos),Cathemeral,0.6 (air); 0.8 (water),"Mass and Supin, 1989, 1999"
Eptesicus sp.,Big brown bat,Nocturnal,0.7,"Marks, 1980; cited in Pettigrew et al., 1988"
Nyctophilus gouldi,Gould’s long-eared bat,Nocturnal,0.6,"Pettigrew et al., 1988"
Rhinolophus rouxi,Horseshoe bat,Nocturnal,0.4,"Pettigrew et al., 1988"
