"Species","Specimen #","N","Nw","Ng","FR","FRw","FRg","Fr/Neo (%) Current study","Fr/Neo (%) Semendeferi 1997","Fr/Neo (%) Semendeferi 2002","Stephan unpublished N","Brain","BG"
"Pan troglodytes","280",321677,130114,191563,117753,53062,64691,36.6,"35.9","35.4(61.9)",331912,444981,15890
"Pan paniscus","yn860137",235469,76921,158548,79632,29100,50532,33.8,,"34.7(60.6)",,378400,
"Gorilla gorilla","375",307550,98839,208711,108754,35905,72848,35.4,"32.4","35.0and36.9",307299,434363,15714
"Pongo pygm.","297",327005,143847,183158,123641,59201,64440,37.8,"35.3","37.6(61.1)",,424700,
"Hylobates lar","1203",66499,19891,46608,19249,6067,13182,28.9,"31.1","29.4(61.8)",65735,98359,5495
"Papio anubis","97",130886,51365,79521,38136,15087,23049,29.1,,,132254,184363,8230
"Cercoceb. alb.","242",73005,25173,47832,21386,7568,13818,29.3,,,73496,106660,5018
"Cercopith. Mit.","261",49500,15693,33807,15273,5057,10215,30.9,,,49933,72394,
"Cercopith. asc.","219",40393,12121,28273,10261,3143,7119,25.4,,,41459,59363,3000
"Erythroceb. p.","1341",70004,24210,45794,16641,5878,10763,23.8,,,69118,93726,
"Miopith. tal.","1171",26918,7181,19738,7083,1895,5188,26.3,,,27175,39672,
"Nasalis larv.","1365",42022,12037,29985,10997,2941,8055,26.2,,,41521,62017,3024
"Procol. bad.","213",51273,14651,36622,15015,4400,10615,29.3,,,51420,75965,4025
"Alouatta sen.","1184",27357,7535,19822,8174,2753,5421,29.9,,,27385,45174,
"Ateles geoffroyi","1000",69323,16627,52696,22151,5962,16190,32,,,69807,102703,5684
"Lagothr.lagotr.","1571",60026,19202,40824,17017,5872,11145,28.3,,,58994,88156,5521
"Pith. monachus","1180",20862,6261,14601,5482,1654,3828,26.3,,,20659,32819,
"Cebus albifrons","1200",52450,18212,34237,14694,5523,9170,28,,"29.6and31.5",52941,77027,4193
