species_as_published,symbol,binomial_assigned,basis,note
dolphin,Do,Tursiops truncatus,cited_primary,"Renaud and Popper ('75) 'Sound localization by the bottlenose porpoise Tursiops truncatus' (paper's own reference list)"
elephant,E,Elephas maximus,cited_primary_inferred,"R. Heffner and Heffner ('82) 'Hearing in the elephant' studied the Indian elephant"
man,M,Homo sapiens,unambiguous,
seal,S,Phoca vitulina,cited_primary,"Terhune ('74) 'Directional hearing of the harbor seal in air and water' (paper's own reference list); Schusterman ('72) pinniped acuity includes P. vitulina"
opossum,Op,Didelphis virginiana,stated_in_text,"Methods: 'opossum (Didelphis virginiana)'"
pig,P,Sus scrofa,stated_in_text,"Methods: 'pig (Sus scrofa)'"
macaque,Mk,Macaca sp.,ambiguous,"cited primaries mix species: Brown et al ('80) old world monkeys; Cowey and Ellis ('67) rhesus; student compilation assigned 'Japanese macaque' (M. fuscata) - an interpretation, not stated in the paper"
cat,C,Felis catus,stated_in_text,"printed as Felis domesticus (Methods); modern synonym F. catus"
dog,D,Canis familiaris,stated_in_text,"Methods: 'dog (Canis familiaris)'"
ferret,F,Mustela putorius,cited_primary,"Kavanagh and Kelly ('87) ferret (Mustela putorius)"
sea lion,Sl,Zalophus californianus,cited_primary,"Moore ('75) California sea lion (Zalophus californianus)"
norway rat domestic,Rd,Rattus norvegicus,stated_in_text,"albino/domestic laboratory strain; see Kavanagh and Kelly ('86)"
least weasel,W,Mustela nivalis,stated_in_text,"Methods: 'least weasel (Mustela nivalis)'"
norway rat wild,Rw,Rattus norvegicus,stated_in_text,"wild-caught; text distinguishes wild vs domestic varieties"
goat,G,Capra hircus,cited_primary,"R. Heffner and Heffner (in press) 'cattle (Bos taurus) and goats (Capra hircus)'"
wood rat,Wr,Neotoma floridana,stated_in_text,"text: 'wood rat (Cricetidae, Neotoma floridana)'"
hedgehog,Hh,Paraechinus hypomelas,cited_primary,"Chambers ('71) 'Sound localization in the hedgehog (Paraechinus hypomelas)' (paper's own reference list)"
spiny mouse,Sp,Acomys cahirinus,cited_primary,"Mooney ('91) thesis on Acomys cahirinus and Phyllotis darwinii; spiny mouse = A. cahirinus"
grasshopper mouse,Gm,Onychomys leucogaster,stated_in_text,"text: 'grasshopper mouse (Cricetidae, Onychomys leucogaster)'"
horse,H,Equus caballus,cited_primary_inferred,"H. Heffner and Heffner ('84) horse audiogram/localization work"
cow,Cw,Bos taurus,stated_in_text,"text: '(Bovidae, Bos taurus)'"
gerbil,Gr,Meriones unguiculatus,stated_in_text,"text: 'gerbil (Cricetidae, Meriones unguiculatus)'"
kangaroo rat,Kr,Dipodomys merriami,cited_primary_inferred,"H. Heffner and Masterton ('80) 'Hearing in Glires' kangaroo rat = D. merriami"
gopher,Go,Geomys bursarius,stated_in_text,"text: 'pocket gopher (Geomidae, Geomys bursarius)'"
