term,expansion,definition,kind,applies_to,common,source,note
BMR,basal metabolic rate,"Whole-animal metabolic rate measured at rest in a thermoneutral, post-absorptive animal.",acronym,metabolism,FALSE,"_keys/variable_canonical.csv (BMR_wholeanimal, ""basal metabolic rate (whole animal)"", mL O2/h)",The merge carries both BMR_wholeanimal (mL O2/h) and BMR_massspecific (mL O2/h/g).
CM,corticomotoneuronal,A direct (monosynaptic) connection from a corticospinal axon onto a spinal motoneuron.,acronym,sensorimotor & motor pathways,FALSE,_keys/variable_catalog.csv (Bortoff_Strick_1993),"CM_connection_inference is Bortoff & Strick's own conservative inference about such a connection, not a direct observation."
CNS,central nervous system,Brain plus spinal cord.,acronym,brain structure & size; cellular composition,FALSE,"Burish_etal_2010/Burish_etal_2010_definitions.csv (""%MCNS"" / ""%NCNS"" defined as fractions of ""the CNS mass; brain + spinal cord"")",
CST,corticospinal tract,The descending motor pathway from cerebral cortex to spinal cord; also called the pyramidal tract.,acronym,sensorimotor & motor pathways,FALSE,"_keys/variable_catalog.csv (Heffner_Masterton_1975 ""number of fibres in the pyramidal (corticospinal) tract""; Bortoff_Strick_1993)",
DT,daily torpor,A torpor phenotype in which torpor bouts last less than about 24 h and recur on a daily cycle.,acronym,sleep & torpor,FALSE,"Ruf_Geiser_2015/Ruf_Geiser_2015_Table1.ReadMe.md (""T — torpor type: DT (daily torpor) or HIB (hibernation)"")",One of the two values of Torpor_type.
GI,gyrification index,Ratio of the total (inner + buried) cortical contour to the superficially exposed (outer) contour on coronal sections. GI = 1 means no folding; higher values mean more folded.,acronym,cortical & cerebellar folding,FALSE,_keys/variable_catalog.csv (Zilles_etal_2013; Lewitus_etal_2014 definitions file),NOT the same quantity as the Mota & Herculano-Houzel folding index (FI) — the catalog records that these are distinct and are never pooled.
GMI,global manipulation index,"Liu et al. 2016's headline composite measure of manipulative potential, computed from hand segment proportions.",acronym,hand & limb morphology,FALSE,Liu_etal_2016/Liu_etal_2016_TableS1.README.md; Liu_etal_2016/reference_tables/Liu_etal_2016_TableS1_definitions.csv,Carried into the app under the name Manipulability_index by ____EvoM1_TraitTable/EvoM1_read_hand_liu.R.
HI,handedness index,A laterality index for hand preference; the mean is signed (direction of bias) and the strength is its absolute value.,acronym,behaviour & cognition,FALSE,__merging_behaviour/behaviour_long.csv measures Handedness_index_mean (HI) and Handedness_strength_mean (abs(HI)),Underlying source is Caspar 2022 per __merging_behaviour/README__merging.md.
HIB,hibernation,"A torpor phenotype with multi-day torpor bouts, typically seasonal.",acronym,sleep & torpor,FALSE,Ruf_Geiser_2015/Ruf_Geiser_2015_Table1.ReadMe.md,The other value of Torpor_type.
ILA,interlaminar astrocytes,Astrocytes with a soma in cortical layer I that extend an interlaminar process running perpendicular to the pia into deeper cortical layers.,acronym,brain structure & size; cellular composition,FALSE,Falcone_etal_2019/Falcone-2019-Cortical interlaminar astrocytes.pdf (abstract) + Falcone_etal_2019/Falcone_variables.xlsx,"Falcone et al. 2019 distinguish pial ILA (present in all mammals sampled) from subpial ILA (absent in Marsupialia), and rudimentary (process does not exit layer I) from ""typical"" ILA (process exits layer I)."
PSD,postsynaptic density,The electron-dense specialisation on the postsynaptic membrane of a synapse; its length is used as an ultrastructural proxy for synapse size.,acronym,cellular composition,FALSE,Karl_etal_2024/Karl-2024-Invariance of Mitochondria and Synap.pdf (abstract),
REM,rapid eye movement sleep,"The sleep state characterised by rapid eye movements, low-voltage fast EEG and muscle atonia; also called paradoxical sleep.",acronym,sleep & torpor,FALSE,"Lyamin_etal_2008/Lyamin_etal_2008_Table1.ReadMe.md (Table 1 column ""REM sleep (%)"")",
SWS,slow-wave sleep,Non-REM sleep characterised by high-amplitude slow EEG waves.,acronym,sleep & torpor,FALSE,"Lyamin_etal_2008/Lyamin_etal_2008_Table1.ReadMe.md (Table 1 columns ""Unihemispheric SWS (%)"" / ""Bilateral SWS (%)"")",
Tb,body temperature,"Core body temperature. Torpor_Tb_min_C is the minimum body temperature reached in torpor, in degrees Celsius.",acronym,sleep & torpor,FALSE,"Ruf_Geiser_2015/Ruf_Geiser_2015_Table1.ReadMe.md (""Tb min — minimum torpor body temperature (°C)"")",
TST,total sleep time,"Total time spent asleep, normally per 24 h.",acronym,sleep & torpor,FALSE,"Lyamin_etal_2008/Lyamin_etal_2008_Table1.ReadMe.md (Table 1 column ""Total sleep time (h/day)"")",Appears in this repo only inside the label USWS_pctTST (USWS as a percent of TST).
USWS,unihemispheric slow-wave sleep,Slow-wave sleep occurring in one cerebral hemisphere at a time while the other remains awake — the cetacean/avian sleep pattern.,acronym,sleep & torpor,FALSE,Lyamin_etal_2008/Lyamin_etal_2008_Table1.ReadMe.md,In this repo USWS is expressed as a percentage of total sleep time (USWS_pctTST).
