Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species (harmonised binomial; resolved through the species key with token Ribeiro2013),,,,info,Homo sapiens,Ribeiro_etal_2013_Table1,single-species study,
Species_Ribeiro2013,species as named in the paper,,,,info,Homo sapiens,Ribeiro_etal_2013_Table1,"the paper prints only ""human"" (title, abstract, Methods/Subject); no binomial appears anywhere in the article",
n,number of individuals,,,,info,Homo sapiens,Ribeiro_etal_2013_Table1,"1 - the right cerebral cortex of a 65-year-old female, cut into 101 coronal sections of 2 mm",
Region,cortical region exactly as printed in the first column of Table 1,,,,info,Homo sapiens,Ribeiro_etal_2013_Table1,"printed order: Prefrontal, Frontal, Temporal, Insula, Parietal, Posterior, V1. Table 1's ""Frontal"" is the ""dorsal"" cortex of the Methods and ""Posterior"" is its ""occipital"" zone (sections 73-101) - the paper uses the two label sets interchangeably",
region_term,proposed never-pooled regional term for the merge (mechanically derived from Region),,,,info,Homo sapiens,Ribeiro_etal_2013_Table1,"derived as gsub([^A-Za-z0-9],'',Region) + 'CortexGrey'; the regional-term vocabulary decision is still open - see __merging_cellcounts/HH_coverage_gaps_scaffold.md 'Design note'",
CorticalGrey_N.p.mg,mean neuronal density in the cortical grey matter of that region,CerebralCortexGrey,N.p.mg,mean,primary,Homo sapiens,Ribeiro_etal_2013_Table1,"neurons per mg. REGIONAL - never pool with, or average into, whole-cortex CerebralCortex_N.p.mg. Mean over the coronal sections of the region, unweighted by section mass, so the seven values cannot be recombined into a cortex-wide mean",isotropic fractionator (HH lab)
CorticalGrey_N.p.mg_SE,dispersion printed after the neuronal density,CerebralCortexGrey,N.p.mg,SE,primary,Homo sapiens,Ribeiro_etal_2013_Table1,"the printed column header says SE and the printed legend also says 'standard error' for this column",
CorticalGrey_O.p.mg,mean other (non-neuronal) cell density in the cortical grey matter of that region,CerebralCortexGrey,O.p.mg,mean,primary,Homo sapiens,Ribeiro_etal_2013_Table1,other cells per mg. REGIONAL - never pool with whole-cortex CerebralCortex_O.p.mg,isotropic fractionator (HH lab)
CorticalGrey_O.p.mg_SE,dispersion printed after the other-cell density,CerebralCortexGrey,O.p.mg,SE,primary,Homo sapiens,Ribeiro_etal_2013_Table1,"AMBIGUOUS IN THE SOURCE: the printed column header says '+- SE' but the printed legend calls this column's dispersion 'standard deviation'. Kept under the header's name; the contradiction is unresolved in the paper",
CorticalGrey_O.p.N,mean other-cell / neuron ratio in the cortical grey matter of that region,CerebralCortexGrey,O.p.N,mean,primary,Homo sapiens,Ribeiro_etal_2013_Table1,"printed value; it is the mean of the per-section ratios, which is why it does not equal CorticalGrey_O.p.mg / CorticalGrey_N.p.mg (see ONratio_check_pct_diff)",
CorticalGrey_O.p.N_SE,dispersion printed after the other-cell / neuron ratio,CerebralCortexGrey,O.p.N,SE,primary,Homo sapiens,Ribeiro_etal_2013_Table1,same header-vs-legend SE/SD contradiction as CorticalGrey_O.p.mg_SE,
sig_N.p.mg,ANOVA significance marker printed on the neuronal-density cell,,,,note,Homo sapiens,Ribeiro_etal_2013_Table1,"printed legend: * significantly different from all other cortical regions; ** significantly smaller than all others; *** significantly larger than all others except the posterior, V1 and insula (all ANOVA p < 0.05)",
sig_O.p.mg,ANOVA significance marker printed on the other-cell-density cell,,,,note,Homo sapiens,Ribeiro_etal_2013_Table1,same marker legend,
sig_O.p.N,ANOVA significance marker printed on the O/N ratio cell,,,,note,Homo sapiens,Ribeiro_etal_2013_Table1,same marker legend,
parse_flags,printed cells that could not be parsed into mean and dispersion,,,,note,Homo sapiens,Ribeiro_etal_2013_Table1,empty (NA) means every printed cell parsed cleanly; all 21 cells parsed,
ONratio_check_from_densities,QA only - CorticalGrey_O.p.mg divided by CorticalGrey_N.p.mg,,,,note,Homo sapiens,Ribeiro_etal_2013_Table1,derived in the .R; not a measurement,
ONratio_check_pct_diff,QA only - percentage by which the printed O/N ratio exceeds ONratio_check_from_densities,,,,note,Homo sapiens,Ribeiro_etal_2013_Table1,"+0.9% to +2.8% across the seven regions; the sign and size are what a mean-of-ratios vs ratio-of-means difference predicts, so this is a consistency pass, not a mismatch",
Method:region,"WITHIN-HUMAN REGIONAL densities from one hemisphere. Keep SEPARATE from the whole-cortex CerebralCortex_* terms Homo sapiens already carries in __merging_cellcounts (from Herculano-Houzel et al. 2015); never pooled, averaged or summed into them - the same rule Jacobs_etal_2018 states for M1",,,,method,Homo sapiens,Ribeiro_etal_2013_Table1,,
Method:units,"densities are per mg of cortical GREY matter. The units are not printed in the table header; they come from the Results text ('between approximately 10,000 and 50,000 N/mg' and 'approximately 30,000-90,000 O/mg'). No unit conversion is applied",,,,method,Homo sapiens,Ribeiro_etal_2013_Table1,,
Method:sample,"isotropic fractionator (Herculano-Houzel & Lent 2005). Region section ranges from the Methods: prefrontal 1-17, temporal 26-57, insula 32-51, dorsal 18-57, parietal 58-72, occipital 73-101; V1 sampled separately where the stria of Gennari was visible and also counted inside the occipital data points",,,,method,Homo sapiens,Ribeiro_etal_2013_Table1,,
