"Species","Species_Smaers2018","Brain_Vol.mm3","MedialCerebellum_Vol.mm3","Cerebellum_Vol.mm3","LateralCerebellum_Vol.mm3","Source"
"Loxodonta africana","Loxodonta africana",5145000,85230,946360,861130,"Maseko et al. 2012"
"Procolobus badius","Procolobus badius",78700,2690,8430,5740,"Smaers et al. 2011"
"Nasalis larvatus","Nasalis larvatus",64250,2630,7650,5020,"Smaers et al. 2011"
"Macaca mulatta","Macaca mulatta",90560,2630,8090,5460,"MacLeod et al. 2003"
"Lophocebus albigena","Lophocebus albigena",112000,4000,11700,7700,"MacLeod et al. 2003"
"Papio anubis","Papio anubis",191000,5190,17710,12520,"Smaers et al. 2011"
"Papio cynocephalus","Papio cynocephalus",144800,3780,13830,10050,"MacLeod et al. 2003"
"Mandrillus sphinx","Mandrillus sphinx",155900,3510,16230,12720,"Maseko et al. 2012"
"Cercocebus torquatus","Cercocebus torquatus",98850,2300,8650,6350,"MacLeod et al. 2003"
"Erythrocebus patas","Erythrocebus patas",89000,2700,7900,5200,"MacLeod et al. 2003"
"Miopithecus talapoin","Miopithecus talapoin",41100,1250,3700,2450,"Smaers et al. 2011"
"Cercopithecus ascanius","Cercopithecus ascanius",61500,1730,4940,3210,"Smaers et al. 2011"
"Cercopithecus mitis","Cercopithecus mitis",75000,2000,5840,3840,"Smaers et al. 2011"
"Hylobates lar","Hylobates lar",91370,2160,12190,10030,"MacLeod et al. 2003"
"Pongo pygmaeus","Pongo pygmaeus",372310,4770,45010,40240,"MacLeod et al. 2003"
"Gorilla gorilla","Gorilla gorilla",401280,6300,59380,53080,"MacLeod et al. 2003"
"Pan paniscus","Pan paniscus",322650,6480,47300,40820,"MacLeod et al. 2003"
"Pan troglodytes","Pan troglodytes",350930,5090,46280,41190,"MacLeod et al. 2003"
"Homo sapiens","Homo sapiens",1265110,11750,139160,127410,"MacLeod et al. 2003"
"Aotus trivirgatus","Aotus trivirgatus",19130,900,1750,850,"MacLeod et al. 2003"
"Saimiri sciureus","Saimiri sciureus",22020,900,2000,1100,"MacLeod et al. 2003"
"Cebus albifrons","Cebus albifrons",76500,2350,7050,4700,"MacLeod et al. 2003"
"Cebus apella","Cebus apella",66450,1830,6450,4620,"MacLeod et al. 2003"
"Ateles geoffroyi","Ateles geoffroyi",106400,2800,11160,8360,"Smaers et al. 2011"
"Ateles paniscus","Ateles paniscus",90700,3030,10370,7340,"MacLeod et al. 2003"
"Alouatta seniculus","Alouatta seniculus",37400,1450,4150,2700,"MacLeod et al. 2003"
"Pithecia pithecia","Pithecia pithecia",34000,1320,3580,2260,"Smaers et al. 2011"
"Nycticebus coucang","Nycticebus coucang",13350,730,1420,690,"Maseko et al. 2012"
"Eulemur mongoz","Eulemur mongoz",21800,700,1510,810,"Maseko et al. 2012"
"Lama guanicoe","Lama guanicoe",200300,9390,22460,13070,"Maseko et al. 2012"
"Sus scrofa","Sus scrofa",95300,4470,9280,4810,"Maseko et al. 2012"
"Tursiops truncatus","Tursiops truncatus",1500000,22420,258750,236330,"Maseko et al. 2012"
"Phocoena phocoena","Phocoena phocoena",494500,5810,70460,64650,"Maseko et al. 2012"
"Odocoileus virginianus","Odocoileus virginianus",160000,10960,18750,7790,"Maseko et al. 2012"
"Bos taurus indicus","Bos taurus indicus",520500,16260,33710,17450,"Maseko et al. 2012"
"Ursus maritimus","Ursus maritimus",458600,13870,51950,38080,"Maseko et al. 2012"
"Phoca vitulina","Phoca vitulina",275000,3930,24010,20080,"Maseko et al. 2012"
"Zalophus californianus","Zalophus californianus",379130,6680,58190,51510,"Maseko et al. 2012"
"Ailurus fulgens","Ailurus fulgens",41680,1680,4880,3200,"Maseko et al. 2012"
"Nasua narica","Nasua narica",37000,1100,3490,2390,"Maseko et al. 2012"
"Bassariscus astutus","Bassariscus astutus",20700,920,2000,1080,"Maseko et al. 2012"
"Mustela putorius","Mustela putorius",8300,540,1120,580,"Maseko et al. 2012"
"Mustela erminea","Mustela erminea",4000,180,400,220,"Maseko et al. 2012"
"Neovison vison","Neovison vison",8500,510,1170,660,"Maseko et al. 2012"
"Galictis vittata","Galictis vittata",24300,740,1770,1030,"Maseko et al. 2012"
"Vulpes vulpes","Vulpes vulpes",43500,1610,4590,2980,"Maseko et al. 2012"
"Panthera leo","Panthera leo",258000,9870,26540,16670,"Maseko et al. 2012"
"Felis silvestris","Felis silvestris",36900,1880,4190,2310,"Maseko et al. 2012"
"Crocuta crocuta","Crocuta crocuta",162500,6060,15840,9780,"Maseko et al. 2012"
"Cynictis penicillata","Cynictis penicillata",14480,730,1340,610,"Maseko et al. 2012"
