"Genus","structure","slope","y_intercept","progression_index"
"Pongo","Whole brain",0.63,1.6128,8.48
"Gorilla","Whole brain",0.63,1.6128,8.37
"Pan","Whole brain",0.63,1.6128,11.41
"Hylobates","Whole brain",0.63,1.6128,10.71
"Homo","Whole brain",0.63,1.6128,30.12
"Pongo","Medulla oblongata",0.6,0.793,1.28
"Gorilla","Medulla oblongata",0.6,0.793,1.17
"Pan","Medulla oblongata",0.6,0.793,1.49
"Hylobates","Medulla oblongata",0.6,0.793,2.02
"Homo","Medulla oblongata",0.6,0.793,2.01
"Pongo","Cerebellum (including pons)",0.67,0.569,8.6
"Gorilla","Cerebellum (including pons)",0.67,0.569,8.08
"Pan","Cerebellum (including pons)",0.67,0.569,8.85
"Hylobates","Cerebellum (including pons)",0.67,0.569,9.92
"Homo","Cerebellum (including pons)",0.67,0.569,22.1
"Pongo","Mesencephalon",0.54,0.569,2.99
"Gorilla","Mesencephalon",0.54,0.569,2.28
"Pan","Mesencephalon",0.54,0.569,3.06
"Hylobates","Mesencephalon",0.54,0.569,3.69
"Homo","Mesencephalon",0.54,0.569,5.49
"Pongo","Diencephalon",0.6,0.4765,6.52
"Gorilla","Diencephalon",0.6,0.4765,6.28
"Pan","Diencephalon",0.6,0.4765,8.19
"Hylobates","Diencephalon",0.6,0.4765,10.64
"Homo","Diencephalon",0.6,0.4765,14.4
"Pongo","Telencephalon",0.63,1.357,10.93
"Gorilla","Telencephalon",0.63,1.357,11.16
"Pan","Telencephalon",0.63,1.357,15.91
"Hylobates","Telencephalon",0.63,1.357,14.38
"Homo","Telencephalon",0.63,1.357,43.41
"Pongo","Neocortex",0.67,0.479,49.25
"Gorilla","Neocortex",0.67,0.479,49
"Pan","Neocortex",0.67,0.479,72.73
"Hylobates","Neocortex",0.67,0.479,66.5
"Homo","Neocortex",0.67,0.479,199.15
"Pongo","Hippocampus",0.57,0.587,1.39
"Gorilla","Hippocampus",0.57,0.587,1.7
"Pan","Hippocampus",0.57,0.587,2.15
"Hylobates","Hippocampus",0.57,0.587,5
"Homo","Hippocampus",0.57,0.587,4.81
"Pongo","Regio entorhinalis",0.6,0.0805,1.51
"Gorilla","Regio entorhinalis",0.6,0.0805,2.2
"Pan","Regio entorhinalis",0.6,0.0805,2.67
"Hylobates","Regio entorhinalis",0.6,0.0805,5.26
"Homo","Regio entorhinalis",0.6,0.0805,6.61
"Pongo","Paleocortex (+ corpus amygdaloideum)",0.57,1.0391,0.43
"Gorilla","Paleocortex (+ corpus amygdaloideum)",0.57,1.0391,0.61
"Pan","Paleocortex (+ corpus amygdaloideum)",0.57,1.0391,0.55
"Hylobates","Paleocortex (+ corpus amygdaloideum)",0.57,1.0391,0.84
"Homo","Paleocortex (+ corpus amygdaloideum)",0.57,1.0391,1.49
"Pongo","Septum",0.57,-0.0346,1.34
"Gorilla","Septum",0.57,-0.0346,1.75
"Pan","Septum",0.57,-0.0346,2.03
"Hylobates","Septum",0.57,-0.0346,2.36
"Homo","Septum",0.57,-0.0346,5.1
"Pongo","Corpus striatum (nucleus caudatus/putamen)",0.6,0.257,9.18
"Gorilla","Corpus striatum (nucleus caudatus/putamen)",0.6,0.257,7.83
"Pan","Corpus striatum (nucleus caudatus/putamen)",0.6,0.257,10.8
"Hylobates","Corpus striatum (nucleus caudatus/putamen)",0.6,0.257,14.77
"Homo","Corpus striatum (nucleus caudatus/putamen)",0.6,0.257,20.56
