source_paper,ref_numbers,species,decision,rule_type,pdf_page,verbatim
Stephan_etal,"24,51-52",Cebus albifrons,1970 lists Cebus sp. (n=1) and C. albifrons (n=1); 1981 lists Cebus sp. (n=2); 1988 gives the same data as C. albifrons (n=2). DeCasien assumes C. albifrons.,species identity resolved via the 1988 listing,12,"In 1988, the same data are provided, but the species is listed as C. albifrons (n=2). Here, we follow other studies and assume the species is C. albifrons"
Stephan_etal,"24,51-52",Alouatta seniculus,1970 gives A. seniculus (n=1); 1981 refers to Alouatta sp. (n=2); 1988 gives the same data as A. seniculus (n=2). DeCasien assumes A. seniculus.,species identity resolved via the 1988 listing,12,"In 1988, the same data are provided, but the species is listed as A. seniculus (n=2)"
Stephan_etal,"24,51-52",Callicebus moloch,"components fail to sum to the whole in the 1981 data, possibly a hydrocephalus correction in one specimen; DeCasien uses the 1970 data instead",source-year override,12,The components fail to sum to the whole in the 1981 data ... we follow other studies and utilize data for C. moloch from 1970
Stephan_etal,"24,51-52",Aotus trivirgatus,"subspecies classification uncertain; alternate names incl. A. infulatus, possibly conspecific with A. a. azarae",taxonomic caveat,12,
Stephan_etal,"24,51-52",(all),"medulla, cerebellum, neocortex (GM+WM) and LGN were re-measured for some specimens in later studies; the more recent measurement is used",recency priority within a source family,12,"In these cases, the more recent measurements were used"
Rilling_Insel,62-63,(all),"the two papers appear to use the same specimens; where brain volume differs, the more recent is used",recency priority within a source family,12,"Rilling & Insel data appear to be based on the same specimens. In the few cases where brain volume differs between these sources, the more recent data were used"
Sherwood_etal,64,Pan; Pongo,all measurements from this study were included,inclusion scope,12,
Sherwood_etal,64,Gorilla,"only thalamus measurements included; all other regions were re-measured in Barks et al., but Barks excluded the posterior thalamus",inclusion scope,12,"For Gorilla, only thalamus measurements were included since all other regions were re-measured in Barks et al."
Bush_Allman,54-55,Daubentonia madagascariensis,measurements based on a T2-weighted MRI together with Nissl-stained frozen sections from the same brain,method note,12,
Semendeferi_Damasio,66,(all),"whole-brain volumes exclude medulla, pons and most of the midbrain, so the dataset was excluded entirely",dataset excluded,13,
