printed_name,binomial,basis
Camelus bactrius,Camelus bactrianus,printed misspelling
Zalophus californicus,Zalophus californianus,older/incorrect ending as printed
Eumetopias jubata,Eumetopias jubatus,older form as printed
Sciurus caroliniensis,Sciurus carolinensis,printed misspelling (same form as VK2014)
Amblonyx cinerea,Aonyx cinereus,genus/gender change; Bath compilation used Aonyx cinerea
Rhinolophus rouxi,Rhinolophus rouxii,orthographic variant as printed
Rousettus sp.,Rousettus sp.,genus-level as printed
Saccopteryx sp.,Saccopteryx sp.,genus-level as printed
Eptesicus sp.,Eptesicus sp.,genus-level as printed
Artibeus cinereus,Artibeus cinereus,binomial as printed; printed common name 'Gervaif fruit eating bat' is a misprint of Gervais'
