Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,accepted binomial resolved through _keys/Stephan/species_key.csv (token deSousa2008),,,,info,catarrhines,deSousa__2008_Table4.1,,
species_as_published,"species name as printed, with the footnote superscript split off into footnote_ref",,,,info,catarrhines,deSousa__2008_Table4.1,"the marker is typography, not part of the name",
footnote_ref,"printed footnote superscript carried by the species name (a,b / c / d)",,,,note,catarrhines,deSousa__2008_Table4.1,a = body weight from Zilles 1972; b = human neocortex mean n=8 from Carol MacLeod (unpublished); c = body weight from Jungers and Susman 1984; d = brain and body weight from Herndon et al. 1999,
code,dissertation specimen code; joins to deSousa__2008_Table5.1 and to deSousa_etal_2009_Table1,,,,info,catarrhines,deSousa__2008_Table4.1,,
archive_number,"collection archive label as printed (YN82-140, Disco, 54491, ma22, Zahlia, Bathsheba, 1548 ...)",,,,info,catarrhines,deSousa__2008_Table4.1,,
sex,printed sex; blank where the table prints NA,,,,info,catarrhines,deSousa__2008_Table4.1,,
age_yrs,age in years as printed,,,,info,catarrhines,deSousa__2008_Table4.1,NA for ptd,
body_mass_g,body mass,,Mass.g,,secondary,catarrhines,deSousa__2008_Table4.1,"printed in kg; x1000. Substituted species means for Homo (a), Pan paniscus (c) and ptd (d) - see footnote_ref",
brain_mass_mg,fresh brain mass,WholeBrain,Mass.mg,,secondary,catarrhines,deSousa__2008_Table4.1,printed in g; x1000. ptd is a species mean (d),
EQ,encephalization quotient,,,,secondary,catarrhines,deSousa__2008_Table4.1,derived after Martin (1981) and Ruff et al. (1997) - printed footnote e,
neocortex_volume_mm3,neocortex volume,Neocortex,Vol.mm3,,secondary,catarrhines,deSousa__2008_Table4.1,"printed in cm3; x1000. hs5/hs6 carry the combined-sex human mean (n=8) supplied by Carol MacLeod, unpublished (footnote b). Blank for mf2 as printed",
left_V1_volume_mm3,"LEFT hemisphere primary visual cortex (area striata) volume, printed UNDOUBLED",Area_striata_grey_matter,Vol.mm3,,primary,catarrhines,deSousa__2008_Table4.1,left hemisphere only - never average against a bilateral volume,
left_LGN_volume_mm3,"LEFT hemisphere lateral geniculate nucleus volume, printed UNDOUBLED",Corpus_geniculatum_laterale,Vol.mm3,,primary,catarrhines,deSousa__2008_Table4.1,left hemisphere only,
optic_nerve_csa_mm2,optic nerve cross-sectional area,Optic_nerve,Area.mm2,mean,secondary,catarrhines,deSousa__2008_Table4.1,species mean from Stephan and Frahm 1981 - printed footnote f; no anatomy_reference.csv entry yet,
eye_half_surface_area_mm2,eye half surface area,Eye,Area.mm2,mean,secondary,catarrhines,deSousa__2008_Table4.1,species mean from Stephan and Frahm 1981 - printed footnote f; no anatomy_reference.csv entry yet,
source,item source id,,,,info,catarrhines,deSousa__2008_Table4.1,,
Method:observation_level,"one row per SPECIMEN, not per species",,,,method,catarrhines,deSousa__2008_Table4.1,pool to species means before any species-level use,
Method:unit_conversion,neocortex cm3 x 1000 = mm3; body mass kg x 1000 = g; brain mass g x 1000 = mg. Left V1 / left LGN printed in mm3 and the two areas in mm2 are left unconverted,,,,method,catarrhines,deSousa__2008_Table4.1,printed units preserved in the snapshot,
Method:data_role,"SECONDARY. The dissertation version of deSousa_etal_2009_Table1, which is itself secondary (every macroanatomical column is re-used data)",,,,method,catarrhines,deSousa__2008_Table4.1,"built for provenance; not merged. The paper's own primary measurements (GLI, relative laminar widths) are figure-only in both the dissertation and the paper",
