"animal_printed","latin_name_printed","species_sci","areas_shown","avg_rel_size_pct","sd_log_rel_size","rel_size_basis","n_areas_extrapolated","brain_mass_g","EQ","reference_printed","source"
"Shrew","Sorex, Blarina, Cryptotis","Soricidae sp.",4,7.434,0.226,"measured on flattened cortical map",13.452,0.218,0.0488,"Catania et al., 1999","Changizi_Shimojo_2005_Table1"
"Mouse","Mus musculus","Mus musculus",9,5.556,NA,"counted: 100/(2 x areas shown)",17.999,0.487,0.05686,"Krubitzer and Huffman, 2000","Changizi_Shimojo_2005_Table1"
"Star-mole","Condylura cristata","Condylura cristata",3,4.692,0.697,"measured on flattened cortical map",21.313,1.077,0.06842,"Krubitzer, 1995","Changizi_Shimojo_2005_Table1"
"Ghost bat","Macroderma gigas","Macroderma gigas",4,5.493,0.395,"measured on flattened cortical map",18.205,1.704,0.04707,"Krubitzer, 1995","Changizi_Shimojo_2005_Table1"
"Rat","Rattus rattus","Rattus norvegicus",10,5,NA,"counted: 100/(2 x areas shown)",20,1.778,0.03245,"Northcutt and Kaas, 1995","Changizi_Shimojo_2005_Table1"
"Tenrec","Echinops telfairi","Echinops telfairi",6,5.103,0.172,"measured on flattened cortical map",19.596,2.538,0.02202,"Krubitzer et al., 1997","Changizi_Shimojo_2005_Table1"
"Tree shrew","Tupaia belangeri","Tupaia belangeri",8,5.927,0.298,"measured on flattened cortical map",16.872,3.114,0.06835,"Lyon et al., 1998","Changizi_Shimojo_2005_Table1"
"Hedgehog","Atelerix albiventris","Atelerix albiventris",7,8.383,0.152,"measured on flattened cortical map",11.929,3.273,0.02246,"Krubitzer et al., 1995","Changizi_Shimojo_2005_Table1"
"Quoll","Dasyurus hallucatus","Dasyurus hallucatus",8,5.322,0.368,"measured on flattened cortical map",18.79,4.666,0.05372,"Krubitzer, 1995","Changizi_Shimojo_2005_Table1"
"Opossum","Didelphis marsupialis","Didelphis marsupialis",8,5.549,0.234,"measured on flattened cortical map",18.021,5.174,0.01849,"Beck et al., 1996","Changizi_Shimojo_2005_Table1"
"Ferret","Mustela putorius","Mustela putorius furo",11,4.545,NA,"counted: 100/(2 x areas shown)",22.002,5.226,0.08753,"Manger et al., 2002","Changizi_Shimojo_2005_Table1"
"Squirrel","Sciurus carolinensis","Sciurus carolinensis",15,2.889,0.336,"measured on flattened cortical map",34.614,6.522,0.08031,"Krubitzer, 1995","Changizi_Shimojo_2005_Table1"
"Flying fox","Pteropus poliocephalus","Pteropus poliocephalus",11,3.333,0.358,"measured on flattened cortical map",30.003,7.223,0.05445,"Krubitzer and Huffman, 2000","Changizi_Shimojo_2005_Table1"
"Marmoset","Callithrix jacchus","Callithrix jacchus",22,1.737,0.36,"measured on flattened cortical map",57.571,7.779,0.1274,"Krubitzer, 1995","Changizi_Shimojo_2005_Table1"
"Platypus","Ornithorhyncus anatinus","Ornithorhynchus anatinus",6,6.153,0.548,"measured on flattened cortical map",16.252,9,0.03399,"Krubitzer and Huffman, 2000","Changizi_Shimojo_2005_Table1"
"Echidna","Tachyglossus aculeatus","Tachyglossus aculeatus",8,4.939,0.331,"measured on flattened cortical map",20.247,11,0.0185,"Krubitzer, 1995","Changizi_Shimojo_2005_Table1"
"Owl monkey","Aotus","Aotus trivirgatus",23,1.424,0.352,"measured on flattened cortical map",70.225,16.335,0.14591,"Krubitzer and Huffman, 2000","Changizi_Shimojo_2005_Table1"
"Cat","Felis domesticus","Felis catus",22,2.273,NA,"counted: 100/(2 x areas shown)",43.995,27.093,0.07449,"Kaas, 1987","Changizi_Shimojo_2005_Table1"
"Macaque","Macaca","Macaca mulatta",25,0.987,0.467,"measured on flattened cortical map",101.317,84.643,0.21853,"Krubitzer, 1995","Changizi_Shimojo_2005_Table1"
