Source,Cited_as,Registry_item,Citation,First_author,Other_authors,Year,Publication,Table,DOI_or_ISBN,URL,Registry_team,Registry_collection,Cited_via
Matano_etal_1985_b_Table1,Matano et al. (1985) Table 1,Matano_etal_1985_b_Table1,"Matano, S., Stephan, H., & Baron, G. (1985). Volume comparisons in the cerebellar complex of primates. I. Ventral pons. Folia Primatol (Basel), 44(3-4), 171-181. https://doi.org/10.1159/000156211",Matano,etal,1985,Matano_etal_1985_b,Table 1,10.1159/000156211,https://doi.org/10.1159/000156211,Stephan,Stephan,NA
Smaers_etal_2017_TableS1part1,Smaers et al. (2017) Table S1 part 1,Smaers_etal_2017_TableS1part1,"Smaers, J. B., Gomez-Robles, A., Parks, A. N., & Sherwood, C. C. (2017). Exceptional Evolutionary Expansion of Prefrontal Cortex in Great Apes and Humans. Curr Biol, 27(5), 714-720. https://doi.org/10.1016/j.cub.2017.01.020",Smaers,etal,2017,Smaers_etal_2017,Table S1 part 1,10.1016/j.cub.2017.01.020,https://doi.org/10.1016/j.cub.2017.01.020,Smaers (compilation),"Stephan, Zilles",NA
Stephan_etal_1981_TableI,Stephan et al. (1981) Table I,Stephan_etal_1981_TableI,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table I,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,Stephan_etal_1981_TableII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table II,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableIII,Stephan et al. (1981) Table III,Stephan_etal_1981_TableIII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table III,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableIV,Stephan et al. (1981) Table IV,Stephan_etal_1981_TableIV,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table IV,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableIX,Stephan et al. (1981) Table IX,Stephan_etal_1981_TableIX,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table IX,10.1159/000155963,https://doi.org/10.1159/000155963,NA,NA,NA
Stephan_etal_1981_TableV,Stephan et al. (1981) Table V,Stephan_etal_1981_TableV,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table V,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableVI,Stephan et al. (1981) Table VI,Stephan_etal_1981_TableVI,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table VI,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableVII,Stephan et al. (1981) Table VII,Stephan_etal_1981_TableVII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table VII,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableVIII,Stephan et al. (1981) Table VIII,Stephan_etal_1981_TableVIII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table VIII,10.1159/000155963,https://doi.org/10.1159/000155963,NA,NA,NA
Stephan_etal_1981_TableX,Stephan et al. (1981) Table X,Stephan_etal_1981_TableX,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table X,10.1159/000155963,https://doi.org/10.1159/000155963,NA,NA,NA
Stephan_etal_1981_TableXI,Stephan et al. (1981) Table XI,Stephan_etal_1981_TableXI,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XI,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXII,Stephan et al. (1981) Table XII,Stephan_etal_1981_TableXII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XII,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXIII,Stephan et al. (1981) Table XIII,Stephan_etal_1981_TableXIII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XIII,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXIV,Stephan et al. (1981) Table XIV,Stephan_etal_1981_TableXIV,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XIV,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXV,Stephan et al. (1981) Table XV,Stephan_etal_1981_TableXV,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XV,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1981_TableXVI,Stephan et al. (1981) Table XVI,Stephan_etal_1981_TableXVI,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table XVI,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
Stephan_etal_1984_Table1,Stephan et al. (1984) Table 1,Stephan_etal_1984_Table1,"Stephan, H., Frahm, H. D., & Baron, G. (1984). Comparison of brain structure volumes in insectivora and primates. IV. Non-cortical visual structures. J Hirnforsch, 25(4), 385-403. https://www.ncbi.nlm.nih.gov/pubmed/6481154",Stephan,etal,1984,Stephan_etal_1984,Table 1,PMID:6481154,https://doi.org/PMID:6481154,Stephan,Stephan,NA
Stephan_etal_1988_TABLE1,Stephan et al. (1988) TABLE 1,Stephan_etal_1988_TABLE1,"Stephan, H., Baron, G., & Frahm, H. D. (1988). Comparative size of brains and brain components. In H. D. Stelis & J. Erwin (Eds.), Neurosciences (Vol. 4, pp. 1-38). Liss.",Stephan,etal,1988,Stephan_etal_1988,TABLE 1,ISBN:0845140000,NA,NA,NA,NA
Zilles_Rehkämper_1988_Table12-2,Zilles & Rehkämper (1988) Table 12-2,Zilles_Rehkämper_1988_Table12-2,"Zilles, K., & Rehkämper, G. (1988). The brain, with special reference to the telencephalon. In J. H. Schwartz (Ed.), Orang-Utan Biology (pp. 157-176). Oxford University Press",Zilles,Rehkämper,1988,Zilles_Rehkämper_1988,Table 12-2,ISBN:9780195043716,NA,Stephan,"Stephan, Zilles",NA
