score,n_species,measure,tables,primary,review,indexed,id,cite,year,authors,title,journal,doi,groups,pdf,chars
422.5,131,80,2,13,0,True,2590,Patzke 2013,2013,"Patzke, N.; Spocter, M. A.; Karlsson, K. A.; +13","In contrast to many other mammals, cetaceans have relatively small hippocampi that appear to lack adult neurogenesis",Brain Struct Funct,10.1007/s00429-013-0660-1,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2980698997/Patzke-2013-In contrast to many.pdf,82588
407.5,120,88,7,45,0,True,254,Kirk 2004,2004,"Kirk, EC; Kay, RF",The evolution of high visual acuity in the Anthropoidea,Anthropoid origins: new visions,,auditory visual evolution data refs,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2371195998/kirk_kay_2004.pdf,158321
377.0,113,157,7,1,3,True,8853,Lewis 2003,2003,"Lewis, Kerrie Patricia",A comparative analysis of play behaviour in primates and carnivores,,,traits evo M1,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1111938041/Lewis-2003-A comparative analysis of play beha.pdf,786806
290.5,87,211,2,3,5,True,2986,Manger 2006,2006,"Manger, P. R.",An examination of cetacean brain structure with a novel hypothesis correlating thermogenesis to the evolution of a big brain,Biol Rev Camb Philos Soc,10.1017/S1464793106007019,brain structure size data,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2513030689/Manger-2006-An examination of ce.pdf,197746
259.5,37,125,74,15,0,True,3038,Stephan 1991,1991,"Stephan, H.; Baron, G.; Frahm, H.D",Insectivora,Comparative Brain Research In Mammals,10.1007/978-1-4613-9124-1,Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1202376249/stephan_etal_1991_Insectivora book tables.pdf,190235
242.0,65,160,6,20,2,True,2297,Lewitus 2012,2012,"Lewitus, E.; Sherwood, C. C.; Hof, P. R.",Cellular signatures in the primary visual cortex of phylogeny and placentation,Brain Struct Funct,10.1007/s00429-011-0338-5,glia,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1852044365/Lewitus-2012-Cellular signatures.pdf,77642
240.5,69,136,2,1,0,True,2670,Clutton-Brock 1977,1977,"Clutton-Brock, T. H.; Harvey, Paul H.",Primate ecology and social organization,J Zool,10.1111/j.1469-7998.1977.tb04171.x,home range,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/1926411640/Clutton-Brock-1977-Primate ecology and.pdf,111767
219.2,61,87,3,20,0,True,2521,Lewitus 2012,2012,"Lewitus, E.; Hof, P. R.; Sherwood, C. C.",Phylogenetic comparison of neuron and glia densities in the primary visual cortex and hippocampus of carnivores and primates,Evolution,10.1111/j.1558-5646.2012.01601.x,glia; hippocampus,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/2542116721/lewitus_etal_2012.pdf,52904
210.0,54,266,8,16,2,True,1854,Plavcan 1997,1997,"Plavcan, J. M.; van Schaik, C. P.",Intrasexual competition and body weight dimorphism in anthropoid primates,Am J Phys Anthropol,10.1002/(SICI)1096-8644(199705)103:1<37::AID-AJPA4>3.0.CO;2-A,mating system,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/0811507986/Plavcan-1997-Intrasexual competit.pdf,125706
190.2,57,47,4,5,1,True,7061,Clutton-Brock 2009,2009,"Clutton-Brock, T. H.; Harvey, Paul H.","Primates, brains and ecology",J Zool,10.1111/j.1469-7998.1980.tb01430.x,hippocampus,"/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3490893755/Clutton-Brock-2009-Primates, brains and.pdf",46336
186.5,61,12,0,1,0,True,6132,Bauchot 1969,1969,"Bauchot, R.; H. Stephan",Encéphalisation et niveau évolutif chez les simiens,Mammalia,,Brain Size Scaling,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/4129604675/bauchot_stephan_1969.pdf,134734
178.0,55,20,4,4,0,True,6793,Jolicoeur 1984,1984,"Jolicoeur, P.; Pirlot, P.; Baron, G.; +1","Brain structure and correlation patterns in Insectivora, Chiroptera, and Primates",Syst Zool,,Stephan Zilles collections,/sessions/peaceful-charming-feynman/mnt/References.Data/PDF/3068027680/jolicoeur_etal_1984.pdf,62385
