"Code","Definition","Structure","Measure","Stat","role","taxon","Reference","Note","Source Note"
"Order_VK2014","Taxonomic group heading as printed (Primates split into Haplorhines* and Strepsirrhines; * = haplorhines excluded from the paper's ecological comparisons)","","","","info","","Veilleux_Kirk_2014_SupplementalTable1","",""
"Species_VK2014","Species binomial verbatim as printed; 9 printed misspellings/older names kept and mapped in the species crosswalk","","","","info","","Veilleux_Kirk_2014_SupplementalTable1","",""
"eye_axial_diameter_mm","Eye length / axial diameter (AD), mm","eye","length.mm","value","secondary","Mammalia (91 spp)","Veilleux_Kirk_2014_SupplementalTable1","compiled from src_AD_BM sources; rows with ad_estimated_from_RMF=TRUE estimated from retinal magnification factor via Pettigrew et al. [32]",""
"ad_estimated_from_RMF","TRUE where AD carries the printed ** marker (estimated from anatomically measured retinal magnification factor)","","","","note","","Veilleux_Kirk_2014_SupplementalTable1","",""
"visual_acuity_cdeg","Maximum visual acuity (VA), cycles per degree","retina","acuity.cdeg","value","both","Mammalia (91 spp)","Veilleux_Kirk_2014_SupplementalTable1","va_this_study=TRUE rows are the paper's own calculations (primary); bracketed-source rows are compiled (secondary, resolved via src_VA and the data-sources table)",""
"va_cone_density_footnote2","TRUE where the printed superscript 2 marks acuity calculated from peak cone density (haplorhines, no retinal summation) rather than ganglion cell density","","","","note","","Veilleux_Kirk_2014_SupplementalTable1","",""
"body_mass_kg_VK","Body mass (BM) as printed, kg","","Mass.kg","value","secondary","Mammalia (91 spp)","Veilleux_Kirk_2014_SupplementalTable1","",""
"Body_mass.g","Body mass converted to project unit: printed kg x 1000","","Mass.g","value","secondary","Mammalia (91 spp)","Veilleux_Kirk_2014_SupplementalTable1","conversion in the .R (HOWTO 6)",""
"measurement_type","Measurement type (MT): A = anatomical estimate, B = behavioral measurement","","","","method","","Veilleux_Kirk_2014_SupplementalTable1","",""
"max_running_speed_kph","Maximum running speed (MRS), km per hour","","speed.kph","value","secondary","Mammalia (subset; ecological comparison species only)","Veilleux_Kirk_2014_SupplementalTable1","haplorhines excluded by the paper (*)",""
"activity_pattern","Activity pattern (AP): D = diurnal, C = cathemeral/arrhythmic, N = nocturnal","","categorical","value","secondary","Mammalia (subset)","Veilleux_Kirk_2014_SupplementalTable1","",""
"diet","Diet: H = herbivorous, P = active predator (reported to actively catch moving prey; legend footnote 1)","","categorical","value","secondary","Mammalia (subset)","Veilleux_Kirk_2014_SupplementalTable1","",""
"va_this_study","TRUE where the VA source is printed as 'this study: [...]'","","","","note","","Veilleux_Kirk_2014_SupplementalTable1","",""
"src_VA","VA source as printed (bracket numbers resolve in the data-sources table)","","","","note","","Veilleux_Kirk_2014_SupplementalTable1","",""
"src_AD_BM","AD and BM source as printed","","","","note","","Veilleux_Kirk_2014_SupplementalTable1","",""
"src_D_AP","Diet and activity-pattern source as printed","","","","note","","Veilleux_Kirk_2014_SupplementalTable1","",""
"src_MRS","Running-speed source as printed","","","","note","","Veilleux_Kirk_2014_SupplementalTable1","",""
"Method:extraction","Born-digital supplementary PDF; snapshot built by positional x-binning of the text layer (..._extract.py), hand-verified against page images, audited against two independent extractions with 0 unexplained mismatches","","","","method","","Veilleux_Kirk_2014_SupplementalTable1","",""
