accepted_name,status,matched_tip,matched_via,candidate_source,family_expected,order_expected,n_auto_candidates,n_review_candidates,note
Ailurus fulgens,matched_direct,Ailurus_fulgens_AILURIDAE_CARNIVORA,Ailurus fulgens,accepted_name,Ailuridae,Carnivora,1,0,
Alouatta caraya,matched_direct,Alouatta_caraya_ATELIDAE_PRIMATES,Alouatta caraya,accepted_name,Atelidae,Primates,1,0,
Alouatta palliata,matched_direct,Alouatta_palliata_ATELIDAE_PRIMATES,Alouatta palliata,accepted_name,Atelidae,Primates,1,0,
Alouatta seniculus,matched_direct,Alouatta_seniculus_ATELIDAE_PRIMATES,Alouatta seniculus,accepted_name,Atelidae,Primates,1,0,
Amblysomus hottentotus,matched_direct,Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA,Amblysomus hottentotus,accepted_name,Chrysochloridae,Afrosoricida,1,0,
Antidorcas marsupialis,matched_direct,Antidorcas_marsupialis_BOVIDAE_CETARTIODACTYLA,Antidorcas marsupialis,accepted_name,Bovidae,Artiodactyla,1,0,
Aotus trivirgatus,matched_direct,Aotus_trivirgatus_AOTIDAE_PRIMATES,Aotus trivirgatus,accepted_name,Aotidae,Primates,2,0,
Aplodontia rufa,matched_direct,Aplodontia_rufa_APLODONTIIDAE_RODENTIA,Aplodontia rufa,accepted_name,Aplodontiidae,Rodentia,1,0,
Atelerix algirus,matched_direct,Atelerix_algirus_ERINACEIDAE_EULIPOTYPHLA,Atelerix algirus,accepted_name,Erinaceidae,Eulipotyphla,2,0,
Ateles geoffroyi,matched_direct,Ateles_geoffroyi_ATELIDAE_PRIMATES,Ateles geoffroyi,accepted_name,Atelidae,Primates,1,0,
Ateles sp.,unresolvable_placeholder,,,,Atelidae,Primates,0,0,genus-level name: no single tip can represent it
Avahi laniger,matched_direct,Avahi_laniger_INDRIIDAE_PRIMATES,Avahi laniger,accepted_name,Indriidae,Primates,1,0,
Avahi occidentalis,matched_direct,Avahi_occidentalis_INDRIIDAE_PRIMATES,Avahi occidentalis,accepted_name,Indriidae,Primates,1,1,
Balaenoptera acutorostrata,matched_direct,Balaenoptera_acutorostrata_BALAENOPTERIDAE_CETARTIODACTYLA,Balaenoptera acutorostrata,accepted_name,Balaenopteridae,Artiodactyla,1,0,
Bathyergus suillus,matched_direct,Bathyergus_suillus_BATHYERGIDAE_RODENTIA,Bathyergus suillus,accepted_name,Bathyergidae,Rodentia,1,0,
Blarina brevicauda,matched_direct,Blarina_brevicauda_SORICIDAE_EULIPOTYPHLA,Blarina brevicauda,accepted_name,Soricidae,Eulipotyphla,1,0,
Callicebus moloch,matched_direct,Callicebus_moloch_PITHECIIDAE_PRIMATES,Callicebus moloch,accepted_name,Pitheciidae,Primates,2,0,
Callicebus sp.,unresolvable_placeholder,,,,Pitheciidae,Primates,0,0,genus-level name: no single tip can represent it
Callimico goeldii,matched_direct,Callimico_goeldii_CALLITRICHIDAE_PRIMATES,Callimico goeldii,accepted_name,Cebidae,Primates,1,0,
Callithrix jacchus,matched_direct,Callithrix_jacchus_CALLITRICHIDAE_PRIMATES,Callithrix jacchus,accepted_name,Cebidae,Primates,1,0,
Callithrix pygmaea,matched_synonym,Cebuella_pygmaea_CALLITRICHIDAE_PRIMATES,Cebuella pygmaea,mdd_accepted_name,Cebidae,Primates,2,0,Mammal Diversity Database name; Upham 2019 tips follow MDD
Canis latrans,matched_direct,Canis_latrans_CANIDAE_CARNIVORA,Canis latrans,accepted_name,Canidae,Carnivora,1,0,
Canis lupus familiaris,matched_subspecies_parent,Canis_lupus_CANIDAE_CARNIVORA,Canis lupus,subspecies_parent,Canidae,Carnivora,2,0,subspecies -> parent species: a species-level tree has no subspecies tip
Cardioderma cor,matched_direct,Cardioderma_cor_MEGADERMATIDAE_CHIROPTERA,Cardioderma cor,accepted_name,Megadermatidae,Chiroptera,1,0,
Casinycteris argynnis,matched_direct,Casinycteris_argynnis_PTEROPODIDAE_CHIROPTERA,Casinycteris argynnis,accepted_name,Pteropodidae,Chiroptera,1,0,
Cavia porcellus,matched_direct,Cavia_porcellus_CAVIIDAE_RODENTIA,Cavia porcellus,accepted_name,Caviidae,Rodentia,1,0,
Cebus albifrons,matched_direct,Cebus_albifrons_CEBIDAE_PRIMATES,Cebus albifrons,accepted_name,Cebidae,Primates,1,0,
Cercocebus agilis,matched_direct,Cercocebus_agilis_CERCOPITHECIDAE_PRIMATES,Cercocebus agilis,accepted_name,Cercopithecidae,Primates,1,0,
Cercocebus torquatus,matched_direct,Cercocebus_torquatus_CERCOPITHECIDAE_PRIMATES,Cercocebus torquatus,accepted_name,Cercopithecidae,Primates,1,0,
Cercopithecus ascanius,matched_direct,Cercopithecus_ascanius_CERCOPITHECIDAE_PRIMATES,Cercopithecus ascanius,accepted_name,Cercopithecidae,Primates,1,1,
Cercopithecus mitis,matched_direct,Cercopithecus_mitis_CERCOPITHECIDAE_PRIMATES,Cercopithecus mitis,accepted_name,Cercopithecidae,Primates,2,1,
Cercopithecus nictitans,matched_direct,Cercopithecus_nictitans_CERCOPITHECIDAE_PRIMATES,Cercopithecus nictitans,accepted_name,Cercopithecidae,Primates,1,0,
Cheirogaleus major,matched_direct,Cheirogaleus_major_CHEIROGALEIDAE_PRIMATES,Cheirogaleus major,accepted_name,Cheirogaleidae,Primates,1,0,
Cheirogaleus medius,matched_direct,Cheirogaleus_medius_CHEIROGALEIDAE_PRIMATES,Cheirogaleus medius,accepted_name,Cheirogaleidae,Primates,1,0,
Chinchilla laniger,matched_synonym,Chinchilla_lanigera_CHINCHILLIDAE_RODENTIA,Chinchilla lanigera,verified_bridge,Chinchillidae,Rodentia,2,0,lanigera is the correct original spelling
Choloepus didactylus,matched_direct,Choloepus_didactylus_MEGALONYCHIDAE_PILOSA,Choloepus didactylus,accepted_name,Megalonychidae,Pilosa,1,0,
Chrysochloris asiatica,matched_direct,Chrysochloris_asiatica_CHRYSOCHLORIDAE_AFROSORICIDA,Chrysochloris asiatica,accepted_name,Chrysochloridae,Afrosoricida,1,0,
Chrysochloris stuhlmanni,matched_direct,Chrysochloris_stuhlmanni_CHRYSOCHLORIDAE_AFROSORICIDA,Chrysochloris stuhlmanni,accepted_name,Chrysochloridae,Afrosoricida,1,0,
Coleura afra,matched_direct,Coleura_afra_EMBALLONURIDAE_CHIROPTERA,Coleura afra,accepted_name,Emballonuridae,Chiroptera,1,0,
