Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species binomial exactly as printed in Table 1,,Species,,info,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,printed name preserved; taxonomy applied later via ../_keys/,printed Table 1 column Species
Common name,common name as printed in Table 1,,,,info,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,,printed Table 1 column Common name
Age (years),"age of the specimen as printed; free text where an exact age was unknown (Adult, Young adult, >1)",,Age,,info,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,not numeric for every row - parse before use,printed Table 1 column Age (years)
Sex,sex of the specimen as printed,,Sex,,info,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,,printed Table 1 column Sex
Hemisphere,cerebral hemisphere the V1 sample was taken from (Left / Right),,,,info,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,one hemisphere per specimen,printed Table 1 column Hemisphere
Fixation,fixation method: Perfusion = vascular perfusion with 4% paraformaldehyde; Immersion = immersion fixation in 10% formalin,,Method,,method,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,tissue-preservation quality varied with source and necropsy procedure and was the stated reason synapses were not subdivided into symmetric/asymmetric types,"printed Table 1 column Fixation and its Note; Materials and Methods sec. 2.1, p. 2"
Brain mass (g),"brain mass of the specimen in grams, recorded at extraction",Brain,Mass.g,point,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,"printed footnote a: two values were recorded for one hemisphere and doubled (Giraffa camelopardalis, Neofelis nebulosa); footnote b: Homo sapiens uses the published adult-male average (Hartmann et al. 1994), not this specimen","printed Table 1 column Brain mass (g) with footnotes a and b, p. 3"
Neuron density (mm2),"density of neurons in primary visual cortex (area V1), neurons per square millimetre of section area",V1,Density.N_mm2,mean,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,"2D areal density from single sections, NOT a volumetric density - not comparable with per-mg or per-mm3 neuron densities without conversion. Neurons identified by nucleolus, cellular shadow, relative size and lack of chromatin globules; counted on the centre of the nucleus from every 4th grid square, full cortical depth pia to white matter","printed Table 1 column Neuron density (mm2); counting rules in Materials and Methods sec. 2.4 (Quantification), p. 5"
Mitochondria density (mm2),"density of mitochondria in area V1, mitochondria per square millimetre of section area",V1,Density.per_mm2,mean,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,"2D areal density; counted on high-magnification SEM tile scans from every 12th grid square. Sample mean 1,311,587 per mm2 (SD 200,731); invariant with brain mass in this sample","printed Table 1 column Mitochondria density (mm2); method sec. 2.4, p. 5; sample mean in Results, p. 9"
Synapse density (mm2),"density of synapses in area V1, synapses per square millimetre of section area",V1,Density.per_mm2,mean,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,"total synapses, NOT split into symmetric vs asymmetric types (tissue quality varied too much across sources). Synapses identified by electron-dense cleft, presynaptic vesicles, pre- or postsynaptic densities. Sample mean 706,865 per mm2 (SD 106,263)","printed Table 1 column Synapse density (mm2); method sec. 2.4, p. 5; sample mean in Results, p. 8"
PSD length (nm),"length of the postsynaptic density (PSD) in nanometres, measured in area V1. The PSD is the protein network clustered around neurotransmitter receptors at the postsynaptic membrane",V1,Length.nm,mean,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,measured only where the synaptic cleft was clearly visible (en-face or oblique cuts excluded); ImageJ line tool; mean 105.36 PSDs per brain (minimum 50). Remarkably uniform across species,"printed Table 1 column PSD length (nm); definition of PSD in Introduction p. 2; measurement rules in Materials and Methods sec. 2.4, p. 5"
Reference,"printed footnote marker (a, b) pointing to the brain-mass caveats",,,,info,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,a = hemisphere mass doubled; b = published average substituted,printed Table 1 footnote markers
V1_neuron_density_per_mm2,"project standardized term: neuron density in area V1, neurons per mm2",V1,Density.N_mm2,mean,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,"project standardized term; per-specimen rows averaged to species means in the build - one specimen per species here, so equal to the printed value",derived in ____EvoM1_TraitTable/EvoM1_read_v1_karl.R from printed column Neuron density (mm2)
V1_mitochondria_density_per_mm2,"project standardized term: mitochondria density in area V1, mitochondria per mm2",V1,Density.per_mm2,mean,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,project standardized term,derived in EvoM1_read_v1_karl.R from printed column Mitochondria density (mm2)
V1_synapse_density_per_mm2,"project standardized term: synapse density in area V1, synapses per mm2",V1,Density.per_mm2,mean,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,project standardized term,derived in EvoM1_read_v1_karl.R from printed column Synapse density (mm2)
V1_PSD_length_nm,"project standardized term: postsynaptic density length in area V1, nm",V1,Length.nm,mean,primary,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,project standardized term,derived in EvoM1_read_v1_karl.R from printed column PSD length (nm)
Method,"scanning electron microscopy of area V1 in 18 mammals; unbiased systematic sampling of counting frames on grid overlays spanning pia to white matter, quantified in ImageJ by at least two independent observers",V1,,,method,Mammals (marsupial to primate),Karl_etal_2024_TABLE1,"these are PRIMARY VISUAL CORTEX (V1) measures, not M1 - never pool with M1 ultrastructure. One specimen per species; densities are 2D areal densities","Materials and Methods secs. 2.1-2.5, pp. 2-6"
