Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,species binomial (corrected),,Species,,primary,Primates (strepsirrhine-ape/human),deSousa_etal_2010,reconcile to _keys/Stephan/species_key.csv,7 binomials corrected from published spellings (see species_as_published / correction)
species_as_published,species binomial exactly as printed in published Supp. Table 2,,Species,,provenance,Primates,deSousa_etal_2010,kept for audit against snapshot,
brain_volume_cm3,"TOTAL fresh brain volume (includes ventricles and the Stephan code-4 tissues); not the net brain volume",Total_brain_volume,Volume.cm3,mean,primary,Primates,deSousa_etal_2010,"= Brainvol; table labels units 'g' (values are cm3). Basis verified 2026-09: Stephan 1981 Total_brain_net_volume + Ventricles + Meninges_hypophysis_nerves_etc. reproduces this column to <1 mm3 for 34 of 39 species (0 of 39 agree with the net volume alone). Four of the 5 exceptions are hominoids de Sousa measured themselves (Pan -18.2%, Gorilla -17.4%, Hylobates +3.9%, Homo -2.0%); the 5th, Plecturocebus moloch, is a titi monkey off by 125 mm3 (0.68%), a near-threshold miss rather than a hominoid effect. Was keyed to WholeBrain, which put a cm3 volume in the cell_counts domain.",published mean (N animals)
brain_N,number of specimens for brain volume,WholeBrain,Count,N,metadata,Primates,deSousa_etal_2010,,
neocortex_volume_cm3,neocortex volume,Neocortex,Volume.cm3,mean,primary,Primates,deSousa_etal_2010,17 prosimian values corrected (mis-copy from Stephan); see correction column,non-hominoid from Stephan et al 1981/1988
neocortex_N,number of specimens for neocortex volume,Neocortex,Count,N,metadata,Primates,deSousa_etal_2010,,
V1_area_striata_volume_cm3,primary visual cortex (area striata) grey-matter volume; published bilateral estimate = 2 x measured left V1,V1_AreaStriata,Volume.cm3,mean,primary,Primates,deSousa_etal_2010,= ASG_Sousa; map to unsuffixed Area_striata_grey_matter only; not Stephan 1981 Area_striata (which includes white matter),Methods: left V1 doubled to estimate left + right
V1_N,number of specimens for V1 volume,V1_AreaStriata,Count,N,metadata,Primates,deSousa_etal_2010,,
LGN_volume_cm3,lateral geniculate nucleus entire-structure volume; published bilateral estimate = 2 x measured left LGN,LGN,Volume.cm3,mean,primary,Primates,deSousa_etal_2010,= LGN_Sousa; map to unsuffixed Corpus_geniculatum_laterale,Methods: left LGN doubled to estimate left + right
LGN_N,number of specimens for LGN volume,LGN,Count,N,metadata,Primates,deSousa_etal_2010,,
source,source identifier,,Source,,provenance,Primates,deSousa_etal_2010,,
correction,description of any correction applied vs the published table,,Note,,provenance,Primates,deSousa_etal_2010,distinguishes value errors (neocortex) from species-name errors,
