Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Basis,Hemisphere_basis,Unit,Note
Species,Accepted binomial used as the join key across sources (spelling variants unified via sp_alias).,,,,key,Mammals,ALL,,,—,"Printed names kept in each source's own CSV; see README aliases."
n_cortical_areas,Total number of distinct cortical areas/fields identified in the species.,Neocortex,Count,,primary,Mammals,"Changizi__2001_Figure3; Finlay_etal_2006_Table6.1",area count from mapping studies,n/a,count,Changizi n_areas; Finlay total_areas. Counts depend on the mapping scheme — comparable only approximately.
n_visual_areas,Number of visual cortical areas/fields.,Neocortex (visual),Count,,primary,Mammals,Finlay_etal_2006_Table6.1,area count,n/a,count,
n_somatomotor_areas,Number of somatomotor cortical areas/fields.,Neocortex (somatomotor),Count,,primary,Mammals,Finlay_etal_2006_Table6.1,area count,n/a,count,
CorticalSurface_Area.mm2,"Total (neo)cortical SHEET surface area — the fully UNFOLDED cortical mantle including buried/sulcal cortex, i.e. NOT the exposed/pial surface only. Whole cortex (not a sub-region).",Neocortex,Area.mm2,mean across sources,primary,Mammals,Finlay_etal_2006_Table6.1,physically flattened cortex; area measured (Kaas/Krubitzer mapping studies),one hemisphere,mm²,"Finlay's ""total cortical sheet area"", from Kaas & Krubitzer flattening studies."
CorticalSurface_Area.mm2,Total cortical sheet surface area (see above).,Neocortex,Area.mm2,,primary,Primates,Collins_etal_2010_DatasetS1,neocortex separated from white matter and manually FLATTENED; per-hemisphere total taken from paper text (piece-sum undercounts),one hemisphere,mm²,"Per-hemisphere totals from paper text (galago #1 2261, #2 1849, baboon 18577). Macaque 08-59 not flattened → no surface."
CorticalSurface_Area.mm2,Total cortical sheet surface area (see above).,Neocortex,Area.mm2,,primary,Primates,Turner_etal_2016_Table1,"neocortex separated from white matter, manually FLATTENED, piece surfaces measured in ImageJ",one hemisphere,mm²,"Reported in cm² → ×100 to mm². Two hemispheres of one specimen averaged first. Case 09-27 (baboon) EXCLUDED as duplicate of Collins."
M1_Surface_Area.mm2,"REGIONAL sub-trait — surface area of primary motor cortex (M1) ONLY. Never pooled with whole-cortex CorticalSurface_Area.mm2 (trait_class = regional).",Primary motor cortex (M1),Area.mm2,,primary,Primates,"Young_etal_2013_Table1; Collins_etal_2016_Table1 (superseded)",regional surface from myeloarchitecture/mapping,one hemisphere,mm²,"Young is the active M1 source. Collins 2016's chimp M1 (2497 mm²) is the SAME specimen as Young's (2700 mm²; KAAS-PAN-11_38, boundary difference) — kept in _long as superseded_by_Young_etal_2013."
CorticalSurface_Area.mm2,Total cortical sheet surface area (see above).,Neocortex,Area.mm2,,primary,Primates,Collins_etal_2016_Table1,"physically flattened right hemisphere, areas by structure (reported cm² → ×100)",one hemisphere,mm²,"ADDED 2026-08-25. One chimp (Texas Biomedical female, specimen KAAS-PAN-11_38)."
CorticalSurface_Area.mm2,"Total cortical sheet surface area (see above). Mota & Herculano-Houzel's AG — TOTAL (pial incl. sulcal) grey surface, per one hemisphere (FI = AG/AE).",Neocortex,Area.mm2,,primary,Mammals,"Mota_etal_2019_SupplementaryTableS1 (active); Mota_Herculano-Houzel_2015_TableS1 (superseded where 2019 re-reports)",surface reconstruction of dissected hemispheres (Mota/HH lab own dataset),one hemisphere,mm²,"ADDED 2026-08-25. OWN columns only; 2015 ""_other"" compiled columns never merged. 2019 supersedes 2015 per species×term (values identical where both print)."
CorticalExposedSurface_Area.mm2,"EXPOSED (outer envelope) cortical surface area — the pial surface visible without opening sulci (Mota & Herculano-Houzel's AE). Whole cortex; distinct from and never pooled with the total-sheet CorticalSurface_Area.mm2.",Neocortex,Area.mm2,,primary,Mammals,Mota_etal_2019_SupplementaryTableS1,surface reconstruction of dissected hemispheres,one hemisphere,mm²,ADDED 2026-08-25.
CorticalThickness.mm,Mean cortical (grey-matter) thickness of one hemisphere.,Neocortex,Thickness.mm,,primary,Mammals,"Mota_etal_2019_SupplementaryTableS1 (active); Mota_Herculano-Houzel_2015_TableS1 (superseded where 2019 re-reports)",Mota/HH lab own measurements,one hemisphere,mm,ADDED 2026-08-25.
FoldingIndex_MHH,"Mota & Herculano-Houzel folding index, FI = AG/AE (total ÷ exposed surface). NOT the Zilles gyrification index — excluded from the GI-only __merging_gyrification and never pooled with GI.",Neocortex,Index,,primary,Mammals,Mota_Herculano-Houzel_2015_TableS1,own dataset only,one hemisphere (dimensionless),—,"ADDED 2026-08-25. Only in the 2015 table; 2019 prints AT and AE, from which FI is derivable but not re-stored."
V1_Surface_Area.mm2,REGIONAL sub-trait — surface area of primary visual cortex (V1) only. trait_class = regional; never pooled with whole-cortex surface.,Primary visual cortex (V1),Area.mm2,,primary,Primates,Collins_etal_2016_Table1,flattened right hemisphere (cm² → ×100),one hemisphere,mm²,"ADDED 2026-08-25. Currently one chimp; slot for future V1 surfaces."
V2_Surface_Area.mm2,REGIONAL sub-trait — surface area of second visual area (V2) only. trait_class = regional; never pooled with whole-cortex surface.,Second visual area (V2),Area.mm2,,primary,Primates,Collins_etal_2016_Table1,flattened right hemisphere (cm² → ×100),one hemisphere,mm²,"ADDED 2026-08-25. Currently one chimp. Collins 2016's ""somatosensory/premotor block"" and ""Prefrontal Cortex"" rows are dissection blocks — NOT wired."
V1_Surface_Area.mm2,REGIONAL — primary visual (striate) cortex surface (see above).,Primary visual cortex (V1),Area.mm2,,secondary,Primates,Smaers_etal_2017_TableS1part2,Brodmann 1909 cytoarchitectonic planimetry via Smaers 2017 Table S1,one hemisphere,mm²,"ADDED 2026-08-25, owner decision. SECONDARY (Brodmann-via-Smaers); a future Brodmann-1909 primary build supersedes. 10 primates."
Prefrontal_Surface_Area.mm2,"REGIONAL sub-trait — prefrontal (granular frontal) cortex surface, Brodmann's partition. Never pooled with whole-cortex surface.",Prefrontal cortex,Area.mm2,,secondary,Primates,Smaers_etal_2017_TableS1part2,Brodmann 1909 via Smaers 2017,one hemisphere,mm²,"ADDED 2026-08-25. 9 primates (Saimiri lacks it). Part of Brodmann's 4-region partition — the four regions sum EXACTLY to the Brodmann 1913 per-hemisphere totals for marmoset, gibbon, chimp."
OtherAssociation_Surface_Area.mm2,"REGIONAL sub-trait — ""other cortical association areas"" in Brodmann's 4-region partition (residual category: everything but primary visual, prefrontal, frontal motor).",Association cortex (residual),Area.mm2,,secondary,Primates,Smaers_etal_2017_TableS1part2,Brodmann 1909 via Smaers 2017,one hemisphere,mm²,"ADDED 2026-08-25. Mandrill cell EXCLUDED: fails additivity vs Brodmann 1913's mandrill total by exactly +10,000 (candidate misprint 23422→13422; not repaired, just excluded)."
FrontalMotor_Surface_Area.mm2,"REGIONAL sub-trait — Brodmann's agranular frontal (""frontal motor"") block. NOT M1: it includes premotor cortex — never map or pool with M1_Surface_Area.mm2.",Agranular frontal cortex,Area.mm2,,secondary,Primates,Smaers_etal_2017_TableS1part2,Brodmann 1909 via Smaers 2017,one hemisphere,mm²,ADDED 2026-08-25.
CorticalSurface_Area.mm2,Total cortical sheet surface area (see above) — Brodmann's Rindenfläche of one hemisphere (includes the tabulated sulcal cortex).,Neocortex,Area.mm2,,primary,Mammals,Brodmann__1913_Table1,historical planimetry (1913),one hemisphere,mm²,"ADDED 2026-08-25. 34 rows wired across mammal orders. Of five human rows only ""Europäer: Durchschnitt"" (112,471) enters; Max/Min/Naturmenschen/Idioten excluded (envelope/subset/pathological, not species means). Method-level conflicts with modern sources expected and flagged."
