"source","Species","specimen_or_common"
"Young_etal_2013_Table1","Pan troglodytes","probable KAAS-PAN-11_38"
"Turner_etal_2016_Table1","Macaca radiata","12-58"
"Turner_etal_2016_Table1","Macaca nemestrina","11-47"
"Turner_etal_2016_Table1","Macaca mulatta","10-50"
"Turner_etal_2016_Table1","Papio cynocephalus anubis","09-27"
"Turner_etal_2016_Table1","Papio cynocephalus anubis","11-31"
"Collins_etal_2016_Table1","Pan troglodytes","female, 53y, Texas Biomedical Research Institute"
"Mota_Herculano-Houzel_2015_TableS1","Procavia capensis","own dataset, ref 17"
"Mota_Herculano-Houzel_2015_TableS1","Dendrohyrax dorsalis","own dataset, ref 17"
"Mota_Herculano-Houzel_2015_TableS1","Loxodonta africana","own dataset, ref 15, 1"
"Mota_Herculano-Houzel_2015_TableS1","Mus musculus","own dataset, ref 20"
"Mota_Herculano-Houzel_2015_TableS1","Rattus norvegicus","own dataset, ref 20, 1"
"Mota_Herculano-Houzel_2015_TableS1","Cavia porcellus","own dataset, ref 20"
"Mota_Herculano-Houzel_2015_TableS1","Dasyprocta promnolopha","own dataset, ref 20"
"Mota_Herculano-Houzel_2015_TableS1","Hydrochoerus hydrochoeris","own dataset, ref 20"
"Mota_Herculano-Houzel_2015_TableS1","Tupaia belangeri","own dataset, ref 19"
"Mota_Herculano-Houzel_2015_TableS1","Callimico goeldii","own dataset, ref 19"
"Mota_Herculano-Houzel_2015_TableS1","Callithrix jacchus","own dataset, ref 19"
"Mota_Herculano-Houzel_2015_TableS1","Otolemur garnettii","own dataset, ref 19"
"Mota_Herculano-Houzel_2015_TableS1","Aotus trivirgatus","own dataset, ref 19, 1"
"Mota_Herculano-Houzel_2015_TableS1","Saimiri sciureus","own dataset, ref 19, 1"
"Mota_Herculano-Houzel_2015_TableS1","Cebus apella","own dataset, ref 19"
"Mota_Herculano-Houzel_2015_TableS1","Macaca radiata","own dataset, ref 19"
"Mota_Herculano-Houzel_2015_TableS1","Macaca fascicularis","own dataset, ref 19"
"Mota_Herculano-Houzel_2015_TableS1","Papio anubis cynocephalus","own dataset, ref 19"
"Mota_Herculano-Houzel_2015_TableS1","Homo sapiens","own dataset, ref 10, 21"
"Mota_Herculano-Houzel_2015_TableS1","Sus scrofa domesticus","own dataset, ref 16, 1"
"Mota_Herculano-Houzel_2015_TableS1","Antidorcas marsupialis","own dataset, ref 16"
"Mota_Herculano-Houzel_2015_TableS1","Damaliscus dorcas","own dataset, ref 16"
"Mota_Herculano-Houzel_2015_TableS1","Tragelaphus strepsiceros","own dataset, ref 16"
"Mota_Herculano-Houzel_2015_TableS1","Giraffa camelopardalis","own dataset, ref 16"
"Mota_etal_2019_SupplementaryTableS1","Mus musculus","Rodentia"
"Mota_etal_2019_SupplementaryTableS1","Rattus norvegicus","Rodentia"
"Mota_etal_2019_SupplementaryTableS1","Cavia porcellus","Rodentia"
"Mota_etal_2019_SupplementaryTableS1","Dasyprocta primnolopha","Rodentia"
"Mota_etal_2019_SupplementaryTableS1","Hydrochoerus hydrochoeris","Rodentia"
"Mota_etal_2019_SupplementaryTableS1","Callithrix jacchus","Primata"
"Mota_etal_2019_SupplementaryTableS1","Otolemur garnettii","Primata"
"Mota_etal_2019_SupplementaryTableS1","Callimico goeldii","Primata"
"Mota_etal_2019_SupplementaryTableS1","Aotus trivirgatus","Primata"
"Mota_etal_2019_SupplementaryTableS1","Saimiri sciureus","Primata"
"Mota_etal_2019_SupplementaryTableS1","Cebus apella","Primata"
"Mota_etal_2019_SupplementaryTableS1","Macaca radiata","Primata"
"Mota_etal_2019_SupplementaryTableS1","Macaca fascicularis","Primata"
"Mota_etal_2019_SupplementaryTableS1","Papio anubis","Primata"
"Mota_etal_2019_SupplementaryTableS1","Homo sapiens","Primata"
"Mota_etal_2019_SupplementaryTableS1","Tupaia belangeri","Scandentia"
"Mota_etal_2019_SupplementaryTableS1","Sus scrofa domesticus","Artiodactyla"
"Mota_etal_2019_SupplementaryTableS1","Antidorcas marsupialis","Artiodactyla"
"Mota_etal_2019_SupplementaryTableS1","Damaliscus dorcas","Artiodactyla"
"Mota_etal_2019_SupplementaryTableS1","Tragelaphus stripceros","Artiodactyla"
"Mota_etal_2019_SupplementaryTableS1","Girafa camelopardalis","Artiodactyla"
"Mota_etal_2019_SupplementaryTableS1","Dendrohyrax dorsalis","Afrotheria"
"Mota_etal_2019_SupplementaryTableS1","Procavia capensis","Afrotheria"
"Mota_etal_2019_SupplementaryTableS1","Loxodonta africana","Afrotheria"
"Mota_etal_2019_SupplementaryTableS1","Sarcophilus harrisii","Marsupialia"
"Mota_etal_2019_SupplementaryTableS1","Macropus parma","Marsupialia"
"Mota_etal_2019_SupplementaryTableS1","Macropus rufogriseus","Marsupialia"
"Mota_etal_2019_SupplementaryTableS1","Wallabia bicolor","Marsupialia"
"Mota_etal_2019_SupplementaryTableS1","Dendrolagus goodfellowi","Marsupialia"
"Mota_etal_2019_SupplementaryTableS1","Macropus fuliginosus","Marsupialia"
"Mota_etal_2019_SupplementaryTableS1","Mustela putorius furo","Carnivora"
"Mota_etal_2019_SupplementaryTableS1","Mungos mungo","Carnivora"
"Mota_etal_2019_SupplementaryTableS1","Felis catus","Carnivora"
"Mota_etal_2019_SupplementaryTableS1","Procyon lotor","Carnivora"
"Mota_etal_2019_SupplementaryTableS1","Hyaena hyaena","Carnivora"
"Mota_etal_2019_SupplementaryTableS1","Canis familiaris","Carnivora"
"Mota_etal_2019_SupplementaryTableS1","Panthera leo","Carnivora"
"Mota_etal_2019_SupplementaryTableS1","Ursus arctos","Carnivora"
"Smaers_etal_2017_TableS1part2","Callithrix_jacchus","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Saimiri_sciureus","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Cebus_apella","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Macaca_mulatta","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Papio_cynocephalus","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Papio_hamadryas","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Mandrillus_sphinx","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Hylobates_lar","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Pan_troglodytes_troglodytes","Brodmann 1909 via Smaers 2017"
"Smaers_etal_2017_TableS1part2","Homo_sapiens","Brodmann 1909 via Smaers 2017"
"Brodmann__1913_Table1","Homo sapiens","Europäer: Maximalwert"
"Brodmann__1913_Table1","Homo sapiens","Europäer: Minimalwert"
"Brodmann__1913_Table1","Homo sapiens","Europäer: Durchschnitt"
"Brodmann__1913_Table1","Homo sapiens","Naturmenschen: Durchschnitt"
"Brodmann__1913_Table1","Homo sapiens","Idioten: Durchschnitt"
"Brodmann__1913_Table1","Pan troglodytes","Schimpanse (Anthropopithecus)"
"Brodmann__1913_Table1","Hylobates sp.","Gibbon (Hylobates)"
"Brodmann__1913_Table1","Mandrillus sphinx","Mandrill (Cynocephalus)"
"Brodmann__1913_Table1","Cercopithecus sp.","Meerkatze (Cercopithecus)"
"Brodmann__1913_Table1","Callithrix sp.","Krallenaffe (Hapale)"
"Brodmann__1913_Table1","Eulemur macaco","Mohrenmaki (Lemur)"
"Brodmann__1913_Table1","Cheirogaleus sp.","Zwergmaki (Chirogaleus)"
"Brodmann__1913_Table1","Ursus sp.","Bär (Ursus)"
"Brodmann__1913_Table1","Panthera leo","Löwe (Felis leo)"
"Brodmann__1913_Table1","Canis familiaris","Hund (Terrier) (Canis)"
"Brodmann__1913_Table1","Felis catus","Katze (Felis)"
"Brodmann__1913_Table1","Martes foina","Steinmarder (Mustela)"
"Brodmann__1913_Table1","Mustela putorius","Iltis (Putorius)"
"Brodmann__1913_Table1","Elephas sp.","Elefant (Elephas)"
"Brodmann__1913_Table1","Equus caballus","Pferd (Equus)"
"Brodmann__1913_Table1","Bos taurus","Hausrind (Bos)"
"Brodmann__1913_Table1","Ovis aries","Schaf (Ovis)"
"Brodmann__1913_Table1","Sus scrofa","Schwein (Sus)"
"Brodmann__1913_Table1","Capra hircus","Ziege (Capra)"
"Brodmann__1913_Table1","Phocoena phocoena","Tümmler (Phocaena)"
"Brodmann__1913_Table1","Phoca sp.","Seehund (Phoca)"
"Brodmann__1913_Table1","Oryctolagus cuniculus","Kaninchen (Lepus)"
"Brodmann__1913_Table1","Mus musculus","Hausmaus (Mus)"
"Brodmann__1913_Table1","Erinaceus europaeus","Igel (Erinaceus)"
"Brodmann__1913_Table1","Tenrec ecaudatus","Borstenigel (Centetes)"
"Brodmann__1913_Table1","Talpa europaea","Maulwurf (Talpa)"
"Brodmann__1913_Table1","Sorex sp.","Spitzmaus (Sorex)"
"Brodmann__1913_Table1","Dasypus sp.","Gürteltier (Dasypus)"
"Brodmann__1913_Table1","Sarcophilus harrisii","Beutelteufel (Sarcophilus)"
"Brodmann__1913_Table1","Trichosurus vulpecula","Fuchskusu (Phalangista)"
"Brodmann__1913_Table1","Didelphis sp.","Beutelratte (Didelphys)"
"Brodmann__1913_Table1","Zaglossus sp.","Langschnabeligel (Proechidna)"
"Brodmann__1913_Table1","Ornithorhynchus anatinus","Schnabeltier (Ornithorhynchus)"
