"Nr_printed","species_group_printed","sex_printed","age_printed","NKG_g_printed","HG_g_printed"
"1*","Großpudel","♂","neonat","170,00","11,03"
"2*","Großpudel","♂","1 Woche","380,47","17,25"
"3*","Großpudel","♀","2 Wochen","545,00","27,23"
"4*","Großpudel","♂","3 Wochen","774,00","37,10"
"5*","Großpudel","♂","1 Monat","698,00","39,17"
"6*","Großpudel","♀","2 Monate","4545,00","58,00"
"7*","Großpudel","♂","3 Monate","6885,00","73,12"
"8*","Großpudel","♀","4 Monate","8525,00","75,98"
"9*","Großpudel","♀","7 Monate","12110,00","85,41"
"14","Großpudel","♀","neonat","150,00","8,46"
"15","Großpudel","♂","neonat","225,07","9,31"
"16","Großpudel","♀","neonat","142,58","7,97"
"17","Großpudel","♀","1 Woche","251,60","15,28"
"18","Großpudel","♀","3 Wochen","1046,00","35,10"
"19","Großpudel","♀","1 Monat","995,00","37,33"
"20","Großpudel","♀","2 Monate","3995,00","59,65"
"21","Großpudel","♀","3 Monate","7140,00","74,69"
"22","Großpudel","♂","8 Monate","11445,00","90,25"
"10*","Wölfe","?","neonat","(224,00)","(13,00)"
"11*","Wölfe","♂","1 Monat","1735,00","75,20"
"12*","Wölfe","♂","3 Monate","7732,00","121,20"
"13*","Wölfe","♂","6 Monate","13150,00","135,00"
"23","Wölfe","♀","3 Wochen","448,00","49,20"
"24","Wölfe","♀","3 Monate","5825,00","102,00"
"25","Wölfe","♂","4 Monate","8975,00","152,40"
"26","Wölfe","♂","4 Monate","8500,00","115,70"
"27","Wölfe","♂","5 Monate","6345,00","119,00"
"28","Wölfe","♂","5 Monate","10810,00","125,00"
"29","Wölfe","♂","7 Monate","14055,00","117,40"
"30","Wölfe","♀","7 Monate","18100,00","121,00"
"31","Wölfe","♂","7 Monate","12250,00","132,60"
"32","Wölfe","♀","9 Monate","17570,00","131,80"
"33","Wölfe","♂","10 Monate","19257,00","162,40"
