Species,Variable,flag,detail
Crocidura flavescens,Amygdala_Vol.mm3,deviation,Stephan_etal_1987_Table1=13 vs Stephan_etal_1981_TableX=6.82
Crocidura flavescens,Complexus_centromedialis_Vol.mm3,deviation,Stephan_etal_1987_Table1=6.4 vs Stephan_etal_1981_TableX=3.23
Crocidura flavescens,Complexus_corticobasolateralis_Vol.mm3,deviation,Stephan_etal_1987_Table1=6.6 vs Stephan_etal_1981_TableX=3.59
Crocidura flavescens,Nucleus_tractus_olfactorius_Vol.mm3,deviation,Stephan_etal_1987_Table1=0.43 vs Stephan_etal_1981_TableX=0.233
Homo sapiens,Amygdala_Vol.mm3,deviation,Stephan_etal_1987_Table1=5286.6 vs Stephan_etal_1981_TableXI=3015
Homo sapiens,Complexus_centromedialis_Vol.mm3,deviation,Stephan_etal_1987_Table1=1306.4 vs Stephan_etal_1981_TableXI=592
Homo sapiens,Complexus_corticobasolateralis_Vol.mm3,deviation,Stephan_etal_1987_Table1=3980.2 vs Stephan_etal_1981_TableXI=2424
Alouatta caraya,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Ateles geoffroyi,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Avahi occidentalis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebuella pygmaea,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cebus albifrons,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercocebus agilis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Cercopithecus mitis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Colobus angolensis,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Galagoides demidoff,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates lar,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
Hylobates muelleri,Granular_insular_cortex_Vol.mm3,estimated_bilateral_from_unilateral,both-hemisphere estimated as 2x Granular_insular_cortex_left_Vol.mm3 (only one side measured)
