Source,Cited_as,Registry_item,Citation,First_author,Other_authors,Year,Publication,Table,DOI_or_ISBN,URL,Registry_team,Registry_collection,Cited_via
Bauernfeind_etal_2013_Table1,Bauernfeind et al. (2013) Table 1,Bauernfeind_etal_2013_Table1,"Bauernfeind, A. L., de Sousa, A. A., Avasthi, T., Dobson, S. D., Raghanti, M. A., Lewandowski, A. H., Zilles, K., Semendeferi, K., Allman, J. M., Craig, A. D., Hof, P. R., & Sherwood, C. C. (2013). A volumetric comparison of the insular cortex and its subregions in primates. J Hum Evol, 64(4), 263-279. https://doi.org/10.1016/j.jhevol.2012.12.003",Bauernfeind,etal,2013,Bauernfeind_etal_2013,Table 1,10.1016/j.jhevol.2012.12.003,https://doi.org/10.1016/j.jhevol.2012.12.003,"Stephan, Sherwood",NA,NA
Bauernfeind_etal_2013_Table2,Bauernfeind et al. (2013) Table 2,Bauernfeind_etal_2013_Table2,"Bauernfeind, A. L., de Sousa, A. A., Avasthi, T., Dobson, S. D., Raghanti, M. A., Lewandowski, A. H., Zilles, K., Semendeferi, K., Allman, J. M., Craig, A. D., Hof, P. R., & Sherwood, C. C. (2013). A volumetric comparison of the insular cortex and its subregions in primates. J Hum Evol, 64(4), 263-279. https://doi.org/10.1016/j.jhevol.2012.12.003",Bauernfeind,etal,2013,Bauernfeind_etal_2013,Table 2,10.1016/j.jhevol.2012.12.003,https://doi.org/10.1016/j.jhevol.2012.12.003,"Stephan, Sherwood",NA,NA
deSousa_etal_2010_Table1,deSousa et al. (2010) Table 1,deSousa_etal_2010_Table1,"de Sousa, A. A., Sherwood, C. C., Mohlberg, H., Amunts, K., Schleicher, A., MacLeod, C. E., Hof, P. R., Frahm, H., & Zilles, K. (2010). Hominoid visual brain structure volumes and the position of the lunate sulcus. J Hum Evol, 58(4), 281-292. https://doi.org/10.1016/j.jhevol.2009.11.011",deSousa,etal,2010,deSousa_etal_2010,Table 1,10.1016/j.jhevol.2009.11.011,https://doi.org/10.1016/j.jhevol.2009.11.011,"Stephan, Zilles","Stephan, Zilles, AFIP, Sherwood, Hof",NA
deSousa_etal_2013_Table1,deSousa et al. (2013) Table 1,deSousa_etal_2013_Table1,"de Sousa, A. A., Sherwood, C. C., Hof, P. R., & Zilles, K. (2013). Lamination of the lateral geniculate nucleus of catarrhine primates. Brain Behav Evol, 81(2), 93-108. https://doi.org/10.1159/000346495",deSousa,etal,2013,deSousa_etal_2013,Table 1,10.1159/000346495,https://doi.org/10.1159/000346495,"Stephan, Zilles","Stephan, Zilles, AFIP, Sherwood, Hof",NA
Frahm_etal_1982_Table2,Frahm et al. (1982) Table 2,Frahm_etal_1982_Table2,"Frahm, H. D., Stephan, H., & Stephan, M. (1982). Comparison of brain structure volumes in Insectivora and Primates. I. Neocortex. J Hirnforsch, 23(4), 375-389. https://www.ncbi.nlm.nih.gov/pubmed/7161477",Frahm,etal,1982,Frahm_etal_1982,Table 2,PMID:7161477,https://doi.org/PMID:7161477,Stephan,Stephan,NA
Frahm_etal_1984_Table1,Frahm et al. (1984) Table 1,Frahm_etal_1984_Table1,"Frahm, H. D., Stephan, H., & Baron, G. (1984). Comparison of brain structure volumes in insectivora and primates. V. Area striata (AS). J Hirnforsch, 25(5), 537-557. https://www.ncbi.nlm.nih.gov/pubmed/6501869",Frahm,etal,1984,Frahm_etal_1984,Table 1,PMID:6501869,https://doi.org/PMID:6501869,Stephan,Stephan,NA
Matano__1986_TableI,Matano (1986) Table I,Matano__1986_TableI,"Matano, S. (1986). A volumetric comparison of the vestibular nuclei in primates. Folia Primatol (Basel), 47(4), 189-203. https://doi.org/10.1159/000156277",Matano,NA,1986,Matano__1986,Table I,10.1159/000156277,https://doi.org/10.1159/000156277,NA,NA,NA
Matano_etal_1985_a_Table1,Matano et al. (1985) Table 1,Matano_etal_1985_a_Table1,"Matano, S., Baron, G., Stephan, H., & Frahm, H. D. (1985). Volume comparisons in the cerebellar complex of primates. II. Cerebellar nuclei. Folia Primatol (Basel), 44(3-4), 182-203. https://doi.org/10.1159/000156212",Matano,etal,1985,Matano_etal_1985_a,Table 1,10.1159/000156212,https://doi.org/10.1159/000156212,Stephan,Stephan,NA
Matano_etal_1985_b_Table1,Matano et al. (1985) Table 1,Matano_etal_1985_b_Table1,"Matano, S., Stephan, H., & Baron, G. (1985). Volume comparisons in the cerebellar complex of primates. I. Ventral pons. Folia Primatol (Basel), 44(3-4), 171-181. https://doi.org/10.1159/000156211",Matano,etal,1985,Matano_etal_1985_b,Table 1,10.1159/000156211,https://doi.org/10.1159/000156211,Stephan,Stephan,NA
Stephan_etal_1981_TableII,Stephan et al. (1981) Table II,Stephan_etal_1981_TableII,"Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963",Stephan,etal,1981,Stephan_etal_1981,Table II,10.1159/000155963,https://doi.org/10.1159/000155963,Stephan,Stephan,NA
