Source,Species,Variable,flag,action,reason,evidence
Smaers_etal_2017_TableS1part1,*,Area_striata_grey_matter_Vol.mm3,secondary_compilation,skip,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed'
Smaers_etal_2017_TableS1part1,*,Area_striata_white_matter_Vol.mm3,secondary_compilation,skip,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed'
Smaers_etal_2017_TableS1part1,*,PrefrontalCortex_grey_matter_Vol.mm3,secondary_compilation,skip,"Smaers 2017 prefrontal_gray is Smaers et al. 2011 Suppl. Table 2 republished (anterior section-5, summed L+R; human = mean of 8), 19/11 spp within 2%. Add Smaers_etal_2011_SupplementaryTable1 to the selection if you want prefrontal volumes; do not date this measurement 2017.",crosspub_Smaers2017_FINDINGS.md
Smaers_etal_2017_TableS1part1,*,PrefrontalCortex_white_matter_Vol.mm3,secondary_compilation,skip,"Smaers 2017 prefrontal_white is Smaers et al. 2011 Suppl. Table 2 republished, same as the grey-matter column. Use the 2011 raw table as the source if prefrontal volumes are wanted.",crosspub_Smaers2017_FINDINGS.md
Smaers_etal_2017_TableS1part1,*,AssociationCortex_grey_matter_Vol.mm3,derived_residual,skip,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed.",crosspub_Smaers2017_FINDINGS.md
Smaers_etal_2017_TableS1part1,*,AssociationCortex_white_matter_Vol.mm3,derived_residual,skip,"other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.",crosspub_Smaers2017_FINDINGS.md
Smaers_etal_2017_TableS1part1,*,FrontalMotor_grey_matter_Vol.mm3,unverifiable,review,"frontal_motor_gray is the only genuinely 2017-unique numeric column, so it is kept - but it is the POSTERIOR section-5 of 20 frontal sections and was never published anywhere else, so it cannot be checked against any public table. It is a biased anterior/posterior proxy, not the true premotor border. Treat as provisional.",crosspub_Smaers2017_FINDINGS.md
Smaers_etal_2017_TableS1part1,*,FrontalMotor_white_matter_Vol.mm3,unverifiable,review,"frontal_motor_white is the white-matter counterpart of the same unpublished posterior section-5 partition: 2017-unique, kept, but unverifiable against any public table and a proxy rather than a true premotor border.",crosspub_Smaers2017_FINDINGS.md
Bauernfeind_etal_2013_Table1,*,Brain_Mass.mg,unit_suspect,review,"Scale check: the TSV column brain_mass_mg really is milligrams (Pan paniscus 395000 = 395 g; Alouatta caraya 55800 = 55.8 g), but the reshape divides by 1000, so the value carried under the term Brain_Mass.mg is in GRAMS - 1000x smaller than the term claims. This comes from volumes_compiled.R (same line, same result in the canonical volumes_long.csv), so it is an upstream issue, NOT something this selection introduced. Here it only reaches the 13 species Stephan 1981 does not cover, because mass_rule pins the rest to Stephan. Set action to skip, or fix the reshape upstream, once decided.",volumes_compiled.R step 3 Bauernfeind_etal_2013_Table1 reshape; volumes_long.csv Brain_Mass.mg
Stephan_etal_1981_Table*,*,Nucleus_tractus_olfactorius_Vol.mm3,zero_sentinel,review,"Stephan 1981 prints 0 for the nucleus tractus olfactorius in several catarrhines. Per the Stephan 1987 data dictionary a printed 0 means 'not determinable with certainty', not a true zero - volumes_compiled.R maps it to NA for the 1987 table but leaves the 1981 zeros standing, and so does this script (5 species end up with NTO = 0). Decide whether the 1981 zeros are sentinels too before using this variable; contrast Bulbus_olfactorius_accessorius, whose zeros in catarrhines are real absences.",README__merging.md; volumes_compiled.R Stephan_etal_1987_Table1 reshape
Stephan_etal_1981_Table*,Crocidura flavescens,*,taxonomy_lump,review,"The 1981 row is printed as 'Crocidura occidentalis' and is keyed to accepted 'Crocidura flavescens'. Verify the specimens are the same animal(s) before trusting these values against any other Crocidura source - this is the one still-open amygdala flag in the full merge (1987 remeasured the amygdala ~1.8-2.0x higher). The Source pattern uses the trailing-* prefix match so the flag follows the value whichever 1981 table carries it.",README__merging.md 'Status of the amygdala-complex flags'
