Species,Variable,Team,Source_skipped,Year_skipped,Value_skipped,flag,reason,evidence,Source_used,Year_used,outcome,more_recent
Alouatta seniculus,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1918,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Ateles geoffroyi,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,3753,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Cebus albifrons,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,3764,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Cercopithecus ascanius,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,4272,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Cercopithecus mitis,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,4232,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Gorilla sp.,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,12062,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Homo sapiens,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,14787,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Hylobates lar,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,4574,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Lagothrix lagothricha,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,4856,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Lophocebus albigena,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,5420,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Miopithecus talapoin,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,2339,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Pan troglodytes,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,10593,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Papio anubis,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,10001,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Piliocolobus badius,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,3053,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Pithecia pithecia,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1679,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',NA,NA,dropped — no other source covers this cell,TRUE
Pongo sp.,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,7008,secondary_compilation,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Zilles_Rehkämper_1988_Table12-2,1988,more recent than the value used,TRUE
Alouatta seniculus,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,543,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Ateles geoffroyi,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,985,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Cebus albifrons,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,939,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Cercopithecus ascanius,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,834,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Cercopithecus mitis,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1042,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
Gorilla sp.,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,3123,secondary_compilation,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column.",crosspub_Smaers2017_FINDINGS.md; __ReadMe.xlsx 'Flags pre-addressed',Frahm_etal_1984_Table1,1984,more recent than the value used,TRUE
