Species,Variable,Team,Source,Year,Value,n_obs,status,flag,action,Source_used,Year_used,reason
Alouatta caraya,Agranular_insular_cortex_left_Vol.mm3,Selected_collection,Bauernfeind_etal_2013_Table1,2013,42,1,USED,NA,use,Bauernfeind_etal_2013_Table1,2013,NA
Alouatta caraya,Body_Mass.g,Selected_collection,Bauernfeind_etal_2013_Table1,2013,6420,1,USED,NA,use,Bauernfeind_etal_2013_Table1,2013,NA
Alouatta caraya,Brain_Mass.mg,Selected_collection,Bauernfeind_etal_2013_Table1,2013,55.8,1,USED,unit_suspect,review,Bauernfeind_etal_2013_Table1,2013,"Scale check: the TSV column brain_mass_mg really is milligrams (Pan paniscus 395000 = 395 g; Alouatta caraya 55800 = 55.8 g), but the reshape divides by 1000, so the value carried under the term Brain_Mass.mg is in GRAMS - 1000x smaller than the term claims. This comes from volumes_compiled.R (same line, same result in the canonical volumes_long.csv), so it is an upstream issue, NOT something this selection introduced. Here it only reaches the 13 species Stephan 1981 does not cover, because mass_rule pins the rest to Stephan. Set action to skip, or fix the reshape upstream, once decided."
Alouatta caraya,Dysgranular_insular_cortex_left_Vol.mm3,Selected_collection,Bauernfeind_etal_2013_Table1,2013,141,1,USED,NA,use,Bauernfeind_etal_2013_Table1,2013,NA
Alouatta caraya,Granular_insular_cortex_left_Vol.mm3,Selected_collection,Bauernfeind_etal_2013_Table1,2013,89,1,USED,NA,use,Bauernfeind_etal_2013_Table1,2013,NA
Alouatta caraya,Insula_left_Vol.mm3,Selected_collection,Bauernfeind_etal_2013_Table1,2013,272,1,USED,NA,use,Bauernfeind_etal_2013_Table1,2013,NA
Alouatta caraya,Total_brain_net_volume_Vol.mm3,Selected_collection,Bauernfeind_etal_2013_Table1,2013,53861,1,USED,NA,use,Bauernfeind_etal_2013_Table1,2013,NA
Alouatta seniculus,Amygdala_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,413,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Alouatta seniculus,Area_striata_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,2461,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Alouatta seniculus,Area_striata_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIX,1981,2374,1,superseded (older),NA,use,Frahm_etal_1984_Table1,1984,NA
Alouatta seniculus,Area_striata_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,1918,1,skipped (flagged),secondary_compilation,skip,Frahm_etal_1984_Table1,1984,"Smaers 2017 primary_visual_gray is not a Smaers measurement: it is de Sousa et al. 2010 [S6], which is itself Frahm et al. 1984 area striata grey matter. Value-matched EXACT (14 spp, 0.0% difference; e.g. Homo 14.787 = Frahm 14787 mm3, Cercopithecus ascanius 4.272 = 4272, Gorilla 12.062 = 12062). Taking it would republish Frahm 1984 under a 2017 date."
Alouatta seniculus,Area_striata_grey_matter_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,1918,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Alouatta seniculus,Area_striata_lamina_1_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,220,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Alouatta seniculus,Area_striata_laminae_2_6_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,1698,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Alouatta seniculus,Area_striata_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,543,1,skipped (flagged),secondary_compilation,skip,Frahm_etal_1984_Table1,1984,"Smaers 2017 primary_visual_white is Frahm et al. 1984 area striata WHITE matter republished, not a Smaers measurement (EXACT value-match, e.g. Homo 5.439 = Frahm 5439 mm3, Pan troglodytes 4.004 = 4004). Same reasoning as the grey-matter column."
Alouatta seniculus,Area_striata_white_matter_Vol.mm3,Selected_collection,Frahm_etal_1984_Table1,1984,543,1,USED,NA,use,Frahm_etal_1984_Table1,1984,NA
Alouatta seniculus,AssociationCortex_grey_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,12394,1,skipped (flagged),derived_residual,skip,NA,NA,"other_association_gray is not measured. Per the 2017 supplement it is neocortex - frontal lobe - primary visual, i.e. an arithmetic residual of de Sousa 2010 + Stephan 1981 values that are already in this merge. Importing it would double-count them; recompute from the primaries instead if the quantity is needed."
Alouatta seniculus,AssociationCortex_white_matter_Vol.mm3,Selected_collection,Smaers_etal_2017_TableS1part1,2017,4212,1,skipped (flagged),derived_residual,skip,NA,NA,other_association_white is the white-matter counterpart of the same derived residual (neocortex - frontal lobe - primary visual). Not a measurement; recompute from the primaries rather than importing it.
Alouatta seniculus,Body_Mass.g,Selected_collection,Stephan_etal_1988_TABLE1,1988,6400,1,superseded (older),NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Body_Mass.g,Selected_collection,Matano_etal_1985_a_Table1,1985,6400,1,superseded (older),NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Body_Mass.g,Selected_collection,Matano_etal_1985_b_Table1,1985,6400,1,superseded (older),NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Body_Mass.g,Selected_collection,Stephan_etal_1981_TableIII,1981,6400,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Brain_Mass.mg,Selected_collection,Stephan_etal_1988_TABLE1,1988,52000,1,superseded (older),NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Brain_Mass.mg,Selected_collection,Stephan_etal_1981_TableIII,1981,52000,1,USED,NA,use,Stephan_etal_1981_TableIII,1981,NA
Alouatta seniculus,Bulbus_olfactorius_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,41.4,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Alouatta seniculus,Bulbus_olfactorius_accessorius_Vol.mm3,Selected_collection,Stephan_etal_1981_TableVI,1981,0.595,1,USED,NA,use,Stephan_etal_1981_TableVI,1981,NA
Alouatta seniculus,CerebellarHemisphere_Vol.mm3,Selected_collection,MacLeod_etal_2003_Table2,2003,2700,1,USED,NA,use,MacLeod_etal_2003_Table2,2003,NA
Alouatta seniculus,CerebellarVermis_Vol.mm3,Selected_collection,MacLeod_etal_2003_Table2,2003,1450,1,USED,NA,use,MacLeod_etal_2003_Table2,2003,NA
Alouatta seniculus,Cerebellar_nuclei_total_Vol.mm3,Selected_collection,Matano_etal_1985_a_Table1,1985,113.79,1,USED,NA,use,Matano_etal_1985_a_Table1,1985,NA
Alouatta seniculus,Cerebellum_Vol.mm3,Selected_collection,MacLeod_etal_2003_Table2,2003,4150,1,USED,NA,use,MacLeod_etal_2003_Table2,2003,NA
Alouatta seniculus,Cerebellum_Vol.mm3,Selected_collection,Stephan_etal_1981_TableIII,1981,5699,1,superseded (older),NA,use,MacLeod_etal_2003_Table2,2003,NA
Alouatta seniculus,Complexus_centromedialis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,94.9,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
Alouatta seniculus,Complexus_corticobasolateralis_Vol.mm3,Selected_collection,Stephan_etal_1981_TableXI,1981,318,1,USED,NA,use,Stephan_etal_1981_TableXI,1981,NA
