"Table 3. Data on volume sizes of the fundamental brain sections, the allocortical subdivisions, the total brains (in mm3) and brain weights (in g) of the domestic pigs"

Structure,Sd5,Sd9,Sd31,Sd19,Sd17,Sd12
Medulla oblongata,5207,6431,6656,6755,6927,7158
Cerebellum,11477,13953,12299,14614,13322,14203
Mesencephalon,3627,4137,4390,4458,4733,5175
Diencephalon,6319,6628,7151,7153,7187,7694
Telencephalon,58703,66335,69415,71071,77356,82386
Neocortex,44826,50018,53362,53488,60449,64205
Corpus striatum,3386,3975,3706,3815,3930,4573
Allocortex,10490,12342,12346,13767,12977,13608
Bulbus olfactorius,835,1263,929,1302,1408,1214
Regio retrobulbaris,342,423,418,444,430,405
Regio praepiriformis,2420,2799,3085,3451,2935,3252
Amygdaloid complex,1056,1101,1216,1217,1154,1322
Amygdaloid complex a) centromedial group,395,451,457,463,441,552
Amygdaloid complex b) basolateral group,661,650,759,754,713,770
Tuberculum olfactorium,775,863,903,1103,961,1280
Nuclei basalis,589,655,626,836,763,750
Palaeocortex + Amygdaloid complex,5182,5840,6248,7051,6242,7009
Septum,628,753,772,864,808,952
Hippocampus,2943,3366,3314,3372,3353,3257
Schizocortex,900,1118,1080,1177,1164,1173
limbic structures,4473,5237,5168,5413,5326,5383
brain weight (g),92.0,105.0,110.0,112.0,119.0,125.0
brain volume (mm3),88803,101351,106178,108108,114865,120656

a Damaged olfactory bulb.
