Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note,actual_source,actual_source_citation,actual_source_repo_folder,actual_source_evidence
species_sci,Harmonised accepted binomial (project species key),,,,info,Mammals,Lewitus_etal_2014_TableS1,join key,added in build,,,,
Species,Species name as printed in the supplement (underscored),,,,info,Mammals,Lewitus_etal_2014_TableS1,printed name preserved,,,,,
Body_weight,Body weight,"Mass of adult (or age unspecified) live or freshly-killed specimens (excluding pregnant females); captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: g.",Mass.g,,secondary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Brain_weight_g,Brain weight g,"Mass of adult (or age unspecified) live or freshly-killed, or museum specimen brains; captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; includes all types of fixation; all measures of central tendency; all localities. Unit per S2: g.",Mass.g,,secondary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Neonate_brain_weight_g,Neonate brain weight g,,Mass.g,,secondary,Mammals,Lewitus_etal_2014_TableS1,"Not a named variable in Table S2. S2 defines 'Neonate body mass' (mass of near-term/newborn specimens, up to 7 days old, g) but not a neonate *brain* weight specifically; do not assume the body-mass definition applies to this brain-weight column.",Table S2 (pbio.1002000.s014.xlsx) — absent,,,,
Neocortex_mm^3,Neocortex volume,Neocortex – cc: volume of neocortex minus the volume of the corpus callosum. Unit per S2: mm3.,value,,secondary,Mammals,Lewitus_etal_2014_TableS1,"Resolves prior ambiguity: this is neocortex EXCLUDING corpus callosum, not raw neocortex volume.",Table S2 (pbio.1002000.s014.xlsx),"Stephan collection lineage (Stephan et al. 1981 best fit; also Frahm 1982, Sherwood 2003, deSousa 2010, Stephan 1970, Heldstab 2016)","Frahm HD, Stephan H, Stephan M (1982) Comparison of brain structure volumes in Insectivora and Primates. I. Neocortex. J Hirnforsch 23:375-389 | Stephan H, Frahm H, Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol 35:1-29",Stephan_etal_1981; Frahm_etal_1982; Sherwood_etal_2003; deSousa_etal_2010,"Full sweep of every neocortex-volume column in the repo, both scales: 29 of 33 values match a Stephan-lineage table exactly (Stephan 1981 20/33; 21 species match 2+ tables). Bush & Allman publish only separate grey/white columns; tested as explicit sums they report 13 of the 33 species and match none of them (median rel. diff 0.165), and have no value for the other 20. External Database S1 cites ref (17) Bush & Allman 2003 on 23 of 25 neocortex rows -- a mis-citation. See Lewitus_etal_2014_Neocortex_source_attribution.csv."
GI,Gyrification index,"Gyrification index (GI): a measure of the folding of the cortex; calculated from coronal sections of whole brain of adult (or age unspecified) of captive, wild, provisioned, or unspecified populations; calculated as the ratio between the outer and the inner surface of the brain; different fixation and staining methods (after Zilles, 1989).",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Ventricle_mm^3,Ventricle mm^3,,value,,primary,Mammals,Lewitus_etal_2014_TableS1,Not defined in Table S2 — no glossary entry for a ventricle-volume variable.,Table S2 (pbio.1002000.s014.xlsx) — absent,,,,
Maximum_lifespan_yrs,Maximum lifespan yrs,"Maximum adult age measured either through direct observation, capture-recapture estimates, projection from physical wear, or unspecified method; captive, wild, provisioned or unspecified populations; male, female or sex unspecified individuals; all measures of central tendency; all localities. Unit per S2: years.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
Age_at_first_breeding_F_mnths,Age at first breeding F mnths,"'Age at first breeding (females)'. S2 gives only the label and unit (months, continuous) with no expanded prose definition.",value,,primary,Mammals,Lewitus_etal_2014_TableS1,,Table S2 (pbio.1002000.s014.xlsx),,,,
