item,printed_label,taxon_in_source,value_kind,record_type,specimen_kind,taxon_concept,reassignable,hazard,note
"Zilles_etal_2011_TableS1 (Stephan collection, 200 primate rows)",various species + catalogue_number,printed as species binomial,individual specimen catalogue entry,specimen,historical_biological_specimen,,YES - matched rows may be reassigned as evidence improves,none,"13 rows matched an existing DUSSELDORF_HIRNFORSCHUNG-group canonical_specimen by catalogue_number (scoped, species-checked); 186 rows minted new STEPHAN-<taxon>-<code> canonical_specimen ids. 1,163 non-primate rows (Chiroptera/Insectivora/Scandentia/Miscellaneous) were out of scope and NOT registered (see specimen note)."
"Zilles_etal_2011_TableS2 (Zilles collection, 66 Simier/primate rows)",various species + catalogue_number/code,"printed as species binomial or ""spec./sp?""",individual specimen catalogue entry,specimen,historical_biological_specimen,,YES,one false-positive catalogue collision excluded (see below),"26 rows matched an existing canonical_specimen; 40 rows minted new ZILLES-<taxon>-<code> canonical_specimen ids. 53 non-primate rows (Lagomorpha/Insectivora/Rodentia/Marsupialia/reptile ""Varightous"") were out of scope and NOT registered."
"Zilles_etal_2011_TableS3 (Zilles/Amunts human developmental collection, 152 rows -> 150 unique individuals)",Homo sapiens (implicit; no species column),Homo sapiens,individual specimen catalogue entry (prenatal/perinatal/adult human),specimen,historical_biological_specimen,,YES,none,2 duplicate rows (H 75/79 left/right hemisphere sub-series; SN 31/84 repeated row) collapsed to 1 individual each before registration. 6 rows matched an existing canonical_specimen; 144 rows minted new ZILLESAMUNTS-HOMO-<code> canonical_specimen ids.
"Zilles_etal_2011 catalogue ""Pan1"" (TableS2) vs existing ZILLES-PAN-PAN1",Pan paniscus,Pan paniscus,individual specimen catalogue entry,specimen,historical_biological_specimen,,NO - kept as distinct individual,"catalogue-code collision, not a duplicate specimen","Existing canonical ZILLES-PAN-PAN1 is Pan troglodytes (codes pt1/Schimp 1/PAN 1) per MacLeod/deSousa/Barger. TableS2 prints an unrelated Pan paniscus individual under the numerically similar code ""Pan1"". Registered as a separate new canonical (ZILLES-PANPAN-PAN1) rather than merged, per IDENTIFIER_MATCHING_RULES.md guidance that a code carries no meaning outside species/collection agreement."
"Zilles_etal_2011 catalogue ""475""/""0475"" (TableS1) vs existing PONGO-0475",Callithrix jacchus,Callithrix jacchus,individual specimen catalogue entry,specimen,historical_biological_specimen,,NO - kept as distinct individual,"catalogue-code collision (leading-zero variant), not a duplicate specimen","Existing canonical PONGO-0475 is Pongo pygmaeus. TableS1 catalogue ""475"" is a different animal, Callithrix jacchus. Registered separately as STEPHAN-CALLJACC-475."
"Zilles_etal_2011 catalogue ""M 19""/""M 100"" (TableS1) vs TableS3 ""M 19""/""M 100""",Microcebus murinus; Propithecus verreauxi,Microcebus murinus; Propithecus verreauxi,individual specimen catalogue entry,specimen,historical_biological_specimen,,NO - kept as distinct individuals,cross-table code collision between Stephan (S1) and Zilles/Amunts human (S3) sub-collections; independent numbering series,"S1 ""M 19""/""M 100"" are nonhuman primates (Microcebus, Propithecus); S3 ""M 19""/""M 100"" are human neonate/child specimens. Different sub-collections reuse the bare ""M nn"" prefix independently; registered as four distinct specimens."
"Zilles_etal_2011 catalogue ""A 58"" (TableS1, within-table collision)",Cercopithecus ascanius; Homo sapiens,Cercopithecus ascanius; Homo sapiens,individual specimen catalogue entry,specimen,historical_biological_specimen,,NO - kept as distinct individuals,within-table code reuse across unrelated species,"Catalogue code ""A 58"" is printed for two unrelated animals within TableS1 itself. Canonical ids are disambiguated by taxon (STEPHAN-CERCASCA-A-58 and STEPHAN-HOMOSAPI-A-58); both registered."
Zilles_etal_2011 genus-only identifications (13 individuals),Ateles spec.; Cebus spec.; Cebus spec?; Cercopithecus sp?; Cercopithecus spec.; Lemur spec?; Papio spec?,"genus known, species not printed","individual specimen catalogue entry, species-level identity unresolved",specimen,historical_biological_specimen,,YES - resolvable if species is later established,none - correctly left unresolved rather than guessed,"13 individuals printed as ""<genus> spec."" or ""<genus> sp?"" in TableS1/TableS2 (species list: Ateles spec.; Cebus spec.; Cebus spec?; Cercopithecus sp?; Cercopithecus spec.; Lemur spec?; Papio spec?); resolved_taxon left blank, registered at genus level with match=Zilles_etal_2011-only."
"Zilles_etal_2011_TableS1 catalogue A213/A216/A228, printed ""Colobus badius""",Colobus badius,Colobus badius (historical lumped binomial),"individual specimen catalogue entry, but species pinned to a non-decomposable taxon concept",specimen,historical_biological_specimen,Colobus badius (s.l.),NO - pin to concept (do not auto-promote to a modern Piliocolobus species),none,"3 individuals; the modern red-colobus genus has since been split into several species (P. badius, P. temminckii, P. rufomitratus, etc.) and no locality evidence is available in this source to decompose them. New taxon_concept_registry row added: ""Colobus badius (s.l.)""."
Existing crosswalk rows re-discovered during this pass (pre-existing STEPHAN-*/ZILLES-* Stephan-collection registrations),n/a,n/a,"discovery note, no new row",specimen,historical_biological_specimen,,n/a,none,"The DUSSELDORF_HIRNFORSCHUNG-group scoped crosswalk scan (189 rows before this track) already contained substantial Stephan/Zilles-collection primate coverage beyond the 166 rows that literally mention ""Zilles"" in any field (e.g. canonical STEPHAN-GORILLA-A375, STEPHAN-CEBALB-1200) - a prior track had partially catalogued this collection. This track only added rows for catalogue numbers not already present after re-scoping the match to the full DUSSELDORF_HIRNFORSCHUNG group."
