"item","printed_label","taxon_in_source","value_kind","record_type","specimen_kind","taxon_concept","reassignable","hazard","note"
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Microcebus murinus (Frahm code 0114)","Microcebus murinus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0114; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Microcebus murinus (Frahm code 0115)","Microcebus murinus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0115; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Microcebus murinus (Frahm code 0116)","Microcebus murinus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0116; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Microcebus murinus (Frahm code 0117)","Microcebus murinus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0117; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Microcebus murinus (Frahm code 0118)","Microcebus murinus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0118; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Microcebus murinus (Frahm code 0119)","Microcebus murinus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0119; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Cheirogaleus major (Frahm code 0120)","Cheirogaleus major","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0120; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Cheirogaleus major (Frahm code 0121)","Cheirogaleus major","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0121; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Cheirogaleus medius (Frahm code 0122)","Cheirogaleus medius","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0122; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Cheirogaleus medius (Frahm code 0123)","Cheirogaleus medius","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0123; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Lemur albifrons fulvus (Frahm code 0124)","Lemur albifrons fulvus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0124; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Lemur albifrons fulvus (Frahm code 0125)","Lemur albifrons fulvus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0125; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Lemur albifrons fulvus (Frahm code 0126)","Lemur albifrons fulvus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0126; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Varecia variegatus (Frahm code 0127)","Varecia variegatus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0127; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Lepilemur ruficaudatus (Frahm code 0128)","Lepilemur ruficaudatus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0128; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Lepilemur ruficaudatus (Frahm code 0129)","Lepilemur ruficaudatus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0129; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Lepilemur ruficaudatus (Frahm code 0130)","Lepilemur ruficaudatus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0130; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Avahi laniger laniger (Frahm code 0131)","Avahi laniger laniger","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0131; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Avahi laniger laniger (Frahm code 0132)","Avahi laniger laniger","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0132; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Avahi laniger occidentalis (Frahm code 0133)","Avahi laniger occidentalis","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0133; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Avahi laniger occidentalis (Frahm code 0134)","Avahi laniger occidentalis","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0134; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Propithecus verreauxi (Frahm code 0135)","Propithecus verreauxi","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0135; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Propithecus verreauxi (Frahm code 0136)","Propithecus verreauxi","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0136; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Indri indri (Frahm code 0137)","Indri indri","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0137; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Indri indri (Frahm code 0138)","Indri indri","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0138; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Daubentonia madagascariensis (Frahm code 0139)","Daubentonia madagascariensis","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0139; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Loris tardigradus (Frahm code 0140)","Loris tardigradus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0140; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Loris tardigradus (Frahm code 0141)","Loris tardigradus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0141; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Nycticebus coucang (Frahm code 0142)","Nycticebus coucang","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0142; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Nycticebus coucang (Frahm code 0143)","Nycticebus coucang","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0143; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Perodicticus potto (Frahm code 0144)","Perodicticus potto","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0144; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Perodicticus potto (Frahm code 0145)","Perodicticus potto","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0145; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Galago senegalensis (Frahm code 0146)","Galago senegalensis","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0146; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Otolemur crassicaudatus (Frahm code 0147)","Otolemur crassicaudatus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0147; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Otolemur crassicaudatus (Frahm code 0148)","Otolemur crassicaudatus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0148; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Galagoides demidoff (Frahm code 0149)","Galagoides demidoff","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0149; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Galagoides demidoff (Frahm code 0150)","Galagoides demidoff","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0150; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Galagoides demidoff (Frahm code 0151)","Galagoides demidoff","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0151; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Tarsius spec (Frahm code 0152)","Tarsius spec","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0152; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Tarsius spec (Frahm code 0153)","Tarsius spec","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0153; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Callithrix jacchus (Frahm code 0154)","Callithrix jacchus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0154; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Callithrix jacchus (Frahm code 0155)","Callithrix jacchus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0155; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Callithrix jacchus (Frahm code 0156)","Callithrix jacchus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0156; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Callithrix jacchus (Frahm code 0157)","Callithrix jacchus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0157; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Cebuella pygmaea (Frahm code 0158)","Cebuella pygmaea","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0158; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Cebuella pygmaea (Frahm code 0159)","Cebuella pygmaea","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0159; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Saguinus midas tamarin (Frahm code 0160)","Saguinus midas tamarin","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0160; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Saguinus midas tamarin (Frahm code 0161)","Saguinus midas tamarin","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0161; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Saguinus oedipus (Frahm code 0162)","Saguinus oedipus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0162; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
"Frahm_Stephan_individuals.csv (restricted scan + transcription)","Saguinus oedipus (Frahm code 0163)","Saguinus oedipus","specimen catalogue number, private scan page","specimen","historical_biological_specimen","","NO - restricted only","No public source establishes this individual at all; identity and taxon rest entirely on the unpublished Frahm scan/workbook. Must not be copied into the public crosswalk.","Restricted canonical STEPHAN-FRAHM-0163; already present in specimen_crosswalk_restricted.csv (match=Frahm-only)."
