artifact,source_status,public_action,restricted_location,verification
specimens info 151211.xls,unpublished private catalog,removed from public working tree,Evo-M1-Traits-Data-restricted/specimen_registry/source_material/specimens_info_151211.xls,destination exists
collection_specimens_parsed.csv,derived entirely from private catalog,removed from public working tree,Evo-M1-Traits-Data-restricted/specimen_registry/derived/collection_specimens_parsed.csv,destination exists
collection_specimens_parsed.COLUMNMAP.md,schema for private parsed catalog,removed from public working tree,Evo-M1-Traits-Data-restricted/specimen_registry/derived/collection_specimens_parsed.COLUMNMAP.md,destination exists
specimen_crosswalk.csv,mixed public and restricted evidence,retained 19 public rows,Evo-M1-Traits-Data-restricted/specimen_registry/derived/specimen_crosswalk_restricted.csv,"207 restricted rows; 19 + 207 = 226 pre-split rows"
Bush_Allman_AFIP_specimen_note.md,private-workbook and correspondence derived,removed before public commit,Evo-M1-Traits-Data-restricted/specimen_registry/cases/bush_allman/Bush_Allman_AFIP_specimen_note.md,destination exists
bush_allman_afip_provenance_audit.csv,private-workbook identity mapping,removed before public commit,Evo-M1-Traits-Data-restricted/specimen_registry/cases/bush_allman/bush_allman_afip_provenance_audit.csv,destination exists
GorillaTarsius_indet_specimen_note.md,private-catalog interpretation,removed from public working tree,Evo-M1-Traits-Data-restricted/specimen_registry/cases/gorilla_tarsius/GorillaTarsius_indet_specimen_note.md,destination exists
Pongo_specimen_note.md,mixed public and private evidence,replaced with public-source-only note,Evo-M1-Traits-Data-restricted/specimen_registry/cases/pongo/Pongo_specimen_note_full.md,full note preserved
pongo_provenance_audit.csv,mixed public and private identity claim,removed restricted Smaers 2010 match,Evo-M1-Traits-Data-restricted/specimen_registry/cases/pongo/pongo_provenance_audit_restricted.csv,"12 public rows; 1 restricted row"
taxon_concept_registry.csv,mixed public concepts and private catalog notes,replaced private details with unresolved public-safe concepts,Evo-M1-Traits-Data-restricted/specimen_registry/derived/taxon_concept_registry_full_notes.csv,full notes preserved
Smaers_frontal_grey_FINDINGS.md,mixed published values and private catalog match,replaced exact private match with unresolved public label,Evo-M1-Traits-Data-restricted/specimen_registry/cases/smaers_frontal/Smaers_frontal_grey_FINDINGS_full.md,full finding preserved
deSousa_etal_2009 public documentation,public table plus private catalog QA,removed exact private mappings from README and definitions,Evo-M1-Traits-Data-restricted/restricted_checks/deSousa_etal_2009/,"restricted comparison updated for new catalog path; 31 value matches; 1 expected mismatch; 9/9 EQ checks"
