"item","printed_label","taxon_in_source","value_kind","record_type","specimen_kind","taxon_concept","reassignable","hazard","note"
"Zilles__Rehkamper_1988_Table12-2","Pongo sp.","genus-level (no species)","single-collection value (Düsseldorf)","taxon_concept",NA,"Pongo pygmaeus (s.l.)","NO - pin to concept","Genus-only label; a value under 'Pongo sp.' must not be silently promoted to P. pygmaeus s.s. It is the honest broad-concept encoding.","17 structures, fresh vol cc. This is the Zilles/Rehkämper stream that overlaps the Stephan collection at Düsseldorf."
"Stephan_etal_1981/comparison/Stephan_1981.csv","Pongo sp.","genus-level (no species)","EMPTY placeholder row (no values)","taxon_concept",NA,"Pongo pygmaeus (s.l.)","n/a (no data)","Placeholder only - the 'Pongo sp.' row in this Stephan comparison table carries no values, so no phantom Pongo value enters the merge from the Stephan side. Confirms the 'snuck in' path is dormant here.","Row 77; only the species name is present."
"DeCasien: Pongo_pygmaeus <- Zilles__Rehkämper_1988","Pongo pygmaeus","Pongo pygmaeus (broad)","collection value via DeCasien compilation","taxon_concept",NA,"Pongo pygmaeus (s.l.)","NO - pin to concept","DeCasien files the Zilles 'Pongo sp.' value under modern 'Pongo pygmaeus'. This promotes a genus/broad-concept value to the modern Bornean species. Should stay linked to the s.l. concept.","13 cells matched to Zilles_Rehkämper_1988_Table12-2."
"DeCasien: Pongo_pygmaeus <- MacLeod_specimen","Pongo pygmaeus","Pongo pygmaeus (broad)","specimen or specimen-derived","specimen","historical_biological_specimen","Pongo pygmaeus (s.l.)","MAYBE - at specimen level if the individual can be placed Bornean/Sumatran","Individual-level data published as 'Pongo pygmaeus' pre/around the split. Each specimen could in principle be Bornean or Sumatran; only reassign with accession evidence.","13 cells. Includes the Düsseldorf Zilles/Stephan specimens (MacLeod: HARRY, BRIGGS, 0475, YN85-38)."
"DeCasien: Pongo_pygmaeus <- deSousa_etal_2010_Table1","Pongo pygmaeus","Pongo pygmaeus (broad)","specimen or specimen-derived","specimen","historical_biological_specimen","Pongo pygmaeus (s.l.)","MAYBE - at specimen level if the individual can be placed Bornean/Sumatran","Individual-level data published as 'Pongo pygmaeus' pre/around the split. Each specimen could in principle be Bornean or Sumatran; only reassign with accession evidence.","13 cells. Includes the Düsseldorf Zilles/Stephan specimens (MacLeod: HARRY, BRIGGS, 0475, YN85-38)."
"DeCasien: Pongo_pygmaeus <- Sherwood2004_specimen","Pongo pygmaeus","Pongo pygmaeus (broad)","specimen or specimen-derived","specimen","historical_biological_specimen","Pongo pygmaeus (s.l.)","MAYBE - at specimen level if the individual can be placed Bornean/Sumatran","Individual-level data published as 'Pongo pygmaeus' pre/around the split. Each specimen could in principle be Bornean or Sumatran; only reassign with accession evidence.","38 cells. Includes the Düsseldorf Zilles/Stephan specimens (MacLeod: HARRY, BRIGGS, 0475, YN85-38)."
"DeCasien: Pongo_pygmaeus <- Rilling_Insel_1998_Table1","Pongo pygmaeus","Pongo pygmaeus (broad)","specimen or specimen-derived","specimen","historical_biological_specimen","Pongo pygmaeus (s.l.)","MAYBE - at specimen level if the individual can be placed Bornean/Sumatran","Individual-level data published as 'Pongo pygmaeus' pre/around the split. Each specimen could in principle be Bornean or Sumatran; only reassign with accession evidence.","2 cells. Includes the Düsseldorf Zilles/Stephan specimens (MacLeod: HARRY, BRIGGS, 0475, YN85-38)."
"DeCasien: Pongo_pygmaeus <- Rilling_Insel_1999_Table1","Pongo pygmaeus","Pongo pygmaeus (broad)","specimen or specimen-derived","specimen","historical_biological_specimen","Pongo pygmaeus (s.l.)","MAYBE - at specimen level if the individual can be placed Bornean/Sumatran","Individual-level data published as 'Pongo pygmaeus' pre/around the split. Each specimen could in principle be Bornean or Sumatran; only reassign with accession evidence.","2 cells. Includes the Düsseldorf Zilles/Stephan specimens (MacLeod: HARRY, BRIGGS, 0475, YN85-38)."
"DeCasien: Pongo_abelii <- Bauernfeind","Pongo abelii","Pongo abelii (modern)","specimen (modern MRI)","specimen","historical_biological_specimen","Pongo abelii","already modern - OK","None - correctly at modern species level. Do NOT merge with pre-2001 'Pongo pygmaeus' values as if same taxon.","10 cells (Bauernfeind_specimen + T1T2). Correct modern Sumatran assignment."
"DeCasien: Pongo_pygmaeus <- Barger 2007/2014","Pongo pygmaeus","Pongo pygmaeus (broad)","specimen-derived","specimen","historical_biological_specimen","Pongo pygmaeus (s.l.)","MAYBE at specimen level","Same broad-label caution as other specimen streams.","6 cells."
