"Species"	"common_name"	"n"	"body_mass_kg"	"vo2max_ml_min"	"references"	"note"	"source"
"Baiomys taylori"	"Pygmy mouse"	4	0.0072	1.884	"Seeherman et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Apodemus sylvaticus"	"Woodmouse"	4	0.02	5.28	"Hoppeler et al. (1984)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Peromyscus maniculatus"	"Deer mouse"	211	0.022	4.928	"Chappell et al. (2003)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Mus musculus"	"Mouse"	425	0.026	3.884	"Kemi et al. (2002), Maxwell et al. (1998), Niebauer et al. (1999), Schefer and Talan (1996)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Tamias striatus"	"Chipmunk"	2	0.09	14.58	"Seeherman et al. (1981)"	"PUBLISHED VALUE DISCREPANCY: Table 1 VO2max inconsistent with Table A.1 for this species (pattern = one-row shift: T1 chipmunk 14.58 = A.1 mole rat; T1 rat 54.44 = A.1 mongoose; T1 mongoose 32.59 = A.1 guinea pig); verified against page image - as printed. Prefer Table A.1 study-level values."	"Weibel_etal_2004_Table1"
"Spalax ehrenbergi"	"Mole rat"	4	0.136	23.13	"Widmer et al. (1997)"	"PUBLISHED VALUE DISCREPANCY: Table 1 VO2max inconsistent with Table A.1 for this species (pattern = one-row shift: T1 chipmunk 14.58 = A.1 mole rat; T1 rat 54.44 = A.1 mongoose; T1 mongoose 32.59 = A.1 guinea pig); verified against page image - as printed. Prefer Table A.1 study-level values."	"Weibel_etal_2004_Table1"
"Rattus norvegicus"	"Rat"	103	0.278	54.44	"Abdelmalki et al. (1996), Gonzalez et al. (1998), Gosselin et al. (1997), Lambert et al. (1996), McClelland et al. (1999), Niederhoffer et al. (2000), Seeherman et al. (1981), Tanaka et al. (1997), Widmer et al. (1997)"	"PUBLISHED VALUE DISCREPANCY: Table 1 VO2max inconsistent with Table A.1 for this species (pattern = one-row shift: T1 chipmunk 14.58 = A.1 mole rat; T1 rat 54.44 = A.1 mongoose; T1 mongoose 32.59 = A.1 guinea pig); verified against page image - as printed. Prefer Table A.1 study-level values."	"Weibel_etal_2004_Table1"
"Helogale pervula"	"Dwarf mongoose"	2	0.43	32.59	"Mathieu et al. (1981)"	"PUBLISHED VALUE DISCREPANCY: Table 1 VO2max inconsistent with Table A.1 for this species (pattern = one-row shift: T1 chipmunk 14.58 = A.1 mole rat; T1 rat 54.44 = A.1 mongoose; T1 mongoose 32.59 = A.1 guinea pig); verified against page image - as printed. Prefer Table A.1 study-level values."	"Weibel_etal_2004_Table1"
"Cavia porcellus"	"Guinea pig"	5	0.584	21.49	"Turner et al. (1995)"	"PUBLISHED VALUE DISCREPANCY: Table 1 VO2max inconsistent with Table A.1 for this species (pattern = one-row shift: T1 chipmunk 14.58 = A.1 mole rat; T1 rat 54.44 = A.1 mongoose; T1 mongoose 32.59 = A.1 guinea pig); verified against page image - as printed. Prefer Table A.1 study-level values."	"Weibel_etal_2004_Table1"
"Bettongia penicillata"	"Rat kangaroo"	2	1.1	194.7	"Seeherman et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Mungos mungo"	"Banded mongoose"	1	1.14	130	"Mathieu et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Genetta tigrina"	"Genet cat"	2	1.38	146.6	"Mathieu et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Pedetes capensis"	"Spring hare"	2	3	291.6	"Seeherman et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Agouti paca"	"Agouti"	1	3.22	328.4	"Hoppeler and Fluck (2002)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Nesotragus moschatus"	"Suni"	2	3.3	317.8	"Mathieu et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Madoqua kirkii"	"Dik-dik"	2	4.2	228.1	"Mathieu et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Alopex lagopus"	"Fox"	5	4.51	897.5	"Longworth et al. (1989), Weibel et al. (1983)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Gazella granti"	"Grant's gazelle"	1	10.1	539.3	"Mathieu et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Canis latrans"	"Coyote"	2	12.4	2283.3	"Weibel et al. (1983)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Sus scrofa"	"Pigs"	2	18.5	1731.6	"Seeherman et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Ovis aries"	"African sheep"	2	21.8	1013.7	"Mathieu et al. (1981)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Capra hircus"	"Goat"	8	24.3	1344.7	"Hoppeler et al. (1987), Mathieu et al. (1981), Vock et al. (1996)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Canis familiaris"	"Dog"	11	25.9	3825	"Hoppeler et al. (1987), Seeherman et al. (1981), Vock et al. (1996), Weibel et al. (1983)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Canis lupus"	"Wolf"	2	27.6	4310	"Weibel et al. (1983)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
"Antilocapra americana"	"Pronghorn"	1	28.4	8435	"Lindstedt et al. (1991)"	"species-level pooled values; see Table A.1 for study-level estimates"	"Weibel_etal_2004_Table1"
