"animal_printed"	"latin_name_printed"	"species_sci"	"avg_area_connections_per_area"	"sd_log_area_connections_per_area"	"brain_mass_g"	"source"
"Rat"	"Rattus rattus"	"Rattus norvegicus"	7	0	1.78	"Changizi_Shimojo_2005_Table5"
"Tree shrew"	"Tupaia belangeri"	"Tupaia belangeri"	4.73	0.1	3.11	"Changizi_Shimojo_2005_Table5"
"Bushbaby"	"Galago senegalensis"	"Galago senegalensis"	9.05	0.1	4.57	"Changizi_Shimojo_2005_Table5"
"Opossum"	"Didelphis marsupialis"	"Didelphis marsupialis"	4.47	0.07	5.17	"Changizi_Shimojo_2005_Table5"
"Squirrel"	"Sciurus carolinensis"	"Sciurus carolinensis"	5.91	0.2	6.52	"Changizi_Shimojo_2005_Table5"
"Flying fox"	"Pteropus poliocephalus"	"Pteropus poliocephalus"	6.79	0.12	7.22	"Changizi_Shimojo_2005_Table5"
"Marmoset"	"Callithrix jacchus"	"Callithrix jacchus"	8.65	0.14	7.78	"Changizi_Shimojo_2005_Table5"
"Owl monkey"	"Aotus"	"Aotus trivirgatus"	9.92	0.13	16.34	"Changizi_Shimojo_2005_Table5"
"Squirrel monkey"	"Saimiri sciureus"	"Saimiri sciureus"	10.49	0.17	22.48	"Changizi_Shimojo_2005_Table5"
"Cat"	"Felis domesticus"	"Felis catus"	13.34	0.24	27.09	"Changizi_Shimojo_2005_Table5"
"Macaque"	"Macaca"	"Macaca mulatta"	16.99	0.32	84.64	"Changizi_Shimojo_2005_Table5"
