species_row	Species_Baron1996	nucleus_dorsalis_motorius_nervi_vagi_mm3	nucleus_nervi_hypoglossi_mm3	nucleus_reticularis_lateralis_mm3	complexus_olivaris_inferior_mm3	nucleus_prepositus_hypoglossi_mm3	source_pdf_page
1	Eidolon helvum	0.566	1.328	2.161	3.673	1.278	86
2	Rousettus aegyptiacus	0.444	1.003	1.468	2.337	0.829	86
3	Myonycteris torquata	0.193	0.432	0.663	1.191	0.484	86
4	Pteropus conspicillatus	1.095	2.724	3.142	7.267	2.397	86
5	Pteropus poliocephalus	1.116	2.791	3.849	7.89	2.148	86
6	Pteropus scapulatus	0.617	1.987	2.62	5.753	1.62	86
7	Pteropus tonganus	0.965	2.582	3.358	6.24	1.553	86
8	Pteropus vampyrus	1.233	2.713	3.51	8.328	2.741	86
9	Dobsonia inermis	0.616	1.404	1.4	2.971	0.693	86
10	Dobs. moluccensis magna	0.889	2.451	2.93	6.457	1.907	86
11	Dobsonia praedatrix	0.58	1.474	1.708	3.143	1.244	86
12	Epomops franqueti	0.49	1.234	1.451	2.677	1.079	86
13	Epomophorus labiatus	0.281	0.966	0.966	1.989	0.74	86
14	Micropteropus pusillus	0.132	0.55	0.518	1.014	0.437	86
15	Scotonycteris zenkeri	0.163	0.414	0.45	0.767	0.396	86
16	Casinycteris argynnis	0.208	0.493	0.587	1.055	0.613	86
17	Cynopterus brachyotis	0.177	0.511	0.525	0.841	0.331	86
18	Cynopterus horsfieldi	0.266	0.673	0.719	1.307	0.677	86
19	Megaerops ecaudatus	0.135	0.327	0.476	0.626	0.37	86
20	Chironax melanocephalus	0.112	0.28	0.425	0.632	0.362	86
21	Balionycteris maculata	0.111	0.246	0.334	0.527	0.241	86
22	Nyctimene robinsoni	0.238	0.385	0.777	1.154	0.586	86
23	Nyctimene vizcaccia	0.154	0.475	0.645	1.115	0.484	86
24	Eonycteris speZaea	0.221	0.576	0.874	1.419	0.619	86
25	Macroglossus minimus	0.095	0.269	0.308	0.686	0.312	86
26	Syconycteris a. australis	0.116	0.243	0.431	0.706	0.322	86
27	Notopteris macdonaldi	0.233	0.706	0.834	1.806	0.677	86
28	Rhinopoma hardwickei	0.092	0.172	0.373	0.485	0.195	87
29	Rhinopoma microphyllum **	0.113	0.192	0.4	0.674	0.239	87
30	Emballonura monticola	0.046	0.121	0.165	0.289	0.17	87
31	Emballonura raffrayana	0.05	0.145	0.222	0.349	0.162	87
32	Emballonura semicaudata	0.053	0.162	0.238	0.389	0.195	87
33	Coleura afra	0.055	0.188	0.296	0.495	0.137	87
34	Rhynchonycteris naso	0.028	0.073	0.129	0.254	0.081	87
35	Saccopteryx leptura	0.04	0.096	0.159	0.306	0.132	87
36	Cormura brevirostris	0.059	0.134	0.186	0.387	0.134	87
37	Peropteryx trinitatis	0.034	0.085	0.136	0.32	0.106	87
38	Taphozous australis	0.131	0.318	0.394	0.84	0.286	87
39	Taphozous hildegardeae	0.154	0.314	0.646	1.15	0.364	87
40	Taphozous theobaldi	0.229	0.406	0.851	1.486	0.429	87
41	Taphozous saccolaimus	0.127	0.331	0.734	1.64	0.391	87
42	Cyttarops alecto	0.046	0.116	0.234	0.459	0.196	87
43	Craseonycteris thonglongyai	0.02	0.046	0.073	0.161	0.059	87
44	Nycteris grandis	0.129	0.293	0.431	1.473	0.626	87
45	Nycteris macrotis	0.056	0.197	0.347	0.996	0.446	87
46	Nycteris nana	0.042	0.128	0.208	0.553	0.258	87
47	Nycteris thebaica	0.058	0.179	0.248	0.717	0.353	87
48	Megaderma lyra	0.315	0.378	1.152	1.843	0.581	87
49	Megaderma spasm a	0.144	0.183	0.44	1.23	0.472	87
50	Macroderma gigas	0.404	0.588	0.995	3.157	1.221	87
51	Cardioderma cor	0.12	0.248	0.451	1.027	0.51	87
52	Lavia frons	0.161	0.271	0.556	1.234	0.529	87
53	Rhinolophus landeri	0.086	0.15	0.274	0.432	0.226	87
54	Rhinolophus luctus	0.172	0.272	0.66	1.039	0.464	87
55	Rhinolophus pusillus	0.046	0.107	0.156	0.269	0.125	87
56	Hipposideros ater	0.063	0.088	0.233	0.352	0.199	87
57	Hipposideros ater aruensis	0.054	0.079	0.219	0.284	0.173	87
58	Hipposideros commersoni	0.214	0.29	0.657	0.958	0.389	87
59	Hipposideros diadema	0.23	0.356	0.649	0.929	0.469	87
60	Aselliscus stoliczkanus	0.038	0.071	0.161	0.4	0.18	87
61	Aselliscus tricuspidatus	0.036	0.084	0.104	0.239	0.126	87
62	Rhinonycteris aurantius	0.058	0.086	0.251	0.487	0.196	87
63	Triaenops persicus	0.076	0.134	0.315	0.658	0.246	87
64	Noctilio albiventris	0.219	0.303	0.452	0.941	0.293	88
65	Noctilio leporinus	0.293	0.589	0.738	1.871	0.658	88
66	Pteronotus personatus	0.092	0.17	0.252	0.71	0.23	88
