"Animal_Nudo1995"	"animal_common_Nudo1995"	"gs_initials_Nudo1995"	"Order_Nudo1995"	"Order_resolved"	"species_sci"	"CS_profiles_contralateral"	"CS_profiles_ipsilateral"	"CS_profiles_bracket_printed"	"CS_profiles_used"	"hemisphere_used"	"soma_diameter.um"	"correction_term"	"CS_somata_total"	"CS_somata_A"	"CS_somata_pct_A"	"CS_somata_B"	"CS_somata_pct_B"	"CS_somata_C"	"CS_somata_pct_C"	"CS_somata_Cprime"	"CS_somata_pct_Cprime"	"CS_somata_other"	"CS_somata_pct_other"	"method"	"parse_flags"
"Albino rat/R.n./Rodentia"	"Albino rat"	"R.n."	"Rodentia"	"Rodentia"	"Rattus norvegicus"	21825	NA	""	21825	"contralateral"	19.52	0.837	18268	15363	84.1	749	4.1	0	0	2119	11.6	37	0.2	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Armadillo/D.n./Edentata"	"Armadillo"	"D.n."	"Edentata"	"Edentata"	"Dasypus novemcinctus"	12505	NA	""	12505	"contralateral"	19.57	0.836	10454	10088	96.5	366	3.5	0	0	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Bushbaby/G.s./Primates"	"Bushbaby"	"G.s."	"Primates"	"Primates"	"Galago senegalensis"	45335	NA	""	45335	"contralateral"	18.33	0.845	38308	34516	90.1	3294	8.6	421	1.1	0	0	77	0.2	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Cat/F.c./Camivora"	"Cat"	"F.c."	"Camivora"	"Carnivora"	"Felis catus"	41820	NA	""	41820	"contralateral"	26.61	0.79	33038	29866	90.4	2412	7.3	0	0	0	0	760	2.3	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	"order printed 'Camivora' - typographic error for 'Carnivora'"
"Gray squirrel/S.c./Rodentia"	"Gray squirrel"	"S.c."	"Rodentia"	"Rodentia"	"Sciurus carolinensis"	19695	NA	""	19695	"contralateral"	21.89	0.82	16150	13308	82.4	1308	8.1	0	0	1486	9.2	48	0.3	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Ground squirrel/C.t./Rodentia"	"Ground squirrel"	"C.t."	"Rodentia"	"Rodentia"	"Spermophilus tridecemlineatus"	24775	NA	""	24775	"contralateral"	18.3	0.845	20935	18695	89.3	1151	5.5	0	0	1089	5.2	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Hedgehog/E.a./Insectivora"	"Hedgehog"	"E.a."	"Insectivora"	"Insectivora"	"Atelerix albiventris"	765	2135	"()"	2135	"ipsilateral"	12.57	0.888	1896	1644	86.7	252	13.3	0	0	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Hedgehog/E.e./Insectivora"	"Hedgehog"	"E.e."	"Insectivora"	"Insectivora"	"Erinaceus europaeus"	4255	5545	"()"	5545	"ipsilateral"	19.42	0.837	4641	3550	76.5	1091	23.5	0	0	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
"Hedgehog/H.a./Insectivora"	"Hedgehog"	"H.a."	"Insectivora"	"Insectivora"	"Hemiechinus auritus"	615	1415	"[]"	1415	"ipsilateral"	16.76	0.856	1211	957	79	254	21	0	0	0	0	0	0	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	"ipsilateral total printed in SQUARE brackets although footnote 2 says parentheses"
"Hyrax/P.c./Hyracoidea"	"Hyrax"	"P.c."	"Hyracoidea"	"Hyracoidea"	"Procavia capensis"	5990	25895	"()"	25895	"ipsilateral"	25.42	0.797	20638	19008	92.1	1548	7.5	0	0	0	0	82	0.4	"HRP applied to a C1-C2 spinal hemisection; TMB; profiles counted in every 5th 50-um section; stereologically corrected"	NA
