"Record_ID"	"species_sci"	"Species"	"Order"	"Locomotor_habit"	"Justification"
1	"Monodelphis domestica"	"Monodelphis domestica"	"Metatheria"	"Scansorial"	"Exhibits both arboreal and ground foraging behaviour; agile in trees but primarily uses substrate for movement."
2	"Dasyuroides byrnei"	"Dasyuroides byrnei"	"Metatheria"	"Terrestrial"	"Mainly ground-dwelling marsupial predator, with moderate climbing ability typical of Dasyurids."
3	"Galea musteloides"	"Galea musteloides"	"Rodentia"	"Terrestrial"	"Repeated individual; same as above."
4	"Rattus norvegicus"	"Rattus norvegicus"	"Rodentia"	"Scansorial"	"Highly adaptable generalist, good climber and ground-runner."
5	"Ochotona rufescens"	"Ochotona rufescens"	"Lagomorpha"	"Terrestrial"	"Small lagomorph using complex rocky habitats; fast and agile on ground, limited climbing."
6	"Procavia capensis"	"Procavia capensis"	"Hyracoidea"	"Scansorial"	"Inhabits rocky habitats, skilled climber despite short limbs."
7	"Tupaia glis"	"Tupaia glis"	"Scandentia"	"Arboreal"	"Small-bodied tree shrew with arboreal habits; occasionally descends to the ground."
8	"Microcebus murinus"	"Microcebus murinus"	"Primates"	"Arboreal"	"Highly arboreal mouse lemur with vertical clinging and leaping, occasional ground movement."
9	"Galea musteloides"	"Galea musteloides"	"Rodentia"	"Terrestrial"	"Repeated individual; same as above."
10	"Galea musteloides"	"Galea musteloides"	"Rodentia"	"Terrestrial"	"Repeated individual; same as above."
11	"Tupaia glis"	"Tupaia glis"	"Scandentia"	"Arboreal"	"Small-bodied tree shrew with arboreal habits; occasionally descends to the ground."
12	"Tupaia glis"	"Tupaia glis"	"Scandentia"	"Arboreal"	"Small-bodied tree shrew with arboreal habits; occasionally descends to the ground."
13	"Pan paniscus"	"Pan paniscus"	"Primates"	"Arboreal"	"Bonobos exhibit arboreal quadrupedalism and vertical climbing, but also move bipedally on the ground."
14	"Pan paniscus"	"Pan paniscus"	"Primates"	"Arboreal"	"Bonobos exhibit arboreal quadrupedalism and vertical climbing, but also move bipedally on the ground."
15	"Pan paniscus"	"Pan paniscus"	"Primates"	"Arboreal"	"Bonobos exhibit arboreal quadrupedalism and vertical climbing, but also move bipedally on the ground."
16	"Homo sapiens"	"Homo sapiens"	"Primates"	"Terrestrial"	"Humans are obligate bipeds adapted for terrestrial locomotion and endurance running."
17	"Homo sapiens"	"Homo sapiens"	"Primates"	"Terrestrial"	"Humans are obligate bipeds adapted for terrestrial locomotion and endurance running."
18	"Homo sapiens"	"Homo sapiens"	"Primates"	"Terrestrial"	"Humans are obligate bipeds adapted for terrestrial locomotion and endurance running."
19	"Microcebus murinus"	"Microcebus murinus"	"Primates"	"Arboreal"	"Highly arboreal mouse lemur with vertical clinging and leaping, occasional ground movement."
20	"Eulemur fulvus"	"Eulemur fulvus"	"Primates"	"Arboreal"	"Brown lemurs are highly arboreal but occasionally descend to the ground for foraging."
21	"Saguinus oedipus"	"Saguinus oedipus"	"Primates"	"Arboreal"	"Tamarins are agile arboreal primates adapted to branch-running and leaping."
22	"Saimiri sciureus"	"Saimiri sciureus"	"Primates"	"Arboreal"	"Squirrel monkeys are primarily arboreal quadrupeds with occasional terrestrial movement."
23	"Pongo spp"	"Pongo spp"	"Primates"	"Arboreal"	"Orangutans are arboreal climbers, but in captivity and disturbed areas show terrestrial quadrupedalism."
24	"Pongo spp"	"Pongo spp"	"Primates"	"Arboreal"	"Orangutans are arboreal climbers, but in captivity and disturbed areas show terrestrial quadrupedalism."
25	"Pongo spp"	"Pongo spp"	"Primates"	"Arboreal"	"Orangutans are arboreal climbers, but in captivity and disturbed areas show terrestrial quadrupedalism."
26	"Pan paniscus"	"Pan paniscus"	"Primates"	"Arboreal"	"Bonobos exhibit arboreal quadrupedalism and vertical climbing, but also move bipedally on the ground."
27	"Pan paniscus"	"Pan paniscus"	"Primates"	"Arboreal"	"Bonobos exhibit arboreal quadrupedalism and vertical climbing, but also move bipedally on the ground."
28	"Pan paniscus"	"Pan paniscus"	"Primates"	"Arboreal"	"Bonobos exhibit arboreal quadrupedalism and vertical climbing, but also move bipedally on the ground."
29	"Saimiri sciureus"	"Saimiri sciureus"	"Primates"	"Arboreal"	"Squirrel monkeys are primarily arboreal quadrupeds with occasional terrestrial movement."
30	"Saimiri sciureus"	"Saimiri sciureus"	"Primates"	"Arboreal"	"Squirrel monkeys are primarily arboreal quadrupeds with occasional terrestrial movement."
31	"Saimiri sciureus"	"Saimiri sciureus"	"Primates"	"Arboreal"	"Squirrel monkeys are primarily arboreal quadrupeds with occasional terrestrial movement."
32	"Dinomys branickii"	"Dinomys branickii"	"Rodentia"	"Terrestrial"	"Pacarana is mainly ground-dwelling but capable of limited climbing."
33	"Vombatus ursinus"	"Vombatus ursinus"	"Diprotodontia"	"Terrestrial"	"Wombats are specialised diggers with burrowing habits, also walk on ground."
34	"Ailuropoda melanoleuca"	"Ailuropoda melanoleuca"	"Carnivora"	"Terrestrial"	"Giant pandas are primarily terrestrial, but are capable climbers especially when young."
35	"Ursus maritimus"	"Ursus maritimus"	"Carnivora"	"Cursorial"	"Polar bears walk long distances on land/ice and swim efficiently between ice floes."
36	"Castor canadensis"	"Castor canadensis"	"Rodentia"	"Terrestrial"	"Beavers are strong swimmers and build lodges and canals, but also excavate burrows along waterbanks."
37	"Procavia capensis"	"Procavia capensis"	"Hyracoidea"	"Scansorial"	"Inhabits rocky habitats, skilled climber despite short limbs."
38	"Ursus arctos"	"Ursus arctos"	"Carnivora"	"Terrestrial"	"Brown bears are primarily terrestrial quadrupeds with powerful limbs for walking, digging, and swimming. Despite their large size, they retain moderate climbing ability—especially in juveniles or smaller individuals."
39	"Rattus norvegicus"	"Rattus norvegicus"	"Rodentia"	"Scansorial"	"Highly adaptable generalist, good climber and ground-runner."
40	"Rattus norvegicus"	"Rattus norvegicus"	"Rodentia"	"Scansorial"	"Highly adaptable generalist, good climber and ground-runner."
41	"Papio papio"	"Papio papio"	"Primates"	"Terrestrial"	"Primarily terrestrial quadrupeds, but retain climbing abilities."
42	"Papio papio"	"Papio papio"	"Primates"	"Terrestrial"	"Primarily terrestrial quadrupeds, but retain climbing abilities."
43	"Papio papio"	"Papio papio"	"Primates"	"Terrestrial"	"Primarily terrestrial quadrupeds, but retain climbing abilities."
44	"Papio papio"	"Papio papio"	"Primates"	"Terrestrial"	"Primarily terrestrial quadrupeds, but retain climbing abilities."
45	"Hydrochoerus hydrochaeris"	"Hydrochoerus hydrochaeris"	"Rodentia"	"Terrestrial"	"Capybaras are adapted for swimming but also graze on land."
46	"Macropus fuliginosus"	"Macropus fuliginosus"	"Diprotodontia"	"Terrestrial"	"Western grey kangaroo moves via bipedal saltation and supports itself on forelimbs when feeding."
47	"Lepus europaeus"	"Lepus europaeus"	"Lagomorpha"	"Cursorial"	"Hares have long hindlimbs and are adapted to fast running in open terrain."
48	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
49	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
50	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
51	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
52	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
53	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
54	"Cuniculus taczanowskii"	"Cuniculus taczanowskii"	"Rodentia"	"Terrestrial"	"Andean rabbit species with strong digging adaptations, but also ground forager."
55	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
56	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
57	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
58	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
59	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
60	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
61	"Felis silvestris catus"	"Felis silvestris catus"	"Carnivora"	"Scansorial"	"Domestic cats retain climbing ability and arboreal agility; jump and perch frequently."
62	"Felis silvestris catus"	"Felis silvestris catus"	"Carnivora"	"Scansorial"	"Domestic cats retain climbing ability and arboreal agility; jump and perch frequently."
63	"Felis silvestris catus"	"Felis silvestris catus"	"Carnivora"	"Scansorial"	"Domestic cats retain climbing ability and arboreal agility; jump and perch frequently."
64	"Felis silvestris catus"	"Felis silvestris catus"	"Carnivora"	"Scansorial"	"Domestic cats retain climbing ability and arboreal agility; jump and perch frequently."
65	"Leptailurus serval"	"Leptailurus serval"	"Carnivora"	"Cursorial"	"Servals are fast runners in grasslands and capable leapers; occasional climbing ability."
66	"Leopardus pardalis"	"Leopardus pardalis"	"Carnivora"	"Arboreal"	"Ocelots are proficient climbers that use trees for hunting and rest."
67	"Lynx canadensis"	"Lynx canadensis"	"Carnivora"	"Cursorial"	"Canada lynx move effectively on snow and chase prey, also can climb."
68	"Panthera pardus"	"Panthera pardus"	"Carnivora"	"Scansorial"	"Leopards are strong climbers and hunters, also travel efficiently on ground."
69	"Acinonyx jubatus"	"Acinonyx jubatus"	"Carnivora"	"Cursorial"	"Cheetahs are extreme cursorial specialists adapted for sprinting."
70	"Puma concolor"	"Puma concolor"	"Carnivora"	"Scansorial"	"Cougars are powerful climbers with terrestrial stalking behaviours."
71	"Panthera leo"	"Panthera leo"	"Carnivora"	"Cursorial"	"Lions hunt in open savannas using bursts of speed and group coordination; limited climbing."
72	"Panthera tigris"	"Panthera tigris"	"Carnivora"	"Cursorial"	"Tigers are strong ground-based stalkers, but can climb and swim efficiently."
73	"Hydrochoerus hydrochaeris"	"Hydrochoerus hydrochaeris"	"Rodentia"	"Terrestrial"	"Capybaras are adapted for swimming but also graze on land."
74	"Dasypus novemcinctus"	"Dasypus novemcinctus"	"Cingulata"	"Terrestrial"	"Nine-banded armadillos dig burrows extensively but also forage on the ground."
75	"Dolichotis patagonum"	"Dolichotis patagonum"	"Rodentia"	"Cursorial"	"Patagonian maras have long limbs and move via fast bounding gaits."
76	"Orycteropus afer"	"Orycteropus afer"	"Tubulidentata"	"Terrestrial"	"Aardvarks are specialised diggers with strong forelimbs and burrow systems."
77	"Canis lupus"	"Canis lupus"	"Carnivora"	"Cursorial"	"Wolves are obligate cursorial hunters adapted for long-distance running."
78	"Felis silvestris catus"	"Felis silvestris catus"	"Carnivora"	"Scansorial"	"Domestic cats retain climbing ability and arboreal agility; jump and perch frequently."
79	"Felis silvestris catus"	"Felis silvestris catus"	"Carnivora"	"Scansorial"	"Domestic cats retain climbing ability and arboreal agility; jump and perch frequently."
80	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
81	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
82	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
83	"Panthera onca"	"Panthera onca"	"Carnivora"	"Scansorial"	"Jaguars are strong climbers and swimmers, with terrestrial hunting strategies."
84	"Panthera onca"	"Panthera onca"	"Carnivora"	"Scansorial"	"Jaguars are strong climbers and swimmers, with terrestrial hunting strategies."
85	"Panthera onca"	"Panthera onca"	"Carnivora"	"Scansorial"	"Jaguars are strong climbers and swimmers, with terrestrial hunting strategies."
86	"Acinonyx jubatus"	"Acinonyx jubatus"	"Carnivora"	"Cursorial"	"Cheetahs are extreme cursorial specialists adapted for sprinting."
87	"Panthera leo × tigris"	"Panthera leo × tigris"	"Carnivora"	"Cursorial"	"Hybrids exhibit terrestrial and cursorial traits of both parent species."
88	"Panthera leo"	"Panthera leo"	"Carnivora"	"Cursorial"	"Lions hunt in open savannas using bursts of speed and group coordination; limited climbing."
89	"Vulpes lagopus"	"Vulpes lagopus"	"Carnivora"	"Cursorial"	"Arctic foxes traverse large snowy terrains and can burrow and climb minor obstacles."
90	"Puma concolor"	"Puma concolor"	"Carnivora"	"Scansorial"	"Cougars are powerful climbers with terrestrial stalking behaviours."
91	"Panthera leo"	"Panthera leo"	"Carnivora"	"Cursorial"	"Lions hunt in open savannas using bursts of speed and group coordination; limited climbing."
92	"Panthera tigris"	"Panthera tigris"	"Carnivora"	"Cursorial"	"Tigers are strong ground-based stalkers, but can climb and swim efficiently."
93	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
94	"Canis lupus familiaris"	"Canis lupus familiaris"	"Carnivora"	"Cursorial"	"Domestic dogs retain the cursorial adaptations of their wild ancestors, with some variability among breeds."
95	"Procyon lotor"	"Procyon lotor"	"Carnivora"	"Scansorial"	"Raccoons are agile climbers often foraging in trees, but also use ground routes."
96	"Panthera tigris"	"Panthera tigris"	"Carnivora"	"Cursorial"	"Tigers are strong ground-based stalkers, but can climb and swim efficiently."
97	"Panthera pardus"	"Panthera pardus"	"Carnivora"	"Scansorial"	"Leopards are strong climbers and hunters, also travel efficiently on ground."
98	"Felis silvestris catus"	"Felis silvestris catus"	"Carnivora"	"Scansorial"	"Domestic cats retain climbing ability and arboreal agility; jump and perch frequently."
99	"Panthera leo"	"Panthera leo"	"Carnivora"	"Cursorial"	"Lions hunt in open savannas using bursts of speed and group coordination; limited climbing."
100	"Panthera leo"	"Panthera leo"	"Carnivora"	"Cursorial"	"Lions hunt in open savannas using bursts of speed and group coordination; limited climbing."
101	"Elephas maximus"	"Elephas maximus"	"Proboscidea"	"Terrestrial"	"Asian elephants are large-bodied terrestrial walkers with low-speed endurance locomotion."
102	"Elephas maximus"	"Elephas maximus"	"Proboscidea"	"Terrestrial"	"Asian elephants are large-bodied terrestrial walkers with low-speed endurance locomotion."
103	"Loxodonta africana"	"Loxodonta africana"	"Proboscidea"	"Terrestrial"	"African elephants are strictly terrestrial and capable of fast walking."
104	"Elephas maximus"	"Elephas maximus"	"Proboscidea"	"Terrestrial"	"Asian elephants are large-bodied terrestrial walkers with low-speed endurance locomotion."
105	"Loxodonta africana"	"Loxodonta africana"	"Proboscidea"	"Terrestrial"	"African elephants are strictly terrestrial and capable of fast walking."
106	"Camelus dromedarius"	"Camelus dromedarius"	"Artiodactyla"	"Cursorial"	"Dromedaries are desert-adapted cursorial mammals capable of efficient long-distance travel."
