label,domain,measure_class,Structure,Measure,Unit,is_measurement,definition,definition_kind,definition_source,matched_code,glossary_terms
Extractive_foraging_reduced_report_count (reports),behaviour & cognition,behavioural_flexibility,,Extractive_foraging_reduced_report_count,reports,TRUE,extractive-foraging count after multiply-qualifying cases were removed,source_definition_crosswalk,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Extractive_foraging_reduced,
Extractive_foraging_report_count (reports),behaviour & cognition,behavioural_flexibility,,Extractive_foraging_report_count,reports,TRUE,number of reported examples of extractive foraging,source_definition_crosswalk,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Extractive_foraging,
Innovation_reduced_report_count (reports),behaviour & cognition,behavioural_flexibility,,Innovation_reduced_report_count,reports,TRUE,innovation count after cases that also qualified as tool use / extractive foraging / tactical deception were removed,source_definition_crosswalk,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Innovation_reduced,
Innovation_report_count (reports),behaviour & cognition,behavioural_flexibility,,Innovation_report_count,reports,TRUE,number of reported examples of behavioural innovation found in the literature survey,source_definition_crosswalk,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Innovation,
Social_learning_report_count (reports),behaviour & cognition,behavioural_flexibility,,Social_learning_report_count,reports,TRUE,number of reported examples of social learning,source_definition_crosswalk,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Social_learning,
Tool_use_reduced_report_count (reports),behaviour & cognition,behavioural_flexibility,,Tool_use_reduced_report_count,reports,TRUE,tool-use count after multiply-qualifying cases were removed,source_definition_crosswalk,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Tool_use_reduced,
Tool_use_report_count (reports),behaviour & cognition,behavioural_flexibility,,Tool_use_report_count,reports,TRUE,number of reported examples of tool use,source_definition_crosswalk,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Tool_use,
Dexterity (1-7 scale),behaviour & cognition,dexterity,,Dexterity,1-7 scale,TRUE,digital dexterity score (Heffner & Masterton scale),source_definition,Iwaniuk_etal_1999/reference_tables/Iwaniuk_etal_1999_Table1_definitions.csv,Dexterity,
Hand–eye,behaviour & cognition,dexterity,,HandEyeCoordination,ordinal,TRUE,"hand-eye coordination score (ordinal, 0-2)",source_definition,Iwaniuk_etal_1999/reference_tables/Iwaniuk_etal_1999_Table1_definitions.csv,Hand–eye,
Handedness_index_mean (HI),behaviour & cognition,handedness,,Handedness_index_mean,HI,TRUE,"mean handedness index (signed; positive = right-biased, negative = left-biased)",source_definition_crosswalk,Caspar_etal_2022/reference_tables/Caspar_etal_2022_Table1_definitions.csv,MeanHI,HI
Handedness_strength_mean (abs(HI)),behaviour & cognition,handedness,,Handedness_strength_mean (abs(HI)),,TRUE,"mean absolute handedness index (strength of lateralization, direction ignored)",source_definition_crosswalk,Caspar_etal_2022/reference_tables/Caspar_etal_2022_Table1_definitions.csv,MeanAbsHI,HI
Extractive_foraging (category),behaviour & cognition,manipulation,,Extractive_foraging,category,TRUE,number of reported examples of extractive foraging,source_definition,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Extractive_foraging,
Manipulation_complexity (score),behaviour & cognition,manipulation,,Manipulation_complexity,score,TRUE,Heldstab et al. manipulation-complexity score: ordinal rating of the complexity of a species' object-manipulation repertoire.,glossary_definition,_keys/glossary.csv,Manipulation_complexity,
Tool_Manufacture (category),behaviour & cognition,manipulation,,Tool_Manufacture,category,TRUE,1 = tool manufacture recorded,source_definition,Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv,Tool_Manufacture,
Tool_use (category),behaviour & cognition,manipulation,,Tool_use,category,TRUE,number of reported examples of tool use,source_definition,Reader_etal_2011/reference_tables/Reader_etal_2011_definitions.csv,Tool_use,
True_Tool_Use (category),behaviour & cognition,manipulation,,True_Tool_Use,category,TRUE,1 = true tool use (sensu Baker et al.),source_definition,Baker_etal_2025/reference_tables/Baker_etal_2025_definitions.csv,True_Tool_Use,
Population_group_size,behaviour & cognition,sociality,,PopulationGroupSize.count,count,TRUE,Population group size,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Population_group_size,
Social_group_size,behaviour & cognition,sociality,,SocialGroupSize.count,count,TRUE,Social group size,source_definition,Lewitus_etal_2014/reference_tables/Lewitus_etal_2014_TableS1_definitions.csv,Social_group_size,
