"collection","collection_group","collection_qualifier","layers"
"Columbia University / Bronx Zoo","COLUMBIA_BRONX_ZOO","","public"
"Crosby-Lauer","CROSBY_UMICH","","public"
"fossil hominin (Amud, Israel)","FOSSIL_AMUD","Amud, Israel","public"
"fossil hominin (Cro-Magnon, France)","FOSSIL_CRO_MAGNON","Cro-Magnon, France","public"
"fossil hominin (Forbes' Quarry, Gibraltar)","FOSSIL_FORBES_QUARRY","Forbes' Quarry, Gibraltar","public"
"fossil hominin (La Chapelle-aux-Saints, France)","FOSSIL_LA_CHAPELLE_AUX_SAINTS","La Chapelle-aux-Saints, France","public"
"fossil hominin (La Ferrassie, France)","FOSSIL_LA_FERRASSIE","La Ferrassie, France","public"
"fossil hominin (Mladeč, Czechia)","FOSSIL_MLADEC","Mladeč, Czechia","public"
"fossil hominin (Skhul-Qafzeh, Israel)","FOSSIL_SKHUL_QAFZEH","Skhul-Qafzeh, Israel","public"
"GAAP","GAAP","","public"
"GWU","GWU","","public;restricted"
"Hirnforschung","DUSSELDORF_HIRNFORSCHUNG","","public"
"Hirnforschung / Stephan-Zilles shared collection","DUSSELDORF_HIRNFORSCHUNG","","public"
"Huber-Crosby","CROSBY_UMICH","","public"
"Johnson Michigan State","JOHNSON_MSU","","public"
"Kaas laboratory / Vanderbilt","KAAS_VANDERBILT","","public"
"Kaas laboratory / Vanderbilt; from Texas Biomedical Research Institute","KAAS_VANDERBILT","from Texas Biomedical Research Institute","public"
"Kaas laboratory / Vanderbilt; from Washington National Primate Research Center","KAAS_VANDERBILT","from Washington National Primate Research Center","public"
"Max Planck Institute Frankfurt","MPI_FRANKFURT","","public"
"Meyer Phipps","MEYER_PHIPPS_JHU","","public"
"Mount Sinai","MOUNT_SINAI","","restricted"
"not stated","UNKNOWN","","public"
"Stephan","DUSSELDORF_HIRNFORSCHUNG","","public;restricted"
"Stephan/Frahm","DUSSELDORF_HIRNFORSCHUNG","","restricted"
"Thomas Jefferson Medical College","THOMAS_JEFFERSON_MEDICAL","","public"
"UCSD","UCSD","","public"
"University of Iowa (Department of Neurology)","IOWA_NEUROLOGY","Department of Neurology","public"
"University of Wisconsin comparative brain collection","WELKER_AFIP","","public"
"unknown","UNKNOWN","","restricted"
"Welker","WELKER_AFIP","","public"
"Welker (AFIP)","WELKER_AFIP","AFIP","restricted"
"Welker (University of Wisconsin comparative collection; later NMHM/AFIP)","WELKER_AFIP","University of Wisconsin comparative collection; later NMHM/AFIP","restricted"
"Welker / University of Wisconsin comparative collection (NMHM/AFIP)","WELKER_AFIP","NMHM/AFIP","public"
"Yakovlev Collection","YAKOVLEV","","public"
"Yakovlev-Haleem","YAKOVLEV","","public"
"Yerkes","YERKES","","public;restricted"
"Yerkes; Zilles/Semendeferi","DUSSELDORF_HIRNFORSCHUNG;YERKES","","restricted"
"Zilles","DUSSELDORF_HIRNFORSCHUNG","","public;restricted"
"Zilles (ex Yerkes)","DUSSELDORF_HIRNFORSCHUNG","ex Yerkes","restricted"
"Zilles/Amunts","DUSSELDORF_HIRNFORSCHUNG","","public"
"Zilles/Semendeferi","DUSSELDORF_HIRNFORSCHUNG","","public"
"Zilles/Semendeferi (ex Yerkes; Kanting)","DUSSELDORF_HIRNFORSCHUNG","ex Yerkes; Kanting","public"
"Zilles/Semendeferi (ex Yerkes)","DUSSELDORF_HIRNFORSCHUNG","ex Yerkes","public;restricted"
