domain,item,question,answerable,why,blocks,where_to_look,status
gyrification,Zilles_etal_2013_Table1,How many brains behind each of the 54 GI values?,NO,"The table prints one GI per row with a `Ref` to the originating primary study, but no n and no SD. N would have to be recovered from each cited primary separately.",weighting the mean of the 1-3 Zilles rows per species (gyrification_compiled.R:78-79),"the ~10 distinct primaries in the `Ref` column, one paper at a time",OPEN - blocks weighting; the unweighted mean stands
gyrification,Zilles_etal_2013_Table1,(separate defect) Is the item still registered?,NO - it is not,"Item name/Item encoded (cols K/L) no longer hold a row for this item, so enc() returns NA and the script reads NA.tsv. gyrification_long.csv still carries 181 Zilles rows from an earlier build.",the whole gyrification merge - the script cannot run,__ReadMe.xlsx Sheet1; the real TSV is __Public/comparative-data/10.1016%2Fj.tins.2013.01.006_Table1.tsv,OPEN - fix the registry row before anything else in this domain
gyrification,Lewitus_etal_2014_TableS1 and TableS8,How many brains behind each GI?,NO,Neither supplementary table publishes n or SD.,"weighting Lewitus against Zilles - moot, since the two are citation-dependent and never averaged",Lewitus et al. 2014 methods / their own supplementary sources,OPEN but low priority - pooling is refused here by design
cerebral_metabolic_rate,Karbowski_2007_TableS1 to TableS23,What is n for each region x species value?,NO,"Karbowski's tables publish `sd` but no n. `n_areas` counts cortical areas, not animals.",weighted pooling across primary studies (:159) whenever a Karbowski value meets a Kaufman value,"Karbowski 2007 supplementary methods, or the primary studies he compiled","OPEN - Kaufman-only cells can be weighted, mixed cells cannot"
cerebral_metabolic_rate,Heiss_etal_2004_TABLE1,What is n?,NO,The table reports region means with SD for one species and no n.,weighting Heiss against the two compilations,Heiss et al. 2004 methods text,OPEN
cerebral_metabolic_rate,Kaufman__2004_TableA15,Should Kaufman's own weighted summary be used instead of our pooling?,"YES - answerable, not yet decided","The file exists with `weighting`, `N`, `Mean`, `SD`, `CV` columns and is simply not read: the loader regex at :83 stops at TableA14.",nothing yet - it is an unused alternative to our own weighted mean,"Kaufman__2004_TableA15.csv, already in the repo",OPEN DECISION - compare his weighting to ours before choosing
cellcounts,"HerculanoHouzel_etal_2015_Table1, Table2, Table3",Does the `Whole brain n` of Table 5 apply to Tables 1-3?,MAYBE,Tables 4 and 5 print `Olfactory bulb n` and `Whole brain n`; Tables 1-3 print no n. Whether the same animals underlie all five tables is likely but not stated in the tables themselves.,weighting HH 2015 against Kverkova,HerculanoHouzel et al. 2015 methods; the per-table species lists overlap 39-41 species,OPEN - resolvable by reading one methods section
cellcounts,"AvelinodeSouza 2025, DosSantos 2017, DosSantos 2020, HH2020 TABLE2, JardimMesseder 2017, Kverkova TableS1, Kverkova TableS5",What is n per species?,NO,No n column in any of these seven items.,weighted pooling across the cellcounts teams,each paper's methods; DosSantos 2020 is unpublished data held in-project,OPEN
cellcounts,all 15 items,"(not a question, a defect) N and SD are harvested and then thrown away",YES - answerable now,"cellcounts_compiled.R:530-534 greps `_n$`, `_S.n$` and `_SD$` into `variables_to_move`, removes them at :546 and parks them in annexed_metadata at :549. Nothing is missing; it is discarded.",weighting for the 5 items that DO publish n,cellcounts_compiled.R:521-549,OPEN TASK - un-annex the columns
body_ecology,35 of 52 dynamically-scanned TSVs,What is n per species?,NO,No n column.,weighted pooling where these meet an N-bearing source,each paper,OPEN - expect unweighted to remain the majority rule in this domain
