domain,n_sources,sources_with_N,sources_with_specimen_ids,already_per_specimen,where_pooling_happens,weighted_pooling_feasible,blocker
volumes,57,32 (13 printed + 19 elsewhere) + 7 derivable + 3 from restricted workbook + 1 as-published,"several (Bauernfeind, MacLeod, deSousa, Smaers, Barger, Reep, Bush via restricted)",5 collapsed in the step-3 reshape; Bauernfeind + Ashwell now preserved,Tier-1 recency; Tier-2 within-team mean (volumes_compiled.R:467); cross-team mean (:487),yes - 252 of 264 multi-team cells (95%),12 Tier-1 contributions with no N; recency means N never enters their arithmetic
cortical_layers,5,5 of 5 (n_specimens on every row),4 of 5 (specimen_id),"yes - Peruffo 6 sheep, Jacobs 2016 + Johnson single-specimen",no cross-source pooling exists yet; :78-79 EXCLUDES the individuals in favour of the printed mean,yes - schema already complete,"policy, not data: :78-79 prefers Peruffo's printed species mean and :209 asserts it differs from the arithmetic mean of the six"
cerebral_metabolic_rate,38,"14 of 38 (Kaufman n, 98.6% filled)",0; Reference = primary study is the de-facto unit,yes - already one row per primary study,within-study mean (:157) then across-study mean (:159),partial - Kaufman only,Karbowski (23 tables) and Heiss publish no n; Kaufman's own weighted summary TableA15 is not read (regex stops at A14)
body_ecology,52 dynamic + 4 BMR + 5 life-history + Wilman,17 of 52,13,17,within-team mean (:323) then across-team mean (:325),partial,"N is filtered out at :116 and blk() (:147) has no N slot, so it is never harvested; 35 of 52 sources publish none"
brain_mass,39 dynamic,7 of 39,9,12,within-team mean (:128) then across-team mean (:132),partial,N filtered at :67; uf schema (:118-120) has no N/SD/specimen column; only 18% of sources carry N
cellcounts,15,5 of 15,0,0,"within-team priority (:698-722, :768-792) then across-team mean (:852-855)",partial,N and 55 SD columns are explicitly annexed out at :530-534 and parked in annexed_metadata; 10 of 15 sources publish no N
cortical_areas,6,1 (Young n_hemispheres),"4 (Collins, Turner x2, Young)","3 (Collins 244/4, Turner 6/4)",within-specimen hemisphere mean (:75); across-source mean (:101),partial,"term map carries only 2 Young columns, so n_hemispheres and 10 *_sd never reach the script; Changizi/Finlay publish no N"
gyrification,3,0,0,"1 (Zilles 54 rows / 45 species, with Ref + GI_method per row)","first(GI) within Lewitus (:74,:76); mean of 1-3 Zilles rows (:78-79); priority substitution across teams (:86,:90)",no,pooling is REFUSED by design on citation-dependency (:13-16); no N or SD anywhere to weight with; and Zilles_etal_2013_Table1 is unregistered in __ReadMe.xlsx so enc() returns NA and the script no longer runs
behaviour,11,0 in the merge inputs (2 upstream),0,0,"priority ladder, never averaged (:155-170)",no,inputs are pre-collapsed one row per species; pooling refused on citation-dependency (:9-14). Baker Individuals and Caspar N exist upstream and are dropped by the EvoM1_read_* readers
fossil_brain_glucose,4,0 (nTFA/nPA are measurement replicates),2 of 4 (Specimen),"yes - the fossil individual IS the unit, n=1 by construction",mean across 3 estimator teams for one specimen (:146-148),"no, and unnecessary","within-species weighting is vacuous; the natural weight across estimators would be method precision, which is not published"
sleep,4,1 (Lyamin n_animals),0,0,"none - :114 is a de-dup, not a mean",no (moot),"the 4 sources contribute disjoint traits, so no within-trait pool exists yet; Lyamin n_animals is ready for when a 2nd SWS source arrives"
cerebellar_folding,1,0,0,0,"none (n_sources hardcoded 1L, :37)",no,"single source; Heuer 2023 publishes no N, SD or specimen ID"
trees,n/a,n/a,n/a,n/a,not a value merge,n/a,"phylogeny assembly, no pooling step"
